Analyzed: Oh No It's Zombies Arctic Map (105)

ID : 0 PlayerName: valkarian Race: Terran
ID : 1 PlayerName: Dtelm Race: Terran
ID : 2 PlayerName: CallMePala Race: Terran
ID : 3 PlayerName: Toxicpanda Race: Terran
ID : 4 PlayerName: Frosky Race: Zerg
ID : 5 PlayerName: ChainOS Race: Terran
ID : 6 PlayerName: UberMeister Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Frosky Zombie Win
Public Lobby

Game Length:[33:902]
Players ammount: 8
Marine rank avg: 3,8333333333333335
GrandMaster ammount: 2
PURCHASES: 
[00:572] valkarian Unlocked AssaultRifle
[00:749] valkarian Unlocked Ares
[00:800] valkarian Placed/Upgraded PrototypeAresTankMode
[04:157] valkarian Placed/Upgraded MiningDroid
[06:792] valkarian Unlocked AresMod8
[09:917] valkarian Placed/Upgraded MiningDroid
[15:278] valkarian Unlocked AdvancedDroidEngines
[21:017] valkarian Unlocked AresMod3
[21:050] valkarian Placed/Upgraded PrototypeAresTankMode
[21:888] valkarian Unlocked AresMod6
[25:187] valkarian Unlocked AresMod4
[31:349] valkarian Placed/Upgraded PrototypeAresTankMode
[00:572] Dtelm Unlocked AssaultRifle
[00:960] Dtelm Placed/Upgraded MiningDroid
[01:095] Dtelm Unlocked AdvancedDroidEngines
[03:456] Dtelm Unlocked SpecOpsAssaultRifle
[04:963] Dtelm Unlocked ArcWelder
[07:483] Dtelm Unlocked TurboDroidEngines
[08:468] Dtelm Unlocked BioMechanicalRepairDrone
[08:502] Dtelm Unlocked CombatAccelerationDrone
[08:554] Dtelm Placed/Upgraded HealingDrone
[12:218] Dtelm Unlocked FragGrenade
[14:352] Dtelm Placed/Upgraded MiningDroid
[15:921] Dtelm Placed/Upgraded HealingDrone
[16:053] Dtelm Placed/Upgraded HealingDrone
[16:345] Dtelm Placed/Upgraded HealingDrone
[16:477] Dtelm Placed/Upgraded HealingDrone
[18:128] Dtelm Unlocked TitaniumBulletCasings
[18:499] Dtelm Unlocked HazmatSuit
[18:502] Dtelm Unlocked AdvancedHazmatSuit
[19:791] Dtelm Unlocked PsiDisrupter
[23:565] Dtelm Unlocked SpecOpsFragGrenade
[24:617] Dtelm Placed/Upgraded HealingDrone
[00:572] CallMePala Unlocked AssaultRifle
[00:693] CallMePala Placed/Upgraded MiningDroid
[00:965] CallMePala Unlocked AdvancedDroidEngines
[03:722] CallMePala Unlocked TurboDroidEngines
[05:704] CallMePala Unlocked SpecOpsAssaultRifle
[07:241] CallMePala Unlocked AutoTargetingSystem
[08:806] CallMePala Unlocked Stimpack
[09:703] CallMePala Unlocked HazmatSuit
[10:902] CallMePala Unlocked AdvancedHazmatSuit
[14:469] CallMePala Unlocked CombatShield
[14:470] CallMePala Unlocked OpticalVisor
[16:140] CallMePala Unlocked SuperStimpack
[16:765] CallMePala Unlocked BioMechanicalRepairDrone
[16:798] CallMePala Placed/Upgraded HealingDrone
[18:500] CallMePala Bought ShieldSuit
[18:500] CallMePala Bought CombatSuit
[18:500] CallMePala Bought HazmatSuit
[18:500] CallMePala Bought HazmatSuit
[18:503] CallMePala Bought HazmatSuit
[18:947] CallMePala Unlocked SpecOpsSuperStimpack
