Analyzed: Oh No It's Zombies Arctic Map (109)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: csiz Race: Terran
ID : 2 PlayerName: Mystic Race: Terran
ID : 3 PlayerName: Rong Race: Terran
ID : 4 PlayerName: banhmiphalau Race: Terran
ID : 5 PlayerName: wang Race: Terran
ID : 6 PlayerName: LunaristScre Race: Zerg
ID : 7 PlayerName: Security Race: Protoss
LunaristScre Zombie Win
Public Lobby

Game Length:[39:350]
Players ammount: 8
Marine rank avg: 7
GrandMaster ammount: 2
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed/Upgraded MiningDroid
[00:706] Frosky Unlocked IncendiaryGrenade
[06:209] Frosky Placed/Upgraded AutomatedExtractor
[14:078] Frosky Placed/Upgraded PrimalSunkenColony
[22:572] Frosky Placed/Upgraded NydusCanalCreeper
[23:474] Frosky Placed/Upgraded NydusCanalCreeper
[24:557] Frosky Placed/Upgraded GreaterNydusWorm
[26:212] Frosky Placed/Upgraded NydusCanalCreeper
[26:910] Frosky Placed/Upgraded Virophage
[30:231] Frosky Placed/Upgraded NydusCanalCreeper
[33:949] Frosky Placed/Upgraded NydusCanalCreeper
[35:780] Frosky Placed/Upgraded GreaterNydusWorm
[35:848] Frosky Placed/Upgraded NydusCanalCreeper
[36:353] Frosky Placed/Upgraded NydusCanalCreeper
[37:574] Frosky Placed/Upgraded NydusCanalCreeper
[00:572] csiz Unlocked AssaultRifle
[00:704] csiz Placed/Upgraded MiningDroid
[00:895] csiz Unlocked AdvancedDroidEngines
[04:286] csiz Unlocked Stimpack
[04:334] csiz Unlocked BeamRifle
[06:057] csiz Unlocked SpecOpsPlasmaRifle
[06:640] csiz Unlocked LongRangeScope
[07:449] csiz Unlocked HazmatSuit
[08:818] csiz Unlocked AdvancedHazmatSuit
[08:976] csiz Placed/Upgraded MiningDroid
[10:438] csiz Unlocked BioMechanicalRepairDrone
[11:103] csiz Unlocked FragGrenade
[11:111] csiz Unlocked SpecOpsFragGrenade
[14:639] csiz Placed/Upgraded HealingDrone
[14:882] csiz Placed/Upgraded HealingDrone
[15:289] csiz Placed/Upgraded HealingDrone
[16:637] csiz Unlocked CombatShield
[16:644] csiz Unlocked QuantumBackpack
[16:923] csiz Unlocked AutoTurret
[17:492] csiz Unlocked FlameTurret
[17:608] csiz Placed/Upgraded HealingDrone
[18:825] csiz Unlocked OpticalVisor
[20:362] csiz Placed/Upgraded AutoTurret
[21:532] csiz Placed/Upgraded AutoTurret
[24:046] csiz Placed/Upgraded HealingDrone
[24:449] csiz Placed/Upgraded HealingDrone
[28:204] csiz Placed/Upgraded HealingDrone
[33:709] csiz Placed/Upgraded AutoTurret
[37:009] csiz Placed/Upgraded AutoTurret
[37:420] csiz Placed/Upgraded HealingDrone
[38:063] csiz Placed/Upgraded HealingDrone
[39:215] csiz Placed/Upgraded HealingDrone
[00:572] Mystic Unlocked AssaultRifle
[00:679] Mystic Placed/Upgraded MiningDroid
[00:804] Mystic Unlocked AdvancedDroidEngines
[03:447] Mystic Unlocked Flamethrower
[04:882] Mystic Unlocked TurboDroidEngines
[07:354] Mystic Unlocked Shieldsiotunlocked
[07:362] Mystic Unlocked AdvancedShieldSuit
[07:431] Mystic Unlocked SpecOpsFlamethrower
[07:450] Mystic Bought ShieldSuit
[07:450] Mystic Bought CombatSuit
[07:450] Mystic Bought HazmatSuit
[07:450] Mystic Bought HazmatSuit
[08:415] Mystic Placed/Upgraded MiningDroid
[08:819] Mystic Bought HazmatSuit
[09:488] Mystic Unlocked Stimpack
[10:693] Mystic Unlocked PsiDisrupter
[10:848] Mystic Placed/Upgraded PsiIndoctrinator
[11:767] Mystic Unlocked SuperHealingDrone
[14:974] Mystic Placed/Upgraded PsiIndoctrinator
[16:229] Mystic Unlocked SpecOpsSuperHealingDrone
[16:283] Mystic Unlocked CombatShield
[17:434] Mystic Placed/Upgraded PsiIndoctrinator
[17:876] Mystic Placed/Upgraded PsiIndoctrinator
[19:711] Mystic Unlocked AutoTurret
[20:766] Mystic Placed/Upgraded PsiIndoctrinator
[27:669] Mystic Unlocked BioMechanicalRepairDrone
[27:680] Mystic Unlocked SpecOpsBioMechanicalRepairDrone
[27:791] Mystic Unlocked ThermiteFilaments
[27:904] Mystic Placed/Upgraded HealingDrone
[30:267] Mystic Placed/Upgraded HealingDrone
[30:630] Mystic Placed/Upgraded HealingDrone
[30:982] Mystic Placed/Upgraded HealingDrone
[33:859] Mystic Placed/Upgraded HealingDrone
[34:174] Mystic Placed/Upgraded HealingDrone
[37:044] Mystic Placed/Upgraded HealingDrone
[00:572] Rong Unlocked AssaultRifle
[01:069] Rong Placed/Upgraded MiningDroid
[01:458] Rong Unlocked IncendiaryGrenade
