Analyzed: Oh No It's Zombies Arctic Map (111)

ID : 0 PlayerName: Adam Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: ColdLeg Race: Terran
ID : 3 PlayerName: MarFly Race: Terran
ID : 4 PlayerName: Tin Race: Terran
ID : 5 PlayerName: Asuki Race: Zerg
ID : 6 PlayerName: Muqali Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Asuki Zombie Loss
Private Lobby

Game Length:[36:138]
Players ammount: 8
Marine rank avg: 17,333333333333332
GrandMaster ammount: 5
PURCHASES: 
[00:572] Adam Unlocked AssaultRifle
[00:720] Adam Placed/Upgraded MiningDroid
[00:813] Adam Unlocked MedicShield
[02:251] Adam Unlocked Stimpack
[04:660] Adam Unlocked CombatSuit
[05:979] Adam Unlocked AdvancedCombatSuit
[07:542] Adam Unlocked BeamRifle
[08:822] Adam Unlocked OpticalVisor
[09:819] Adam Unlocked SpecOpsPlasmaRifle
[12:926] Adam Unlocked CorrosivePlasma
[17:896] Adam Unlocked MiningCharge
[17:919] Adam Unlocked AdvancedMiningCharge
[18:014] Adam Unlocked AdvancedDroidEngines
[18:144] Adam Placed/Upgraded NukePack
[20:692] Adam Placed/Upgraded NukePack
[20:968] Adam Unlocked Teleporter
[22:875] Adam Placed/Upgraded NukePack
[23:051] Adam Unlocked AutoTurret
[23:068] Adam Unlocked SpecOpsTurret
[23:925] Adam Placed/Upgraded AutoTurret
[24:339] Adam Placed/Upgraded AutoTurret
[25:034] Adam Placed/Upgraded AutoTurret
[25:426] Adam Unlocked EnergyPack
[26:093] Adam Placed/Upgraded NukePack
[27:663] Adam Placed/Upgraded NukePack
[28:462] Adam Placed/Upgraded NukePack
[28:803] Adam Placed/Upgraded AutoTurret
[30:274] Adam Placed/Upgraded AutoTurret
[30:482] Adam Placed/Upgraded AutoTurret
[33:210] Adam Placed/Upgraded NukePack
[33:291] Adam Placed/Upgraded AutoTurret
[33:510] Adam Placed/Upgraded AutoTurret
[34:400] Adam Placed/Upgraded AutoTurret
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed/Upgraded MiningDroid
[00:706] Frosky Unlocked IncendiaryGrenade
[02:180] Frosky Unlocked AdvancedDroidEngines
[04:116] Frosky Unlocked Shotgun
[04:661] Frosky Bought ShieldSuit
[04:661] Frosky Bought CombatSuit
[04:661] Frosky Bought HazmatSuit
[04:661] Frosky Bought CombatSuit
[05:469] Frosky Unlocked ExplorationDroid
[05:980] Frosky Bought CombatSuit
[06:022] Frosky Placed/Upgraded ExplorationDroid
[06:098] Frosky Placed/Upgraded ExplorationDroid
[07:036] Frosky Placed/Upgraded ExplorationDroid
[08:453] Frosky Unlocked SpecOpsShotgun
[10:014] Frosky Unlocked SuperStimpack
[12:441] Frosky Unlocked Stimpack
[13:202] Frosky Placed/Upgraded ExplorationDroid
[13:211] Frosky Placed/Upgraded ExplorationDroid
[14:037] Frosky Unlocked HighPrecisionBeams
[15:538] Frosky Unlocked HazmatSuit
[16:958] Frosky Unlocked CombatShield
[18:186] Frosky Placed/Upgraded ExplorationDroid
[20:679] Frosky Unlocked AdvancedHazmatSuit
[20:715] Frosky Unlocked AIAssistant
[24:934] Frosky Unlocked BioMechanicalRepairDrone
[25:076] Frosky Placed/Upgraded HealingDrone
[26:200] Frosky Placed/Upgraded HealingDrone
[28:036] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[29:025] Frosky Placed/Upgraded HealingDrone
[32:745] Frosky Placed/Upgraded HealingDrone
[00:572] ColdLeg Unlocked AssaultRifle
[00:838] ColdLeg Placed/Upgraded MiningDroid
[03:231] ColdLeg Unlocked Flamethrower
[04:584] ColdLeg Unlocked SpecOpsFlamethrower
[05:520] ColdLeg Unlocked BioMechanicalRepairDrone
[06:378] ColdLeg Placed/Upgraded HealingDrone
[08:953] ColdLeg Unlocked Shieldsiotunlocked
[09:029] ColdLeg Unlocked AdvancedDroidEngines
[10:300] ColdLeg Unlocked ThermiteFilaments
[11:368] ColdLeg Unlocked Stimpack
[12:372] ColdLeg Placed/Upgraded HealingDrone
[14:011] ColdLeg Unlocked MotionSensor
[14:541] ColdLeg Placed/Upgraded SensorTower
[15:150] ColdLeg Placed/Upgraded SensorTower
[15:539] ColdLeg Bought ShieldSuit
[15:539] ColdLeg Bought CombatSuit
[15:539] ColdLeg Bought HazmatSuit
[15:539] ColdLeg Bought HazmatSuit
[15:818] ColdLeg Placed/Upgraded HealingDrone
[16:622] ColdLeg Placed/Upgraded SensorTower
[17:635] ColdLeg Placed/Upgraded HealingDrone
[19:480] ColdLeg Placed/Upgraded HealingDrone
[20:680] ColdLeg Bought HazmatSuit
[21:007] ColdLeg Placed/Upgraded SensorTower
[21:783] ColdLeg Unlocked AdvancedShieldSuit
[21:849] ColdLeg Unlocked CombatShield
[21:943] ColdLeg Unlocked EnergyPack
[21:957] ColdLeg Unlocked OpticalVisor
[22:167] ColdLeg Unlocked CloakingDevice
[22:551] ColdLeg Unlocked SpecOpsCloakingDevice
[26:376] ColdLeg Placed/Upgraded HealingDrone
[28:889] ColdLeg Placed/Upgraded SensorTower
[29:035] ColdLeg Unlocked SpecOpsBioMechanicalRepairDrone
[29:207] ColdLeg Unlocked ForceFieldGrenade
[29:229] ColdLeg Unlocked SpecOpsForcefieldGrenade
[30:042] ColdLeg Placed/Upgraded SensorTower
[30:299] ColdLeg Unlocked MiningCharge
[30:572] ColdLeg Placed/Upgraded NukePack
[30:803] ColdLeg Placed/Upgraded NukePack
[31:052] ColdLeg Placed/Upgraded NukePack
[34:169] ColdLeg Placed/Upgraded HealingDrone
[00:572] MarFly Unlocked AssaultRifle
[01:311] MarFly Placed/Upgraded MiningDroid
[01:920] MarFly Unlocked FragGrenade
[01:928] MarFly Unlocked SpecOpsFragGrenade
[02:730] MarFly Unlocked Stimpack
[06:003] MarFly Unlocked SpecOpsAssaultRifle
[08:954] MarFly Bought ShieldSuit
[08:954] MarFly Bought CombatSuit
[08:954] MarFly Bought HazmatSuit
[08:954] MarFly Bought ShieldSuit
[08:979] MarFly Unlocked TitaniumBulletCasings
[09:038] MarFly Unlocked MedicShield
[10:377] MarFly Unlocked EnergySuit
[10:378] MarFly Unlocked EnergySuit
[12:572] MarFly Unlocked AdvancedDroidEngines
[14:535] MarFly Unlocked SuperStimpack
[14:593] MarFly Unlocked BioMechanicalRepairDrone
[16:257] MarFly Unlocked AdvancedEnergySuit
[16:258] MarFly Unlocked EnergySuit
[16:258] MarFly Unlocked AdvancedEnergySuit
[18:067] MarFly Placed/Upgraded HealingDrone
[18:558] MarFly Unlocked PsiDisrupter
[18:653] MarFly Placed/Upgraded PsiIndoctrinator
[19:473] MarFly Placed/Upgraded HealingDrone
[20:739] MarFly Placed/Upgraded PsiIndoctrinator
[20:859] MarFly Unlocked PsiDepressor
[21:784] MarFly Bought ShieldSuit
[22:004] MarFly Placed/Upgraded HealingDrone
[23:182] MarFly Placed/Upgraded PsiIndoctrinator
[25:497] MarFly Placed/Upgraded HealingDrone
[25:728] MarFly Placed/Upgraded PsiIndoctrinator
[28:804] MarFly Placed/Upgraded HealingDrone
[29:030] MarFly Placed/Upgraded HealingDrone
