Analyzed: Oh No It's Zombies Arctic Map (112)

ID : 0 PlayerName: Wooky Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: MarFly Race: Terran
ID : 3 PlayerName: archdracon Race: Terran
ID : 4 PlayerName: Tin Race: Terran
ID : 5 PlayerName: Asuki Race: Zerg
ID : 6 PlayerName: csiz Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Asuki Zombie Loss
Private Lobby

Game Length:[37:188]
Players ammount: 8
Marine rank avg: 20,5
GrandMaster ammount: 7
PURCHASES: 
[00:572] Wooky Unlocked AssaultRifle
[00:651] Wooky Placed/Upgraded MiningDroid
[00:705] Wooky Unlocked AdvancedDroidEngines
[06:201] Wooky Unlocked SpecOpsAssaultRifle
[06:222] Wooky Unlocked AutoTargetingSystem
[09:740] Wooky Unlocked Shieldsiotunlocked
[09:768] Wooky Unlocked Stimpack
[11:436] Wooky Unlocked FragGrenade
[11:538] Wooky Unlocked SpecOpsFragGrenade
[17:916] Wooky Unlocked MiningCharge
[17:955] Wooky Unlocked CombatShield
[17:961] Wooky Unlocked EnergyPack
[17:968] Wooky Unlocked OpticalVisor
[18:008] Wooky Unlocked PowerConverter
[18:043] Wooky Unlocked AdvancedShieldSuit
[18:211] Wooky Placed/Upgraded NukePack
[18:425] Wooky Placed/Upgraded NukePack
[18:668] Wooky Placed/Upgraded NukePack
[21:257] Wooky Unlocked BioMechanicalRepairDrone
[21:343] Wooky Placed/Upgraded HealingDrone
[21:918] Wooky Placed/Upgraded NukePack
[21:957] Wooky Placed/Upgraded HealingDrone
[23:720] Wooky Unlocked SpecOpsPowerConverter
[23:761] Wooky Unlocked AdvancedMiningCharge
[24:123] Wooky Placed/Upgraded NukePack
[34:715] Wooky Placed/Upgraded NukePack
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed/Upgraded MiningDroid
[00:699] Frosky Unlocked IncendiaryGrenade
[02:722] Frosky Unlocked Shotgun
[04:656] Frosky Unlocked SpecOpsShotgun
[06:768] Frosky Unlocked HazmatSuit
[07:382] Frosky Unlocked AdvancedHazmatSuit
[08:668] Frosky Unlocked AdvancedDroidEngines
[09:741] Frosky Bought ShieldSuit
[09:741] Frosky Bought CombatSuit
[09:741] Frosky Bought HazmatSuit
