Analyzed: Oh No It's Zombies Arctic Map (124)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: Muqali Race: Terran
ID : 2 PlayerName: BlackThanos Race: Terran
ID : 3 PlayerName: White Race: Terran
ID : 4 PlayerName: devidog Race: Terran
ID : 5 PlayerName: ZEHN Race: Terran
ID : 6 PlayerName: BARUNA Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Frosky Zombie Loss
Public Lobby

Game Length:[34:885]
Players ammount: 8
Marine rank avg: 12
GrandMaster ammount: 2
PURCHASES: 
[01:022] Frosky Spawned MassiveCocoon
[02:196] Frosky Placed/Upgraded NydusCanalCreeper
[02:462] Frosky Spawned Hunter
[04:747] Frosky Spawned MassiveCocoon
[05:961] Frosky Bought CreepSpeed
[09:343] Frosky Bought StrainSpeed
[09:358] Frosky Bought PureStrainSpeed
[10:435] Frosky Bought HunterlingStrain
[13:311] Frosky Bought VirulentCreep
[13:607] Frosky Placed/Upgraded NydusCanalCreeper
[15:735] Frosky Bought StrainSpeed
[16:829] Frosky Bought PureStrainSpeed
[19:015] Frosky Placed/Upgraded NydusCanalCreeper
[20:521] Frosky Bought SpawnNydusWorm
[21:231] Frosky Placed/Upgraded GreaterNydusWorm
[21:304] Frosky Bought StrainVolatile
[24:522] Frosky Placed/Upgraded NydusCanalCreeper
[26:494] Frosky Bought DropshipsFueled
[29:619] Frosky Placed/Upgraded NydusCanalCreeper
[29:878] Frosky Bought StrainDamage
[29:892] Frosky Bought PureStrainDamage
[29:898] Frosky Bought StrainHealth
[29:912] Frosky Bought PureStrainHealth
[30:183] Frosky Placed/Upgraded NydusCanalCreeper
[31:932] Frosky Placed/Upgraded NydusCanalCreeper
[33:728] Frosky Spawned MassiveCocoon
[33:731] Frosky Spawned MassiveCocoon
[34:811] Frosky Spawned Underseer
[00:572] Muqali Unlocked AssaultRifle
[00:651] Muqali Placed/Upgraded MiningDroid
[00:804] Muqali Unlocked HellfireRocketLauncher
[02:976] Muqali Unlocked SpecOpsHellfireRocketLauncher
[04:750] Muqali Unlocked AdvancedDroidEngines
[06:519] Muqali Placed/Upgraded MiningDroid
[08:404] Muqali Unlocked ShockwaveMissiles
[10:382] Muqali Unlocked Stimpack
[11:279] Muqali Unlocked MedicShield
[12:557] Muqali Unlocked FlashBang
[12:788] Muqali Unlocked SpecOpsFlashbang
[14:305] Muqali Unlocked PowerConverter
[17:867] Muqali Unlocked BioMechanicalRepairDrone
[17:939] Muqali Unlocked SpecOpsPowerConverter
[18:489] Muqali Placed/Upgraded HealingDrone
[20:709] Muqali Unlocked EnergySuit
[20:710] Muqali Unlocked ShieldSuit
[20:710] Muqali Unlocked AdvancedShieldSuit
[20:710] Muqali Unlocked CombatSuit
[20:710] Muqali Unlocked AdvancedCombatSuit
[20:710] Muqali Unlocked HazmatSuit
[20:710] Muqali Unlocked AdvancedHazmatSuit
[20:710] Muqali Unlocked EnergySuit
[21:660] Muqali Unlocked AdvancedEnergySuit
[21:661] Muqali Unlocked EnergySuit
[21:661] Muqali Unlocked AdvancedEnergySuit
[26:936] Muqali Unlocked QuantumBackpack
[27:990] Muqali Placed/Upgraded MiningDroid
[29:857] Muqali Unlocked MiningCharge
[29:861] Muqali Unlocked AdvancedMiningCharge
[32:384] Muqali Placed/Upgraded NukePack
[32:504] Muqali Placed/Upgraded NukePack
[33:258] Muqali Placed/Upgraded HealingDrone
[34:037] Muqali Placed/Upgraded NukePack
[00:572] BlackThanos Unlocked AssaultRifle
[00:656] BlackThanos Placed/Upgraded MiningDroid
[00:855] BlackThanos Unlocked HellfireRocketLauncher
[03:646] BlackThanos Unlocked Stimpack
[04:764] BlackThanos Unlocked SpecOpsHellfireRocketLauncher
[06:788] BlackThanos Unlocked AdvancedDroidEngines
[08:409] BlackThanos Unlocked RocketLauncherMod1
[10:030] BlackThanos Unlocked CombatSuit
[10:031] BlackThanos Unlocked ShieldSuit
[10:031] BlackThanos Unlocked AdvancedShieldSuit
[10:031] BlackThanos Unlocked CombatSuit
[10:031] BlackThanos Unlocked AdvancedCombatSuit
[10:031] BlackThanos Unlocked HazmatSuit
[10:031] BlackThanos Unlocked AdvancedHazmatSuit
[10:031] BlackThanos Unlocked CombatSuit
[11:305] BlackThanos Unlocked AdvancedCombatSuit
[11:306] BlackThanos Unlocked CombatSuit
[11:306] BlackThanos Unlocked AdvancedCombatSuit
[13:673] BlackThanos Unlocked TurboDroidEngines
[14:856] BlackThanos Unlocked FragGrenade
[14:866] BlackThanos Unlocked SpecOpsFragGrenade
[16:173] BlackThanos Unlocked AIAssistant
[19:064] BlackThanos Unlocked Teleporter
[22:577] BlackThanos Unlocked AutoTurret
[22:589] BlackThanos Unlocked FlameTurret
[22:666] BlackThanos Placed/Upgraded AutoTurret
[22:885] BlackThanos Placed/Upgraded AutoTurret
[23:599] BlackThanos Placed/Upgraded AutoTurret
[29:844] BlackThanos Placed/Upgraded AutoTurret
[30:707] BlackThanos Placed/Upgraded AutoTurret
[30:895] BlackThanos Placed/Upgraded AutoTurret
[31:105] BlackThanos Placed/Upgraded AutoTurret
[33:087] BlackThanos Unlocked HeavyTurret
[33:133] BlackThanos Unlocked PsiDisrupter
[33:144] BlackThanos Unlocked PsiDepressor
[34:273] BlackThanos Placed/Upgraded PsiIndoctrinator
[34:299] BlackThanos Placed/Upgraded PsiIndoctrinator
[00:572] White Unlocked AssaultRifle
[00:651] White Placed/Upgraded MiningDroid
[00:873] White Unlocked ArcWelder
[01:632] White Unlocked Stimpack
[03:892] White Unlocked BioMechanicalRepairDrone
[03:906] White Unlocked CombatAccelerationDrone
[03:939] White Placed/Upgraded HealingDrone
[04:183] White Placed/Upgraded HealingDrone
[04:427] White Placed/Upgraded HealingDrone
[04:777] White Placed/Upgraded HealingDrone
[05:769] White Unlocked AdvancedDroidEngines
[07:212] White Placed/Upgraded HealingDrone
[07:493] White Unlocked PsiDisrupter
[07:508] White Unlocked PsiDepressor
[07:678] White Placed/Upgraded PsiIndoctrinator
[08:474] White Placed/Upgraded HealingDrone
[09:346] White Unlocked AutoTurret
[09:363] White Unlocked FlameTurret
[09:945] White Placed/Upgraded AutoTurret
[10:610] White Placed/Upgraded AutoTurret
[10:905] White Placed/Upgraded HealingDrone
[12:392] White Unlocked TurboDroidEngines
[13:632] White Placed/Upgraded AutoTurret
[13:753] White Unlocked SpecOpsBioMechanicalRepairDrone
[13:817] White Placed/Upgraded HealingDrone
[14:224] White Placed/Upgraded AutoTurret
[14:399] White Placed/Upgraded AutoTurret
[15:448] White Placed/Upgraded AutoTurret
[15:619] White Placed/Upgraded AutoTurret
[15:789] White Placed/Upgraded AutoTurret
[16:116] White Placed/Upgraded HealingDrone
[16:389] White Placed/Upgraded HealingDrone
[16:540] White Placed/Upgraded HealingDrone
[17:725] White Placed/Upgraded PsiIndoctrinator
[19:073] White Placed/Upgraded PsiIndoctrinator
[19:419] White Placed/Upgraded PsiIndoctrinator
[20:758] White Unlocked MiningCharge
[21:012] White Placed/Upgraded NukePack
[21:342] White Placed/Upgraded NukePack
[21:787] White Placed/Upgraded NukePack
[23:526] White Placed/Upgraded AutoTurret
[24:035] White Unlocked SpecOpsArcWelder
[24:979] White Placed/Upgraded PsiIndoctrinator
[27:738] White Placed/Upgraded PsiIndoctrinator
[28:052] White Placed/Upgraded AutoTurret
[28:747] White Placed/Upgraded MiningDroid
[29:151] White Placed/Upgraded HealingDrone
[29:549] White Placed/Upgraded HealingDrone
[29:729] White Placed/Upgraded HealingDrone
[29:943] White Unlocked AdvancedMiningCharge
[30:755] White Placed/Upgraded NukePack
[31:359] White Placed/Upgraded NukePack
[33:005] White Unlocked ArcWelderMod3
[33:782] White Placed/Upgraded AutoTurret
[33:891] White Placed/Upgraded AutoTurret
[34:070] White Placed/Upgraded AutoTurret
[00:572] devidog Unlocked AssaultRifle
[00:651] devidog Placed/Upgraded MiningDroid
[00:760] devidog Unlocked AdvancedDroidEngines
[03:864] devidog Unlocked TurboDroidEngines
[04:731] devidog Unlocked BeamRifle
[07:388] devidog Placed/Upgraded MiningDroid
[08:603] devidog Unlocked SpecOpsPlasmaRifle
[11:315] devidog Unlocked CombatSuit
[11:316] devidog Unlocked ShieldSuit
[11:316] devidog Unlocked AdvancedShieldSuit
[11:316] devidog Unlocked CombatSuit
[11:316] devidog Unlocked AdvancedCombatSuit
[11:316] devidog Unlocked HazmatSuit
[11:316] devidog Unlocked AdvancedHazmatSuit
[11:316] devidog Unlocked CombatSuit
[11:328] devidog Unlocked AdvancedCombatSuit
[11:329] devidog Unlocked CombatSuit
[11:329] devidog Unlocked AdvancedCombatSuit
[12:042] devidog Unlocked BioMechanicalRepairDrone
[13:251] devidog Placed/Upgraded MiningDroid
[13:371] devidog Placed/Upgraded HealingDrone
[15:268] devidog Unlocked CloakingDevice
[16:147] devidog Placed/Upgraded HealingDrone
[17:338] devidog Placed/Upgraded HealingDrone
[17:610] devidog Placed/Upgraded HealingDrone
[17:788] devidog Placed/Upgraded HealingDrone
[17:990] devidog Placed/Upgraded HealingDrone
[18:842] devidog Unlocked PsiDisrupter
[18:888] devidog Placed/Upgraded PsiIndoctrinator
[20:124] devidog Placed/Upgraded MiningDroid
