Analyzed: Oh No It's Zombies Arctic Map (125)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: ZEHN Race: Terran
ID : 2 PlayerName: BARUNA Race: Terran
ID : 3 PlayerName: Pelos Race: Terran
ID : 4 PlayerName: corgi Race: Terran
ID : 5 PlayerName: ReaperWolf Race: Zerg
ID : 6 PlayerName: Evilpez Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
ReaperWolf Zombie Loss
Public Lobby

Game Length:[29:960]
Players ammount: 8
Marine rank avg: 11,666666666666666
GrandMaster ammount: 3
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[00:669] Frosky Placed/Upgraded MiningDroid
[00:772] Frosky Unlocked IncendiaryGrenade
[02:267] Frosky Unlocked AdvancedDroidEngines
[04:391] Frosky Unlocked TurboDroidEngines
[06:407] Frosky Unlocked SpecOpsAssaultRifle
[08:002] Frosky Unlocked TitaniumBulletCasings
[08:778] Frosky Unlocked Stimpack
[09:986] Frosky Unlocked HazmatSuit
[10:835] Frosky Unlocked BioMechanicalRepairDrone
[10:871] Frosky Placed/Upgraded HealingDrone
[11:777] Frosky Unlocked AdvancedHazmatSuit
[13:010] Frosky Unlocked FlashBang
[13:822] Frosky Unlocked ExplorationDroid
[13:845] Frosky Placed/Upgraded ExplorationDroid
[15:200] Frosky Placed/Upgraded ExplorationDroid
[15:775] Frosky Placed/Upgraded MiningDroid
[17:738] Frosky Placed/Upgraded HealingDrone
[18:353] Frosky Unlocked CombatShield
[18:356] Frosky Unlocked AIAssistant
[19:573] Frosky Unlocked QuantumBackpack
[22:408] Frosky Unlocked PsiDisrupter
[25:134] Frosky Placed/Upgraded MiningDroid
[25:856] Frosky Placed/Upgraded HealingDrone
[26:062] Frosky Placed/Upgraded HealingDrone
[27:812] Frosky Placed/Upgraded HealingDrone
[00:572] ZEHN Unlocked AssaultRifle
[00:690] ZEHN Placed/Upgraded MiningDroid
[01:218] ZEHN Unlocked IncendiaryGrenade
[03:218] ZEHN Unlocked Stimpack
[05:786] ZEHN Unlocked Shotgun
[06:144] ZEHN Unlocked SuperStimpack
[09:987] ZEHN Bought ShieldSuit
[09:987] ZEHN Bought CombatSuit
[09:987] ZEHN Bought HazmatSuit
[09:987] ZEHN Bought HazmatSuit
[10:504] ZEHN Unlocked SpecOpsShotgun
[11:778] ZEHN Bought HazmatSuit
[11:998] ZEHN Unlocked ConcussiveShot
[12:837] ZEHN Placed/Upgraded MiningDroid
[13:366] ZEHN Unlocked AIAssistant
[13:436] ZEHN Unlocked SpecOpsIncendiaryGrenade
[14:909] ZEHN Unlocked Shieldsiotunlocked
[16:577] ZEHN Unlocked AdvancedDroidEngines
[17:408] ZEHN Unlocked MotionSensor
[18:319] ZEHN Placed/Upgraded SensorTower
[18:880] ZEHN Placed/Upgraded SensorTower
[20:623] ZEHN Placed/Upgraded MiningDroid
[20:747] ZEHN Unlocked AutoTurret
[21:164] ZEHN Placed/Upgraded AutoTurret
[21:423] ZEHN Placed/Upgraded AutoTurret
[21:641] ZEHN Placed/Upgraded AutoTurret
[26:095] ZEHN Placed/Upgraded AutoTurret
[26:342] ZEHN Placed/Upgraded AutoTurret
[26:544] ZEHN Placed/Upgraded AutoTurret
[00:572] BARUNA Unlocked AssaultRifle
[00:678] BARUNA Placed/Upgraded MiningDroid
[00:763] BARUNA Unlocked AdvancedDroidEngines
[03:032] BARUNA Unlocked TurboDroidEngines
[06:341] BARUNA Unlocked BeamRifle
[06:348] BARUNA Unlocked SpecOpsPlasmaRifle
