Analyzed: Oh No It's Zombies Arctic Map (13)

ID : 0 PlayerName: Yello Race: Terran
ID : 1 PlayerName: Cybrochara Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: Westy Race: Terran
ID : 4 PlayerName: JesyBoi Race: Terran
ID : 5 PlayerName: Minizergy Race: Terran
ID : 6 PlayerName: GreyWanderer Race: Zerg
ID : 7 PlayerName: Security Race: Terran
GreyWanderer Zombie Win
Public Lobby

Game Length:[29:091]
Players ammount: 8
Marine rank avg: 9,833333333333334
GrandMaster ammount: 1
PURCHASES: 
[00:572] Yello Unlocked AssaultRifle
[00:651] Yello Placed/Upgraded MiningDroid
[00:941] Yello Unlocked AdvancedDroidEngines
[02:639] Yello Unlocked Flamethrower
[03:768] Yello Unlocked BioMechanicalRepairDrone
[04:368] Yello Placed/Upgraded HealingDrone
[05:785] Yello Unlocked SpecOpsFlamethrower
[05:826] Yello Placed/Upgraded HealingDrone
[07:312] Yello Unlocked Stimpack
[08:354] Yello Unlocked HazmatSuit
[09:401] Yello Placed/Upgraded HealingDrone
[09:893] Yello Placed/Upgraded HealingDrone
[12:346] Yello Placed/Upgraded HealingDrone
[12:727] Yello Unlocked AdvancedHazmatSuit
[12:762] Yello Unlocked CombatShield
[12:885] Yello Unlocked ThermiteFilaments
[13:801] Yello Placed/Upgraded HealingDrone
[14:691] Yello Placed/Upgraded HealingDrone
[15:197] Yello Placed/Upgraded HealingDrone
[17:695] Yello Unlocked Teleporter
[17:706] Yello Unlocked SpecOpsTeleporter
[19:239] Yello Placed/Upgraded HealingDrone
[19:573] Yello Unlocked MiningCharge
[19:719] Yello Unlocked ExplorationDroid
[19:746] Yello Placed/Upgraded ExplorationDroid
[19:788] Yello Placed/Upgraded ExplorationDroid
[20:466] Yello Placed/Upgraded HealingDrone
[21:053] Yello Unlocked AdvancedMiningCharge
[21:253] Yello Placed/Upgraded HealingDrone
[22:442] Yello Placed/Upgraded HealingDrone
[23:916] Yello Placed/Upgraded ExplorationDroid
[24:712] Yello Placed/Upgraded NukePack
[25:600] Yello Placed/Upgraded HealingDrone
[26:982] Yello Placed/Upgraded HealingDrone
[27:394] Yello Placed/Upgraded HealingDrone
[27:669] Yello Placed/Upgraded HealingDrone
[00:572] Cybrochara Unlocked AssaultRifle
[00:670] Cybrochara Placed/Upgraded MiningDroid
[00:706] Cybrochara Unlocked AdvancedDroidEngines
[02:973] Cybrochara Unlocked Stimpack
[05:367] Cybrochara Unlocked SpecOpsAssaultRifle
[07:159] Cybrochara Unlocked PsiDisrupter
[08:355] Cybrochara Bought ShieldSuit
[08:355] Cybrochara Bought CombatSuit
[08:355] Cybrochara Bought HazmatSuit
[08:355] Cybrochara Bought HazmatSuit
[08:361] Cybrochara Unlocked MotionSensor
[08:631] Cybrochara Placed/Upgraded SensorTower
[09:422] Cybrochara Placed/Upgraded PsiIndoctrinator
[10:102] Cybrochara Unlocked SpecOpsPsiDisruptor
[10:607] Cybrochara Placed/Upgraded PsiIndoctrinator
[12:728] Cybrochara Bought HazmatSuit
[16:660] Cybrochara Unlocked AutoTargetingSystem
[17:284] Cybrochara Placed/Upgraded SensorTower
[17:557] Cybrochara Placed/Upgraded SensorTower
[17:842] Cybrochara Unlocked TurboDroidEngines
[18:378] Cybrochara Placed/Upgraded PsiIndoctrinator
[18:788] Cybrochara Placed/Upgraded SensorTower
[19:293] Cybrochara Placed/Upgraded SensorTower
[20:510] Cybrochara Placed/Upgraded PsiIndoctrinator
[21:043] Cybrochara Unlocked IncendiaryGrenade
[22:472] Cybrochara Unlocked EnergySuit
[22:473] Cybrochara Unlocked EnergySuit
[22:652] Cybrochara Unlocked SpecOpsIncendiaryGrenade
[23:630] Cybrochara Placed/Upgraded PsiIndoctrinator
[00:572] Frosky Unlocked AssaultRifle
[00:685] Frosky Placed/Upgraded MiningDroid
[00:771] Frosky Unlocked ArcWelder
[02:523] Frosky Unlocked BioMechanicalRepairDrone
[02:616] Frosky Unlocked CombatAccelerationDrone
[02:677] Frosky Placed/Upgraded HealingDrone
[03:410] Frosky Placed/Upgraded HealingDrone
[03:951] Frosky Placed/Upgraded HealingDrone
[04:626] Frosky Unlocked Stimpack
[05:937] Frosky Unlocked AdvancedDroidEngines
[06:648] Frosky Unlocked ExplorationDroid
[06:679] Frosky Placed/Upgraded ExplorationDroid
[08:078] Frosky Unlocked CombatSuit
[09:284] Frosky Unlocked AdvancedCombatSuit
[10:778] Frosky Placed/Upgraded HealingDrone
[13:055] Frosky Unlocked TurboDroidEngines
[14:498] Frosky Placed/Upgraded ExplorationDroid
[14:669] Frosky Placed/Upgraded ExplorationDroid
[14:750] Frosky Unlocked PsiDisrupter
[15:364] Frosky Placed/Upgraded PsiIndoctrinator
[16:961] Frosky Unlocked AutoTurret
[17:117] Frosky Placed/Upgraded AutoTurret
[17:330] Frosky Placed/Upgraded AutoTurret
[17:667] Frosky Placed/Upgraded AutoTurret
[19:177] Frosky Unlocked AIAssistant
[19:883] Frosky Unlocked HeavyTurret
[20:013] Frosky Placed/Upgraded AutoTurret
[21:067] Frosky Unlocked PsiDepressor
[22:207] Frosky Placed/Upgraded AutoTurret
[22:382] Frosky Placed/Upgraded AutoTurret
[22:473] Frosky Bought ShieldSuit
[22:473] Frosky Bought CombatSuit
[22:473] Frosky Bought HazmatSuit
[22:584] Frosky Placed/Upgraded AutoTurret
[22:770] Frosky Unlocked QuantumBackpack
[22:929] Frosky Placed/Upgraded HealingDrone
[23:555] Frosky Placed/Upgraded AutoTurret
[23:717] Frosky Placed/Upgraded AutoTurret
[23:853] Frosky Placed/Upgraded AutoTurret
[24:272] Frosky Placed/Upgraded AutoTurret
[24:915] Frosky Placed/Upgraded HealingDrone
[27:651] Frosky Placed/Upgraded HealingDrone
[00:572] Westy Unlocked AssaultRifle
[00:828] Westy Placed/Upgraded MiningDroid
[01:007] Westy Unlocked SuperStimpack
[05:913] Westy Unlocked AdvancedDroidEngines
[07:067] Westy Unlocked TurboDroidEngines
[08:079] Westy Bought ShieldSuit
[08:079] Westy Bought CombatSuit
[08:079] Westy Bought HazmatSuit
[08:079] Westy Bought CombatSuit
[09:016] Westy Unlocked SpecOpsAssaultRifle
[09:129] Westy Unlocked CombatSuit
[09:285] Westy Bought CombatSuit
[11:148] Westy Unlocked AutoTargetingSystem
[12:724] Westy Unlocked AdvancedCombatSuit
[12:770] Westy Unlocked Stimpack
[13:543] Westy Unlocked AIAssistant
[13:951] Westy Unlocked MedicShield
[15:727] Westy Unlocked PsiDisrupter
[15:842] Westy Placed/Upgraded PsiIndoctrinator
[16:876] Westy Placed/Upgraded PsiIndoctrinator
[17:225] Westy Placed/Upgraded PsiIndoctrinator
[18:124] Westy Placed/Upgraded PsiIndoctrinator
[19:023] Westy Placed/Upgraded PsiIndoctrinator
[23:267] Westy Unlocked PsiDepressor
[24:738] Westy Unlocked TitaniumBulletCasings
