Analyzed: Oh No It's Zombies Arctic Map (131)

ID : 0 PlayerName: jackcooper Race: Terran
ID : 1 PlayerName: PVG Race: Zerg
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: IdleLoach Race: Terran
ID : 4 PlayerName: CuongDeee Race: Terran
ID : 5 PlayerName: Doosie Race: Terran
ID : 6 PlayerName: zergtoss Race: Terran
ID : 7 PlayerName: Security Race: Terran
PVG Zombie Win
Public Lobby

Game Length:[30:467]
Players ammount: 8
Marine rank avg: 15,333333333333334
GrandMaster ammount: 3
PURCHASES: 
[00:572] jackcooper Unlocked AssaultRifle
[00:749] jackcooper Placed MiningDroid
[02:363] jackcooper Unlocked CombatShield
[02:379] jackcooper Unlocked MedicShield
[11:715] jackcooper Placed MiningDroid
[13:215] jackcooper Unlocked BeamRifle
[15:190] jackcooper Unlocked Shotgun
[21:305] jackcooper Placed MiningDroid
[25:669] jackcooper Placed MiningDroid
[26:422] jackcooper Unlocked CloakingDevice
[00:568] PVG Bought PlayerNumber
[00:791] PVG Bought UnlockDropPods
[01:921] PVG Bought EvolveDropPods
[02:240] PVG Bought EvolveDropPods
[03:321] PVG Bought EvolveDropPods
[03:920] PVG Bought EvolveDropPods
[03:937] PVG Bought EvolveDropPods
[04:288] PVG Placed/Upgraded PrimalSunkenColony
[04:289] PVG Bought SunkenColony
[04:937] PVG Placed/Upgraded LocustNest
[05:456] PVG Bought EvolveDropPods
[07:975] PVG Bought CreepSpeed
[08:789] PVG Placed/Upgraded LocustNest
[09:594] PVG Spawned MassiveCocoon
[11:034] PVG Spawned Anubalisk
[11:897] PVG Placed/Upgraded PrimalSunkenColony
[11:898] PVG Bought SunkenColony
[12:138] PVG Spawned MassiveCocoon
[12:241] PVG Placed/Upgraded LocustNest
[13:578] PVG Spawned Anubalisk
[13:878] PVG Bought VirulentCreep
[13:878] PVG Bought VirulentCreep
[14:073] PVG Bought SunkenColony
[14:210] PVG Spawned MassiveCocoon
[15:290] PVG Spawned Underseer
[15:321] PVG Placed/Upgraded PrimalSunkenColony
[15:322] PVG Bought SunkenColony
[16:308] PVG Bought SunkenColony
[16:950] PVG Bought ConstructiveCreep
[16:978] PVG Placed/Upgraded LesserNydusWorm
[16:979] PVG Bought GreaterNydus
[17:194] PVG Placed/Upgraded LesserNydusWorm
[17:195] PVG Bought GreaterNydus
[17:499] PVG Placed/Upgraded NydusCanalCreeper
[19:570] PVG Bought BuildExtractorScienceLabs
[19:570] PVG Placed/Upgraded AutomatedExtractor
[21:046] PVG Placed/Upgraded LesserNydusWorm
[21:047] PVG Bought GreaterNydus
[21:905] PVG Bought StrainVolatile
[23:035] PVG Bought DropshipsFueled
[23:253] PVG Bought UltimateInfestationResearched
[23:849] PVG Bought PureStrainVolatile
[24:217] PVG Placed/Upgraded NydusCanalCreeper
[26:059] PVG Placed/Upgraded LesserNydusWorm
[26:060] PVG Bought GreaterNydus
[26:638] PVG Bought KaboomerStrain
[26:764] PVG Bought BuildExtractorManufacturingSector
[26:764] PVG Placed/Upgraded AutomatedExtractor
[27:393] PVG Bought AdvancedPowerInfestation
[27:987] PVG Placed/Upgraded LesserNydusWorm
[27:988] PVG Bought GreaterNydus
[28:265] PVG Placed/Upgraded NydusCanalCreeper
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed/Upgraded MiningDroid
[00:826] Frosky Unlocked ArcWelder
[02:497] Frosky Unlocked BioMechanicalRepairDrone
[02:508] Frosky Unlocked CombatAccelerationDrone
[02:586] Frosky Placed/Upgraded HealingDrone
[02:727] Frosky Placed/Upgraded HealingDrone
[02:884] Frosky Placed/Upgraded HealingDrone
[04:884] Frosky Unlocked AdvancedDroidEngines
[05:858] Frosky Unlocked TurboDroidEngines
[08:528] Frosky Unlocked Stimpack
[10:234] Frosky Placed/Upgraded HealingDrone
[10:395] Frosky Unlocked AutoTurret
[10:533] Frosky Placed/Upgraded AutoTurret
[12:215] Frosky Placed/Upgraded MiningDroid
[12:746] Frosky Placed/Upgraded AutoTurret
[12:906] Frosky Unlocked CombatSuit
[13:922] Frosky Unlocked AdvancedCombatSuit
[13:984] Frosky Placed/Upgraded AutoTurret
[15:422] Frosky Unlocked PsiDisrupter
[15:475] Frosky Placed/Upgraded PsiIndoctrinator
[15:726] Frosky Placed/Upgraded PsiIndoctrinator
[17:147] Frosky Placed/Upgraded PsiIndoctrinator
[17:306] Frosky Unlocked HeavyTurret
[17:534] Frosky Placed/Upgraded AutoTurret
[18:335] Frosky Placed/Upgraded HealingDrone
[22:654] Frosky Placed/Upgraded MiningDroid
[25:127] Frosky Unlocked PsiDepressor
[25:244] Frosky Placed/Upgraded PsiIndoctrinator
[26:425] Frosky Placed/Upgraded AutoTurret
[26:561] Frosky Placed/Upgraded AutoTurret
[26:801] Frosky Placed/Upgraded HealingDrone
[00:572] IdleLoach Unlocked AssaultRifle
[00:745] IdleLoach Placed/Upgraded MiningDroid
[00:797] IdleLoach Unlocked AdvancedDroidEngines
[03:617] IdleLoach Unlocked SpecOpsAssaultRifle
[04:406] IdleLoach Unlocked OverloadWeapon
[06:520] IdleLoach Unlocked TitaniumBulletCasings
[07:893] IdleLoach Unlocked BioMechanicalRepairDrone
[07:906] IdleLoach Unlocked SpecOpsBioMechanicalRepairDrone
[08:169] IdleLoach Placed/Upgraded HealingDrone
[11:008] IdleLoach Placed/Upgraded MiningDroid
[12:665] IdleLoach Unlocked CombatSuit
[12:677] IdleLoach Unlocked AdvancedCombatSuit
[12:907] IdleLoach Bought ShieldSuit
[12:907] IdleLoach Bought CombatSuit
[12:907] IdleLoach Bought HazmatSuit
[12:907] IdleLoach Bought CombatSuit
[13:923] IdleLoach Bought CombatSuit
[14:014] IdleLoach Placed/Upgraded HealingDrone
[14:469] IdleLoach Unlocked CloakingDevice
[16:511] IdleLoach Placed/Upgraded HealingDrone
[18:512] IdleLoach Placed/Upgraded MiningDroid
[18:987] IdleLoach Placed/Upgraded HealingDrone
[19:702] IdleLoach Placed/Upgraded HealingDrone
[21:151] IdleLoach Placed/Upgraded HealingDrone
[22:042] IdleLoach Placed/Upgraded HealingDrone
[22:393] IdleLoach Unlocked EnergyPack
[22:518] IdleLoach Unlocked MiningCharge
[23:129] IdleLoach Placed/Upgraded HealingDrone
[26:971] IdleLoach Unlocked AdvancedMiningCharge
[28:588] IdleLoach Placed/Upgraded NukePack
[30:234] IdleLoach Placed/Upgraded HealingDrone
[00:572] CuongDeee Unlocked AssaultRifle
[00:651] CuongDeee Placed/Upgraded MiningDroid
[02:403] CuongDeee Unlocked HellfireRocketLauncher
[03:805] CuongDeee Unlocked AdvancedDroidEngines
[05:606] CuongDeee Unlocked Stimpack
[06:523] CuongDeee Unlocked SpecOpsHellfireRocketLauncher
[08:141] CuongDeee Unlocked BioMechanicalRepairDrone
[08:297] CuongDeee Placed/Upgraded HealingDrone
[09:198] CuongDeee Placed/Upgraded HealingDrone
[09:543] CuongDeee Unlocked RocketLauncherMod3
[10:695] CuongDeee Placed/Upgraded MiningDroid
[12:618] CuongDeee Unlocked Teleporter
[12:666] CuongDeee Bought ShieldSuit
[12:666] CuongDeee Bought CombatSuit
[12:666] CuongDeee Bought HazmatSuit
[12:666] CuongDeee Bought CombatSuit
[12:678] CuongDeee Bought CombatSuit
[13:680] CuongDeee Placed/Upgraded HealingDrone
[13:818] CuongDeee Unlocked ForceFieldGrenade
[14:875] CuongDeee Placed/Upgraded HealingDrone
[15:557] CuongDeee Placed/Upgraded HealingDrone
[15:759] CuongDeee Placed/Upgraded HealingDrone
[20:952] CuongDeee Unlocked HazmatSuit
[23:071] CuongDeee Unlocked MiningCharge
[24:304] CuongDeee Placed/Upgraded NukePack
[24:908] CuongDeee Placed/Upgraded HealingDrone
[00:572] Doosie Unlocked AssaultRifle
[00:651] Doosie Placed/Upgraded MiningDroid
[00:867] Doosie Unlocked AdvancedDroidEngines
[01:869] Doosie Unlocked FragGrenade
[03:077] Doosie Unlocked SpecOpsFragGrenade
[03:450] Doosie Unlocked OverloadWeapon
[04:426] Doosie Unlocked ExplorationDroid
[05:320] Doosie Placed/Upgraded ExplorationDroid
[05:418] Doosie Placed/Upgraded ExplorationDroid
[05:429] Doosie Placed/Upgraded ExplorationDroid
[08:610] Doosie Unlocked SpecOpsAssaultRifle
[10:487] Doosie Unlocked TitaniumBulletCasings
[12:241] Doosie Unlocked CombatSuit
[12:264] Doosie Unlocked AdvancedCombatSuit
[13:350] Doosie Placed/Upgraded ExplorationDroid
[15:596] Doosie Placed/Upgraded ExplorationDroid
[19:708] Doosie Unlocked BioMechanicalRepairDrone
[20:604] Doosie Placed/Upgraded HealingDrone
[20:953] Doosie Bought ShieldSuit
[20:953] Doosie Bought CombatSuit
[20:953] Doosie Bought HazmatSuit
[20:953] Doosie Bought HazmatSuit
[22:151] Doosie Unlocked PowerConverter
[25:263] Doosie Placed/Upgraded ExplorationDroid
[00:572] zergtoss Unlocked AssaultRifle
[02:357] zergtoss Unlocked AdvancedDroidEngines
[07:580] zergtoss Unlocked Flamethrower
[07:585] zergtoss Unlocked SpecOpsFlamethrower
[09:209] zergtoss Unlocked Shieldsiotunlocked
[12:242] zergtoss Bought ShieldSuit
[12:242] zergtoss Bought CombatSuit
[12:242] zergtoss Bought HazmatSuit
[12:242] zergtoss Bought CombatSuit
[12:265] zergtoss Bought CombatSuit
[15:527] zergtoss Unlocked AdvancedShieldSuit
[17:453] zergtoss Unlocked SuperHealingDrone
[22:469] zergtoss Unlocked LongRangeIncinerators
[26:937] zergtoss Unlocked DefensiveMatrix
[27:031] zergtoss Unlocked CombatShield
[09:210] Security Bought ShieldSuit
[09:210] Security Bought CombatSuit
[09:210] Security Bought HazmatSuit
[09:210] Security Bought ShieldSuit
[15:528] Security Bought ShieldSuit
PVG First Alpha Anubalisk |  Win

PVG Placed 0 Greaters.
--------------------------------
