Analyzed: Oh No It's Zombies Arctic Map (133)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: dreamer Race: Zerg
ID : 2 PlayerName: RedReaperz Race: Zerg
ID : 3 PlayerName: Loke Race: Terran
ID : 4 PlayerName: BardBard Race: Terran
ID : 5 PlayerName: DirtyChicken Race: Terran
ID : 7 PlayerName: Security Race: 
RedReaperz Zombie Loss
Public Lobby

Game Length:[34:201]
Players ammount: 7
Marine rank avg: 4
GrandMaster ammount: 1
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[00:744] Frosky Placed/Upgraded MiningDroid
[00:783] Frosky Unlocked ArcWelder
[01:862] Frosky Unlocked BioMechanicalRepairDrone
[01:872] Frosky Unlocked CombatAccelerationDrone
[01:989] Frosky Placed/Upgraded HealingDrone
[02:700] Frosky Placed/Upgraded HealingDrone
[02:853] Frosky Placed/Upgraded HealingDrone
[03:903] Frosky Unlocked AdvancedDroidEngines
[05:557] Frosky Unlocked TurboDroidEngines
[06:345] Frosky Unlocked Stimpack
[07:023] Frosky Unlocked CombatSuit
[07:587] Frosky Unlocked AdvancedCombatSuit
[07:613] Frosky Unlocked AIAssistant
[08:452] Frosky Unlocked ExplorationDroid
[08:475] Frosky Placed/Upgraded ExplorationDroid
[08:481] Frosky Placed/Upgraded ExplorationDroid
[08:607] Frosky Placed/Upgraded ExplorationDroid
[09:650] Frosky Unlocked PsiDisrupter
[09:701] Frosky Placed/Upgraded PsiIndoctrinator
[10:537] Frosky Placed/Upgraded PsiIndoctrinator
[10:798] Frosky Placed/Upgraded PsiIndoctrinator
[12:150] Frosky Unlocked PsiDepressor
[12:209] Frosky Unlocked SpecOpsArcWelder
[12:651] Frosky Unlocked AutoTurret
[12:668] Frosky Unlocked FlameTurret
[15:474] Frosky Placed/Upgraded PsiIndoctrinator
[15:844] Frosky Placed/Upgraded AutoTurret
[15:981] Frosky Placed/Upgraded AutoTurret
[16:731] Frosky Placed/Upgraded AutoTurret
[17:270] Frosky Unlocked HeavyTurret
[17:542] Frosky Unlocked QuantumBackpack
[17:544] Frosky Unlocked CombatShield
[18:894] Frosky Placed/Upgraded AutoTurret
[18:993] Frosky Placed/Upgraded HealingDrone
[19:149] Frosky Placed/Upgraded AutoTurret
[20:677] Frosky Placed/Upgraded AutoTurret
[20:886] Frosky Placed/Upgraded AutoTurret
[21:091] Frosky Placed/Upgraded AutoTurret
[21:331] Frosky Placed/Upgraded AutoTurret
[21:627] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[21:669] Frosky Placed/Upgraded HealingDrone
[22:011] Frosky Placed/Upgraded AutoTurret
[22:336] Frosky Placed/Upgraded AutoTurret
[22:703] Frosky Placed/Upgraded AutoTurret
[23:981] Frosky Placed/Upgraded AutoTurret
[24:486] Frosky Placed/Upgraded AutoTurret
[24:752] Frosky Placed/Upgraded AutoTurret
[24:876] Frosky Placed/Upgraded AutoTurret
[25:243] Frosky Placed/Upgraded AutoTurret
[26:350] Frosky Unlocked ArcWelderMod1
[28:279] Frosky Unlocked FlashBang
[28:286] Frosky Unlocked SpecOpsFlashbang
[28:628] Frosky Placed/Upgraded AutoTurret
[32:050] Frosky Placed/Upgraded AutoTurret
[07:024] dreamer Bought ShieldSuit
[07:024] dreamer Bought CombatSuit
[07:024] dreamer Bought HazmatSuit
[07:024] dreamer Bought CombatSuit
[07:588] dreamer Bought CombatSuit
[11:592] dreamer Placed AutomatedExtractor
[12:798] dreamer Placed LocustNest
[14:585] dreamer Placed LocustNest
[15:470] dreamer Placed AutomatedExtractor
[15:605] dreamer Placed LocustNest
[24:150] dreamer Placed AutomatedExtractor
[25:674] dreamer Placed NydusCanalCreeper
[26:032] dreamer Placed PrimalSunkenColony
[26:313] dreamer Placed PrimalSunkenColony
[26:572] dreamer Placed LocustNest
[26:904] dreamer Placed LocustNest
[28:719] dreamer Placed PrimalSunkenColony
[28:879] dreamer Placed LocustNest
[29:111] dreamer Placed PrimalSunkenColony
[31:706] dreamer Placed PrimalSunkenColony
[31:882] dreamer Placed LocustNest
[32:616] dreamer Placed PrimalSunkenColony
[32:777] dreamer Placed LocustNest
[33:071] dreamer Placed PrimalSunkenColony
[00:568] RedReaperz Bought PlayerNumber
[00:572] RedReaperz Unlocked AssaultRifle
[00:651] RedReaperz Placed/Upgraded MiningDroid
[00:967] RedReaperz Unlocked IncendiaryGrenade
[01:031] RedReaperz Spawned MassiveCocoon
[01:908] RedReaperz Unlocked AdvancedDroidEngines
[02:471] RedReaperz Spawned InfestedAbomination
[02:868] RedReaperz Bought StrainSpeed
[02:869] RedReaperz Bought StrainSpeed
[03:787] RedReaperz Unlocked ArcWelder
[04:764] RedReaperz Unlocked AutoTurret
[04:838] RedReaperz Unlocked HeavyTurret
[04:942] RedReaperz Placed/Upgraded AutoTurret
[05:153] RedReaperz Placed/Upgraded AutoTurret
[05:203] RedReaperz Bought PureStrainSpeed
[05:204] RedReaperz Bought PureStrainSpeed
[06:120] RedReaperz Bought HunterlingStrain
[06:121] RedReaperz Bought HunterlingStrain
[06:618] RedReaperz Unlocked Stimpack
[07:201] RedReaperz Unlocked TurboDroidEngines
[07:535] RedReaperz Bought StrainSpeed
[07:536] RedReaperz Bought StrainSpeed
[09:000] RedReaperz Unlocked BioMechanicalRepairDrone
[09:028] RedReaperz Unlocked SpecOpsBioMechanicalRepairDrone
[09:113] RedReaperz Placed/Upgraded HealingDrone
[09:365] RedReaperz Bought PureStrainSpeed
[09:366] RedReaperz Bought PureStrainSpeed
[09:595] RedReaperz Placed/Upgraded HealingDrone
[11:224] RedReaperz Placed/Upgraded AutoTurret
[11:534] RedReaperz Placed/Upgraded AutoTurret
[11:591] RedReaperz Bought BuildExtractorScienceLabs
[11:592] RedReaperz Bought BuildExtractorScienceLabs
[11:718] RedReaperz Placed/Upgraded AutoTurret
[11:995] RedReaperz Placed/Upgraded AutoTurret
[12:233] RedReaperz Placed/Upgraded HealingDrone
[12:420] RedReaperz Placed/Upgraded HealingDrone
[12:909] RedReaperz Placed/Upgraded HealingDrone
[13:887] RedReaperz Unlocked PsiDisrupter
[14:073] RedReaperz Unlocked PsiDepressor
[14:193] RedReaperz Bought CreepSpeed
[14:194] RedReaperz Bought CreepSpeed
[14:618] RedReaperz Placed/Upgraded PsiIndoctrinator
[15:127] RedReaperz Placed/Upgraded PsiIndoctrinator
[15:469] RedReaperz Bought BuildExtractorProcessingFacilities
[15:470] RedReaperz Bought BuildExtractorProcessingFacilities
[15:978] RedReaperz Placed/Upgraded PsiIndoctrinator
[16:114] RedReaperz Unlocked SpecOpsArcWelder
[16:257] RedReaperz Unlocked ArcWelderMod1
[16:419] RedReaperz Placed/Upgraded HealingDrone
[16:634] RedReaperz Bought HunterlingStrain
[16:635] RedReaperz Bought HunterlingStrain
[17:595] RedReaperz Bought StrainSpeed
[17:596] RedReaperz Bought StrainSpeed
[18:315] RedReaperz Placed/Upgraded AutoTurret
[18:715] RedReaperz Bought UnlockDropPods
[18:716] RedReaperz Bought UnlockDropPods
[18:733] RedReaperz Bought EvolveDropPods
[18:734] RedReaperz Bought EvolveDropPods
[19:447] RedReaperz Bought EvolveDropPods
[19:448] RedReaperz Bought EvolveDropPods
[19:459] RedReaperz Bought EvolveDropPods
[19:460] RedReaperz Bought EvolveDropPods
[19:464] RedReaperz Bought EvolveDropPods
[19:465] RedReaperz Bought EvolveDropPods
[19:680] RedReaperz Placed/Upgraded AutoTurret
[20:218] RedReaperz Placed/Upgraded AutoTurret
[20:372] RedReaperz Bought PureStrainSpeed
