Analyzed: Oh No It's Zombies Arctic Map (134)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: RedReaperz Race: Terran
ID : 2 PlayerName: DirtyChicken Race: Terran
ID : 3 PlayerName: ByoKiller Race: Terran
ID : 4 PlayerName: SpaceMilk Race: Terran
ID : 5 PlayerName: Galactian Race: Terran
ID : 6 PlayerName: Kirby Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Frosky Zombie Win
Public Lobby

Game Length:[35:508]
Players ammount: 8
Marine rank avg: 6,833333333333333
GrandMaster ammount: 2
PURCHASES: 
[01:347] Frosky Spawned MassiveCocoon
[02:787] Frosky Spawned InfestedAbomination
[03:789] Frosky Bought CreepSpeed
[04:423] Frosky Placed/Upgraded PrimalSunkenColony
[04:424] Frosky Bought SunkenColony
[05:706] Frosky Spawned MassiveCocoon
[07:146] Frosky Spawned Anubalisk
[08:106] Frosky Bought UnlockDropPods
[08:112] Frosky Bought EvolveDropPods
[08:421] Frosky Bought EvolveDropPods
[09:548] Frosky Bought EvolveDropPods
[09:551] Frosky Bought EvolveDropPods
[09:554] Frosky Bought EvolveDropPods
[12:747] Frosky Bought EvolveDropPods
[14:349] Frosky Bought VirulentCreep
[18:919] Frosky Bought StrainVolatile
[18:935] Frosky Bought PureStrainVolatile
[20:733] Frosky Bought StrainHealth
[20:744] Frosky Bought PureStrainHealth
[22:102] Frosky Bought BuildExtractorScienceLabs
[22:102] Frosky Placed/Upgraded AutomatedExtractor
[23:854] Frosky Bought BuildExtractorProcessingFacilities
[23:854] Frosky Placed/Upgraded AutomatedExtractor
[24:961] Frosky Bought BuildExtractorManufacturingSector
[24:961] Frosky Placed/Upgraded AutomatedExtractor
[24:998] Frosky Bought BuildExtractorExcavationZone
[24:998] Frosky Placed/Upgraded AutomatedExtractor
[26:039] Frosky Bought SiphonFuel
[26:469] Frosky Bought ExtractorCostReductionManufacturingSector
[26:469] Frosky Bought BuildExtractorManufacturingSector
[26:910] Frosky Placed/Upgraded Virophage
[27:258] Frosky Placed/Upgraded Virophage
[28:375] Frosky Placed/Upgraded NydusCanalCreeper
[29:105] Frosky Bought SiphonFuel
[30:151] Frosky Bought StrainSpeed
[30:160] Frosky Bought PureStrainSpeed
[30:328] Frosky Bought AdvancedInfestationContainment
[31:200] Frosky Bought DropshipsFueled
[31:290] Frosky Spawned RoyalCocoon
[31:290] Frosky Bought SpawnHiveQueen
[31:290] Frosky Bought UltimateInfestationResearched
[31:553] Frosky Spawned MassiveCocoon
[32:007] Frosky Bought SpawnNydusWorm
[32:009] Frosky Spawned QueenCoop
[32:633] Frosky Spawned Underseer
[32:668] Frosky Placed/Upgraded NydusCanalCreeper
[33:211] Frosky Placed/Upgraded GreaterNydusWorm
[34:540] Frosky Bought TankStrain
[34:547] Frosky Bought KaboomerStrain
[35:073] Frosky Bought HunterlingStrain
[00:572] RedReaperz Unlocked AssaultRifle
[00:654] RedReaperz Placed/Upgraded MiningDroid
[00:821] RedReaperz Unlocked ArcWelder
[02:267] RedReaperz Unlocked Stimpack
[04:577] RedReaperz Unlocked BioMechanicalRepairDrone
[04:596] RedReaperz Unlocked CombatAccelerationDrone
[04:970] RedReaperz Placed/Upgraded HealingDrone
[05:765] RedReaperz Placed/Upgraded HealingDrone
[07:390] RedReaperz Placed/Upgraded HealingDrone
[08:597] RedReaperz Unlocked AutoTurret
[08:615] RedReaperz Unlocked HeavyTurret
[08:653] RedReaperz Unlocked SpecOpsBioMechanicalRepairDrone
[08:858] RedReaperz Placed/Upgraded AutoTurret
[09:014] RedReaperz Placed/Upgraded AutoTurret
[09:968] RedReaperz Placed/Upgraded AutoTurret
[09:981] RedReaperz Placed/Upgraded MiningDroid
[10:430] RedReaperz Unlocked FlameTurret
[10:810] RedReaperz Placed/Upgraded AutoTurret
[12:303] RedReaperz Placed/Upgraded HealingDrone
[12:491] RedReaperz Placed/Upgraded HealingDrone
[13:775] RedReaperz Placed/Upgraded HealingDrone
[14:557] RedReaperz Unlocked PsiDisrupter
[14:729] RedReaperz Placed/Upgraded PsiIndoctrinator
[15:757] RedReaperz Placed/Upgraded HealingDrone
[15:929] RedReaperz Placed/Upgraded HealingDrone
[16:579] RedReaperz Placed/Upgraded MiningDroid
[17:338] RedReaperz Placed/Upgraded HealingDrone
[17:491] RedReaperz Placed/Upgraded HealingDrone
[17:716] RedReaperz Placed/Upgraded PsiIndoctrinator
[18:508] RedReaperz Placed/Upgraded AutoTurret
[18:815] RedReaperz Placed/Upgraded AutoTurret
[19:561] RedReaperz Placed/Upgraded AutoTurret
[21:793] RedReaperz Placed/Upgraded HealingDrone
[22:328] RedReaperz Placed/Upgraded HealingDrone
