Analyzed: Oh No It's Zombies Arctic Map (143)

ID : 0 PlayerName: devidog Race: Terran
ID : 1 PlayerName: DarkFeyAlfar Race: Terran
ID : 2 PlayerName: BatMite Race: Terran
ID : 3 PlayerName: PVG Race: Zerg
ID : 4 PlayerName: CultClassic Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: Hinone Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
PVG Zombie Win
Public Lobby

Game Length:[31:847]
Players ammount: 8
Marine rank avg: 4,5
GrandMaster ammount: 1
PURCHASES: 
[00:572] devidog Unlocked AssaultRifle
[00:651] devidog Placed/Upgraded MiningDroid
[00:774] devidog Unlocked AdvancedDroidEngines
[03:153] devidog Unlocked TurboDroidEngines
[05:969] devidog Unlocked BeamRifle
[06:110] devidog Unlocked ExplorationDroid
[07:503] devidog Placed/Upgraded ExplorationDroid
[07:522] devidog Placed/Upgraded ExplorationDroid
[08:095] devidog Unlocked AdvancedExplorationDroid
[08:167] devidog Placed/Upgraded ExplorationDroid
[09:324] devidog Unlocked SpecOpsPlasmaRifle
[09:582] devidog Placed/Upgraded ExplorationDroid
[09:935] devidog Placed/Upgraded ExplorationDroid
[10:741] devidog Placed/Upgraded ExplorationDroid
[11:570] devidog Unlocked CloakingDevice
[14:709] devidog Unlocked SpecOpsCloakingDevice
[30:026] devidog Placed/Upgraded ExplorationDroid
[00:572] DarkFeyAlfar Unlocked AssaultRifle
[00:653] DarkFeyAlfar Placed/Upgraded MiningDroid
[00:909] DarkFeyAlfar Unlocked ForceFieldGrenade
[00:967] DarkFeyAlfar Unlocked BeamRifle
[04:937] DarkFeyAlfar Unlocked MotionSensor
[05:363] DarkFeyAlfar Placed/Upgraded SensorTower
[06:870] DarkFeyAlfar Unlocked Stimpack
[08:695] DarkFeyAlfar Unlocked Shieldsiotunlocked
[09:436] DarkFeyAlfar Placed/Upgraded SensorTower
[11:976] DarkFeyAlfar Unlocked AutoTurret
