Analyzed: Oh No It's Zombies Arctic Map (144)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Ascherit Race: Terran
ID : 2 PlayerName: Pandameme Race: Terran
ID : 3 PlayerName: Kira Race: Terran
ID : 4 PlayerName: csiz Race: Zerg
ID : 5 PlayerName: SpicyWolf Race: Terran
ID : 6 PlayerName: IIIIIIIIIIII Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
csiz Zombie Win
Private Lobby

Game Length:[32:499]
Players ammount: 8
Marine rank avg: 18,166666666666668
GrandMaster ammount: 4
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed/Upgraded MiningDroid
[00:712] Frosky Unlocked AutoTurret
[00:737] Frosky Unlocked FlameTurret
[02:844] Frosky Placed/Upgraded AutoTurret
[04:915] Frosky Placed/Upgraded AutoTurret
[06:881] Frosky Placed/Upgraded AutoTurret
[07:825] Frosky Placed/Upgraded AutoTurret
[14:121] Frosky Placed/Upgraded AutoTurret
[21:753] Frosky Placed/Upgraded AutoTurret
[21:932] Frosky Placed/Upgraded AutoTurret
[22:164] Frosky Placed/Upgraded AutoTurret
[23:032] Frosky Placed/Upgraded MiningDroid
[24:190] Frosky Unlocked AdvancedDroidEngines
[24:957] Frosky Placed/Upgraded AutoTurret
[25:242] Frosky Placed/Upgraded AutoTurret
[26:280] Frosky Placed/Upgraded AutoTurret
[27:670] Frosky Placed/Upgraded AutoTurret
[28:096] Frosky Placed/Upgraded AutoTurret
[28:678] Frosky Placed/Upgraded AutoTurret
[29:232] Frosky Placed/Upgraded AutoTurret
[29:789] Frosky Placed/Upgraded AutoTurret
[00:572] Ascherit Unlocked AssaultRifle
[00:831] Ascherit Placed/Upgraded MiningDroid
[01:057] Ascherit Unlocked AdvancedDroidEngines
[02:562] Ascherit Unlocked IncendiaryGrenade
[04:371] Ascherit Unlocked ExplorationDroid
[04:396] Ascherit Placed/Upgraded ExplorationDroid
[04:403] Ascherit Placed/Upgraded ExplorationDroid
[04:745] Ascherit Placed/Upgraded ExplorationDroid
[06:640] Ascherit Unlocked Ares
[06:695] Ascherit Placed/Upgraded PrototypeAresTankMode
[12:662] Ascherit Placed/Upgraded ExplorationDroid
[13:002] Ascherit Unlocked SpecOpsAres
[13:335] Ascherit Unlocked AresMod2
[13:582] Ascherit Placed/Upgraded PrototypeAresTankMode
[15:028] Ascherit Placed/Upgraded PrototypeAresTankMode
[15:491] Ascherit Unlocked AresMod3
[16:893] Ascherit Unlocked AresMod6
[19:041] Ascherit Unlocked AresMod1
[19:042] Ascherit Unlocked AresMod9HostileEnvironmentTreads
[20:510] Ascherit Unlocked AresMod4
[24:702] Ascherit Unlocked MiningCharge
[24:712] Ascherit Unlocked AdvancedMiningCharge
[24:963] Ascherit Placed/Upgraded NukePack
[26:422] Ascherit Placed/Upgraded MiningDroid
[27:267] Ascherit Placed/Upgraded NukePack
[27:384] Ascherit Placed/Upgraded NukePack
[27:572] Ascherit Unlocked BioMechanicalRepairDrone
[28:818] Ascherit Placed/Upgraded NukePack
[28:832] Ascherit Placed/Upgraded HealingDrone
[29:933] Ascherit Placed/Upgraded HealingDrone
[30:168] Ascherit Placed/Upgraded HealingDrone
[30:209] Ascherit Placed/Upgraded PrototypeAresTankMode
[00:572] Pandameme Unlocked AssaultRifle
[00:651] Pandameme Placed/Upgraded MiningDroid
[01:439] Pandameme Unlocked IncendiaryGrenade
[02:431] Pandameme Unlocked BeamRifle
[05:117] Pandameme Unlocked SuperStimpack
[08:790] Pandameme Unlocked AdvancedDroidEngines
[08:899] Pandameme Placed/Upgraded MiningDroid
[11:375] Pandameme Unlocked Stimpack
[13:120] Pandameme Unlocked SpecOpsPlasmaRifle
[15:648] Pandameme Placed/Upgraded MiningDroid
[15:960] Pandameme Unlocked TurboDroidEngines
[16:254] Pandameme Unlocked PsiDisrupter
[17:037] Pandameme Placed/Upgraded PsiIndoctrinator
[19:197] Pandameme Unlocked OpticalVisor
[19:235] Pandameme Unlocked EnergyPack
[19:267] Pandameme Unlocked MiningCharge
[19:626] Pandameme Placed/Upgraded NukePack
[20:607] Pandameme Placed/Upgraded PsiIndoctrinator
[21:200] Pandameme Placed/Upgraded PsiIndoctrinator
[21:822] Pandameme Unlocked AutoTurret
[22:032] Pandameme Placed/Upgraded AutoTurret
[22:862] Pandameme Placed/Upgraded PsiIndoctrinator
[23:284] Pandameme Placed/Upgraded PsiIndoctrinator
[24:011] Pandameme Placed/Upgraded NukePack
[25:259] Pandameme Unlocked PsiDepressor
[26:457] Pandameme Placed/Upgraded NukePack
[26:786] Pandameme Placed/Upgraded AutoTurret
[27:935] Pandameme Placed/Upgraded PsiIndoctrinator
[29:464] Pandameme Placed/Upgraded AutoTurret
[30:566] Pandameme Placed/Upgraded NukePack
[00:572] Kira Unlocked AssaultRifle
[00:653] Kira Placed MiningDroid
[02:460] Kira Unlocked SpecOpsAssaultRifle
[05:115] Kira Unlocked AdvancedDroidEngines
[05:612] Kira Unlocked SuperStimpack
[08:780] Kira Unlocked TurboDroidEngines
[12:490] Kira Unlocked Shieldsiotunlocked
[12:517] Kira Unlocked SpecOpsSuperStimpack
[13:709] Kira Unlocked AIAssistant
[13:715] Kira Unlocked EnergyPack
[15:013] Kira Unlocked TitaniumBulletCasings
[15:081] Kira Unlocked CombatShield
[16:419] Kira Unlocked MiningCharge
[16:497] Kira Placed NukePack
[17:491] Kira Placed NukePack
[17:924] Kira Unlocked ExplorationDroid
[17:941] Kira Placed ExplorationDroid
[17:949] Kira Placed ExplorationDroid
[19:625] Kira Placed ExplorationDroid
[19:930] Kira Unlocked AutoTurret
[21:231] Kira Unlocked HeavyTurret
[21:299] Kira Placed AutoTurret
[22:251] Kira Placed AutoTurret
[22:464] Kira Placed AutoTurret
[25:200] Kira Placed AutoTurret
[27:591] Kira Placed AutoTurret
[28:299] Kira Placed AutoTurret
[28:578] Kira Placed AutoTurret
[00:568] csiz Bought PlayerNumber
[00:841] csiz Spawned MassiveCocoon
[02:087] csiz Placed/Upgraded NydusCanalCreeper
[02:281] csiz Spawned Hunter
[03:908] csiz Placed/Upgraded PrimalSunkenColony
[03:909] csiz Bought SunkenColony
[04:284] csiz Placed/Upgraded ToxicNest
[04:293] csiz Placed/Upgraded ToxicNest
[04:339] csiz Placed/Upgraded ToxicNest
[04:797] csiz Bought StrainSpeed
[05:336] csiz Bought SunkenColony
[05:641] csiz Placed/Upgraded PrimalSunkenColony
[05:642] csiz Bought SunkenColony
[06:401] csiz Placed/Upgraded ToxicNest
[06:576] csiz Bought PureStrainSpeed
[07:260] csiz Bought HunterlingStrain
[07:467] csiz Bought SunkenColony
[07:752] csiz Placed/Upgraded NydusCanalCreeper
