Analyzed: Oh No It's Zombies Arctic Map (147)

ID : 0 PlayerName: Bman Race: Terran
ID : 1 PlayerName: Renduras Race: Terran
ID : 2 PlayerName: bonkybonky Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: BARUNA Race: Zerg
ID : 5 PlayerName: eye Race: Terran
ID : 6 PlayerName: SpicyWolf Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
BARUNA Zombie Win
Public Lobby

Game Length:[33:899]
Players ammount: 8
Marine rank avg: 12,166666666666666
GrandMaster ammount: 2
PURCHASES: 
[00:572] Bman Unlocked AssaultRifle
[00:651] Bman Placed/Upgraded MiningDroid
[00:705] Bman Unlocked AdvancedDroidEngines
[03:615] Bman Unlocked Flamethrower
[04:446] Bman Unlocked SpecOpsFlamethrower
[10:297] Bman Unlocked TurboDroidEngines
[15:566] Bman Unlocked Stimpack
[15:606] Bman Unlocked MedicShield
[15:622] Bman Unlocked QuantumBackpack
[16:366] Bman Unlocked LongRangeIncinerators
[16:401] Bman Unlocked OpticalVisor
[17:257] Bman Unlocked BioMechanicalRepairDrone
[17:811] Bman Placed/Upgraded HealingDrone
[18:036] Bman Placed/Upgraded MiningDroid
[18:813] Bman Unlocked SpecOpsBioMechanicalRepairDrone
[18:920] Bman Unlocked SuperStimpack
[19:041] Bman Placed/Upgraded HealingDrone
[19:253] Bman Placed/Upgraded HealingDrone
[20:384] Bman Placed/Upgraded HealingDrone
[20:584] Bman Unlocked IncendiaryGrenade
[20:768] Bman Placed/Upgraded HealingDrone
[21:381] Bman Unlocked Shieldsiotunlocked
[21:408] Bman Unlocked AdvancedShieldSuit
[22:171] Bman Unlocked AutoTurret
[22:184] Bman Unlocked SpecOpsTurret
[22:728] Bman Placed/Upgraded HealingDrone
[22:951] Bman Placed/Upgraded AutoTurret
[23:195] Bman Placed/Upgraded AutoTurret
[24:495] Bman Placed/Upgraded HealingDrone
[24:675] Bman Placed/Upgraded HealingDrone
[25:425] Bman Placed/Upgraded HealingDrone
[25:961] Bman Placed/Upgraded HealingDrone
[26:829] Bman Unlocked SpecOpsIncendiaryGrenade
[26:992] Bman Unlocked SpecOpsSuperStimpack
[27:914] Bman Placed/Upgraded HealingDrone
[30:229] Bman Placed/Upgraded HealingDrone
[30:417] Bman Placed/Upgraded HealingDrone
[00:572] Renduras Unlocked AssaultRifle
[00:661] Renduras Placed/Upgraded MiningDroid
[00:836] Renduras Unlocked AdvancedDroidEngines
[03:680] Renduras Unlocked TurboDroidEngines
[05:258] Renduras Unlocked MotionSensor
[05:666] Renduras Placed/Upgraded SensorTower
[06:377] Renduras Placed/Upgraded SensorTower
[07:547] Renduras Placed/Upgraded SensorTower
[07:703] Renduras Unlocked Stimpack
[08:166] Renduras Placed/Upgraded SensorTower
[08:739] Renduras Placed/Upgraded SensorTower
[09:205] Renduras Unlocked MedicShield
[10:366] Renduras Placed/Upgraded SensorTower
[12:616] Renduras Unlocked BeamRifle
[12:625] Renduras Unlocked SpecOpsPlasmaRifle
[13:281] Renduras Unlocked PlasmaRifleMod3
[14:498] Renduras Unlocked CombatSuit
[15:869] Renduras Unlocked AdvancedCombatSuit
[16:169] Renduras Unlocked OpticalVisor
[16:717] Renduras Unlocked FragGrenade
[21:382] Renduras Bought ShieldSuit
[21:382] Renduras Bought CombatSuit
[21:382] Renduras Bought HazmatSuit
[21:382] Renduras Bought ShieldSuit
[21:409] Renduras Bought ShieldSuit
[00:572] bonkybonky Unlocked AssaultRifle
[00:794] bonkybonky Unlocked FragGrenade
[00:804] bonkybonky Unlocked SpecOpsFragGrenade
[00:967] bonkybonky Placed/Upgraded MiningDroid
[03:820] bonkybonky Unlocked AdvancedDroidEngines
[09:238] bonkybonky Unlocked MiningCharge
[09:399] bonkybonky Placed/Upgraded NukePack
[09:681] bonkybonky Placed/Upgraded NukePack
[11:060] bonkybonky Placed/Upgraded NukePack
[14:499] bonkybonky Bought ShieldSuit
[14:499] bonkybonky Bought CombatSuit
[14:499] bonkybonky Bought HazmatSuit
[14:499] bonkybonky Bought CombatSuit
[15:870] bonkybonky Bought CombatSuit
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed MiningDroid
[00:725] Frosky Unlocked IncendiaryGrenade
