Analyzed: Oh No It's Zombies Arctic Map (15)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: ForPutin Race: Terran
ID : 2 PlayerName: ZehN Race: Terran
ID : 3 PlayerName: edictbeats Race: Terran
ID : 4 PlayerName: ethan Race: Terran
ID : 5 PlayerName: ArrImapirate Race: Terran
ID : 6 PlayerName: JesyBoi Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Frosky Zombie Win
Public Lobby

Game Length:[28:416]
Players ammount: 8
Marine rank avg: 1
GrandMaster ammount: 1
PURCHASES: 
[00:646] Frosky Spawned MassiveCocoon
[02:086] Frosky Spawned Hunter
[02:535] Frosky Spawned MassiveCocoon
[03:504] Frosky Spawned MassiveCocoon
[03:975] Frosky Spawned Hunter
[04:759] Frosky Placed/Upgraded ToxicNest
[04:761] Frosky Placed/Upgraded ToxicNest
[04:771] Frosky Placed/Upgraded ToxicNest
[04:771] Frosky Placed/Upgraded ToxicNest
[04:781] Frosky Placed/Upgraded ToxicNest
[04:819] Frosky Placed/Upgraded PrimalSunkenColony
[04:820] Frosky Bought SunkenColony
[04:944] Frosky Spawned PrimalTownHallUprooted
[06:727] Frosky Bought SunkenColony
[07:822] Frosky Bought BuildExtractorScienceLabs
[07:822] Frosky Placed/Upgraded AutomatedExtractor
[09:356] Frosky Bought CreepSpeed
[10:223] Frosky Placed/Upgraded ToxicNest
[10:229] Frosky Placed/Upgraded ToxicNest
[10:233] Frosky Placed/Upgraded ToxicNest
[10:270] Frosky Placed/Upgraded ToxicNest
[10:729] Frosky Bought VirulentCreep
[11:638] Frosky Bought BuildExtractorExcavationZone
[11:638] Frosky Placed/Upgraded AutomatedExtractor
[13:132] Frosky Placed/Upgraded NydusCanalCreeper
[13:930] Frosky Bought CreepSpeed
[14:296] Frosky Placed/Upgraded Virophage
[14:823] Frosky Bought AdvancedInfestationContainment
[15:347] Frosky Placed/Upgraded NydusCanalCreeper
[15:617] Frosky Spawned MassiveCocoon
[16:697] Frosky Spawned Underseer
[17:670] Frosky Placed/Upgraded Virophage
[17:827] Frosky Placed/Upgraded NydusCanalCreeper
[18:777] Frosky Bought UnlockDropPods
[18:784] Frosky Bought EvolveDropPods
[18:787] Frosky Bought EvolveDropPods
[18:790] Frosky Bought EvolveDropPods
[19:799] Frosky Placed/Upgraded PrimalSunkenColony
[19:800] Frosky Bought SunkenColony
[20:431] Frosky Bought StrainVolatile
[20:442] Frosky Bought PureStrainVolatile
[20:474] Frosky Bought StrainHealth
[20:703] Frosky Placed/Upgraded NydusCanalCreeper
[21:650] Frosky Bought BuildExtractorManufacturingSector
[21:650] Frosky Placed/Upgraded AutomatedExtractor
[21:853] Frosky Placed/Upgraded NydusCanalCreeper
[22:495] Frosky Bought SunkenColony
[22:790] Frosky Bought EvolveDropPods
[22:793] Frosky Bought EvolveDropPods
[22:796] Frosky Bought EvolveDropPods
[23:684] Frosky Bought PureStrainHealth
[23:694] Frosky Bought TankStrain
[24:216] Frosky Placed/Upgraded Virophage
[24:336] Frosky Bought BuildExtractorProcessingFacilities
[24:336] Frosky Placed/Upgraded AutomatedExtractor
[25:788] Frosky Bought SpawnNydusWorm
[25:868] Frosky Placed/Upgraded GreaterNydusWorm
[26:216] Frosky Bought KaboomerStrain
[00:572] ForPutin Unlocked AssaultRifle
[01:332] ForPutin Placed/Upgraded MiningDroid
[01:484] ForPutin Unlocked ArcWelder
[04:635] ForPutin Unlocked AdvancedDroidEngines
[05:759] ForPutin Unlocked TurboDroidEngines
[08:047] ForPutin Unlocked Stimpack
[20:837] ForPutin Unlocked AutoTurret
[20:860] ForPutin Unlocked HeavyTurret
[20:941] ForPutin Placed/Upgraded AutoTurret
[21:090] ForPutin Placed/Upgraded AutoTurret
[21:293] ForPutin Placed/Upgraded AutoTurret
[21:610] ForPutin Placed/Upgraded AutoTurret
[22:468] ForPutin Placed/Upgraded AutoTurret
[23:717] ForPutin Placed/Upgraded AutoTurret
[25:649] ForPutin Placed/Upgraded AutoTurret
[26:809] ForPutin Placed/Upgraded AutoTurret
