Analyzed: Oh No It's Zombies Arctic Map (156)

ID : 0 PlayerName: ILoveNoobs Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: DarkFeyAlfar Race: Terran
ID : 3 PlayerName: Rezpectful Race: Terran
ID : 4 PlayerName: rabbitusagi Race: Terran
ID : 5 PlayerName: VeloCity Race: Terran
ID : 6 PlayerName: SpicyWolf Race: Zerg
ID : 7 PlayerName: Security Race: Terran
SpicyWolf Zombie Loss
Public Lobby

Game Length:[41:165]
Players ammount: 8
Marine rank avg: 13
GrandMaster ammount: 2
PURCHASES: 
[00:572] ILoveNoobs Unlocked AssaultRifle
[00:747] ILoveNoobs Placed/Upgraded MiningDroid
[00:774] ILoveNoobs Unlocked AdvancedDroidEngines
[04:958] ILoveNoobs Unlocked TurboDroidEngines
[06:576] ILoveNoobs Unlocked Stimpack
[07:290] ILoveNoobs Unlocked MotionSensor
[07:431] ILoveNoobs Placed/Upgraded SensorTower
[08:134] ILoveNoobs Placed/Upgraded SensorTower
[09:297] ILoveNoobs Unlocked Flamethrower
[10:338] ILoveNoobs Placed/Upgraded SensorTower
[11:000] ILoveNoobs Unlocked SpecOpsFlamethrower
[11:761] ILoveNoobs Placed/Upgraded SensorTower
[13:045] ILoveNoobs Unlocked Shieldsiotunlocked
[13:491] ILoveNoobs Unlocked AdvancedShieldSuit
[15:154] ILoveNoobs Unlocked ThermiteFilaments
[15:215] ILoveNoobs Unlocked CombatShield
[15:896] ILoveNoobs Placed/Upgraded SensorTower
[16:591] ILoveNoobs Unlocked SuperHealingDrone
[20:623] ILoveNoobs Unlocked SpecOpsSuperHealingDrone
[21:750] ILoveNoobs Unlocked BioMechanicalRepairDrone
[21:770] ILoveNoobs Unlocked SpecOpsBioMechanicalRepairDrone
[22:752] ILoveNoobs Placed/Upgraded HealingDrone
[23:374] ILoveNoobs Placed/Upgraded HealingDrone
[26:074] ILoveNoobs Placed/Upgraded HealingDrone
