Analyzed: Oh No It's Zombies Arctic Map (158)

ID : 0 PlayerName: Quinn Race: Zerg
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: DarkFeyAlfar Race: Terran
ID : 3 PlayerName: Artyom Race: Terran
ID : 4 PlayerName: KERT Race: Terran
ID : 5 PlayerName: BARUNA Race: Terran
ID : 6 PlayerName: rabbitusagi Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Quinn Zombie Loss
Public Lobby

Game Length:[36:826]
Players ammount: 8
Marine rank avg: 12,666666666666666
GrandMaster ammount: 1
PURCHASES: 
[00:786] Quinn Bought StrainHealth
[01:666] Quinn Bought StrainHealth
[03:556] Quinn Bought StrainHealth
[05:434] Quinn Bought StrainHealth
[07:845] Quinn Spawned MassiveCocoon
[09:285] Quinn Spawned InfestedAbomination
[13:254] Quinn Bought StrainHealth
[15:097] Quinn Bought PureStrainHealth
[16:193] Quinn Bought PureStrainHealth
[16:548] Quinn Bought PureStrainHealth
[17:657] Quinn Bought PureStrainHealth
[18:774] Quinn Bought PureStrainHealth
[19:771] Quinn Bought TankStrain
[21:307] Quinn Bought TankStrain
[22:778] Quinn Bought TankStrain
[25:377] Quinn Bought UnlockDropPods
[26:014] Quinn Bought DropshipsFueled
[27:950] Quinn Bought TankStrain
[28:525] Quinn Bought TankStrain
[31:394] Quinn Placed/Upgraded LesserNydusWorm
[31:395] Quinn Bought GreaterNydus
[32:079] Quinn Bought EvolveDropPods
[32:092] Quinn Bought EvolveDropPods
[32:102] Quinn Bought EvolveDropPods
[32:106] Quinn Bought EvolveDropPods
[00:572] Frosky Unlocked AssaultRifle
[00:780] Frosky Unlocked ArcWelder
[01:871] Frosky Placed/Upgraded MiningDroid
[02:519] Frosky Unlocked BioMechanicalRepairDrone
[02:873] Frosky Unlocked CombatAccelerationDrone
[03:031] Frosky Placed/Upgraded HealingDrone
[03:964] Frosky Placed/Upgraded HealingDrone
[04:099] Frosky Placed/Upgraded HealingDrone
[05:587] Frosky Unlocked AutoTurret
[05:908] Frosky Placed/Upgraded AutoTurret
[06:047] Frosky Placed/Upgraded AutoTurret
[06:237] Frosky Placed/Upgraded AutoTurret
[06:426] Frosky Placed/Upgraded AutoTurret
[06:722] Frosky Placed/Upgraded AutoTurret
[08:463] Frosky Placed/Upgraded AutoTurret
[09:235] Frosky Placed/Upgraded AutoTurret
[09:850] Frosky Unlocked FlameTurret
[10:463] Frosky Placed/Upgraded HealingDrone
[11:452] Frosky Unlocked HeavyTurret
[12:637] Frosky Placed/Upgraded AutoTurret
[12:883] Frosky Placed/Upgraded AutoTurret
[13:061] Frosky Placed/Upgraded AutoTurret
[13:708] Frosky Placed/Upgraded AutoTurret
[13:929] Frosky Placed/Upgraded AutoTurret
[14:070] Frosky Placed/Upgraded AutoTurret
[14:422] Frosky Placed/Upgraded AutoTurret
[14:733] Frosky Placed/Upgraded AutoTurret
[14:886] Frosky Placed/Upgraded AutoTurret
[15:040] Frosky Placed/Upgraded AutoTurret
[15:210] Frosky Placed/Upgraded AutoTurret
[15:454] Frosky Placed/Upgraded AutoTurret
[15:632] Frosky Placed/Upgraded AutoTurret
[15:759] Frosky Placed/Upgraded MiningDroid
[15:795] Frosky Placed/Upgraded AutoTurret
[16:232] Frosky Placed/Upgraded HealingDrone
[16:388] Frosky Placed/Upgraded HealingDrone
[17:174] Frosky Placed/Upgraded AutoTurret
[17:401] Frosky Placed/Upgraded AutoTurret
[17:913] Frosky Placed/Upgraded AutoTurret
[19:330] Frosky Unlocked AdvancedDroidEngines
[19:337] Frosky Unlocked TurboDroidEngines
[20:345] Frosky Unlocked CombatSuit
[20:346] Frosky Unlocked ShieldSuit
[20:346] Frosky Unlocked AdvancedShieldSuit
[20:346] Frosky Unlocked CombatSuit
[20:346] Frosky Unlocked AdvancedCombatSuit
[20:346] Frosky Unlocked HazmatSuit
[20:346] Frosky Unlocked AdvancedHazmatSuit
[20:346] Frosky Unlocked CombatSuit
[24:646] Frosky Unlocked AdvancedCombatSuit
[24:647] Frosky Unlocked CombatSuit
[24:647] Frosky Unlocked AdvancedCombatSuit
[24:679] Frosky Unlocked Stimpack
[24:726] Frosky Unlocked AIAssistant
[24:731] Frosky Unlocked CombatShield
[24:793] Frosky Unlocked PsiDisrupter
[24:800] Frosky Unlocked PsiDepressor
[25:083] Frosky Placed/Upgraded PsiIndoctrinator
[29:196] Frosky Placed/Upgraded AutoTurret
[29:347] Frosky Unlocked QuantumBackpack
[29:391] Frosky Placed/Upgraded AutoTurret
[29:561] Frosky Placed/Upgraded AutoTurret
[00:572] DarkFeyAlfar Unlocked AssaultRifle
[00:651] DarkFeyAlfar Placed/Upgraded MiningDroid
[01:207] DarkFeyAlfar Unlocked ForceFieldGrenade
[04:266] DarkFeyAlfar Unlocked BeamRifle
[04:357] DarkFeyAlfar Unlocked Shieldsiotunlocked
[04:358] DarkFeyAlfar Unlocked ShieldSuit
[04:358] DarkFeyAlfar Unlocked AdvancedShieldSuit
[04:358] DarkFeyAlfar Unlocked CombatSuit
[04:358] DarkFeyAlfar Unlocked AdvancedCombatSuit
[04:358] DarkFeyAlfar Unlocked HazmatSuit
[04:358] DarkFeyAlfar Unlocked AdvancedHazmatSuit
[04:358] DarkFeyAlfar Unlocked ShieldSuit
[07:040] DarkFeyAlfar Placed/Upgraded MiningDroid
[08:183] DarkFeyAlfar Unlocked AutoTurret
[08:416] DarkFeyAlfar Placed/Upgraded AutoTurret
[08:796] DarkFeyAlfar Placed/Upgraded AutoTurret
[09:470] DarkFeyAlfar Placed/Upgraded AutoTurret
[11:474] DarkFeyAlfar Placed/Upgraded AutoTurret
[11:689] DarkFeyAlfar Placed/Upgraded AutoTurret
[11:951] DarkFeyAlfar Placed/Upgraded AutoTurret
[13:788] DarkFeyAlfar Placed/Upgraded AutoTurret
[14:009] DarkFeyAlfar Placed/Upgraded AutoTurret
[15:131] DarkFeyAlfar Placed/Upgraded AutoTurret
[16:399] DarkFeyAlfar Placed/Upgraded AutoTurret
[16:643] DarkFeyAlfar Placed/Upgraded AutoTurret
[17:248] DarkFeyAlfar Placed/Upgraded AutoTurret
[17:716] DarkFeyAlfar Unlocked HeavyTurret
[17:891] DarkFeyAlfar Placed/Upgraded AutoTurret
[18:109] DarkFeyAlfar Placed/Upgraded AutoTurret
[18:589] DarkFeyAlfar Unlocked SpecOpsPlasmaRifle
[20:813] DarkFeyAlfar Unlocked Stimpack
[21:688] DarkFeyAlfar Unlocked MotionSensor
[22:456] DarkFeyAlfar Placed/Upgraded SensorTower
[23:279] DarkFeyAlfar Placed/Upgraded SensorTower
[24:808] DarkFeyAlfar Placed/Upgraded SensorTower
[26:107] DarkFeyAlfar Placed/Upgraded SensorTower
[28:259] DarkFeyAlfar Unlocked MiningCharge
[28:273] DarkFeyAlfar Unlocked AdvancedMiningCharge
[28:391] DarkFeyAlfar Unlocked CombatShield
