Analyzed: Oh No It's Zombies Arctic Map (166)

ID : 0 PlayerName: Yello Race: Terran
ID : 1 PlayerName: CuongDeee Race: Terran
ID : 2 PlayerName: qssxc Race: Terran
ID : 3 PlayerName: AkunoHaku Race: Terran
ID : 4 PlayerName: Mnosdetijera Race: Zerg
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: ZEHN Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Mnosdetijera Zombie Loss
Public Lobby

Game Length:[35:037]
Players ammount: 8
Marine rank avg: 14
GrandMaster ammount: 3
PURCHASES: 
[00:572] Yello Unlocked AssaultRifle
[01:066] Yello Placed/Upgraded MiningDroid
[03:441] Yello Unlocked AdvancedDroidEngines
[04:347] Yello Unlocked OverloadWeapon
[04:735] Yello Unlocked BioMechanicalRepairDrone
[06:672] Yello Placed/Upgraded HealingDrone
[09:179] Yello Unlocked Flamethrower
[09:189] Yello Unlocked SpecOpsFlamethrower
[09:373] Yello Placed/Upgraded HealingDrone
[11:079] Yello Placed/Upgraded HealingDrone
[11:346] Yello Placed/Upgraded HealingDrone
[12:084] Yello Unlocked PowerConverter
[12:111] Yello Unlocked CombatShield
[12:422] Yello Placed/Upgraded HealingDrone
[13:388] Yello Unlocked SpecOpsPowerConverter
[13:941] Yello Placed/Upgraded HealingDrone
[14:742] Yello Unlocked ThermiteFilaments
[15:248] Yello Placed/Upgraded HealingDrone
[15:910] Yello Unlocked HazmatSuit
[15:918] Yello Unlocked AdvancedHazmatSuit
[16:611] Yello Unlocked QuantumBackpack
[17:303] Yello Placed/Upgraded HealingDrone
[17:480] Yello Placed/Upgraded HealingDrone
[18:057] Yello Placed/Upgraded HealingDrone
[18:658] Yello Placed/Upgraded HealingDrone
[19:973] Yello Placed/Upgraded HealingDrone
[20:838] Yello Placed/Upgraded HealingDrone
[21:689] Yello Placed/Upgraded MiningDroid
[21:918] Yello Unlocked ForceFieldGrenade
[23:257] Yello Placed/Upgraded HealingDrone
[24:146] Yello Placed/Upgraded HealingDrone
[24:346] Yello Unlocked MiningCharge
[24:354] Yello Unlocked AdvancedMiningCharge
[24:679] Yello Placed/Upgraded HealingDrone
[25:328] Yello Placed/Upgraded HealingDrone
[25:760] Yello Placed/Upgraded NukePack
[26:965] Yello Unlocked AIAssistant
[27:011] Yello Unlocked Stimpack
