Analyzed: Oh No It's Zombies Arctic Map (167)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: DirtyChicken Race: Terran
ID : 2 PlayerName: GoldenTiger Race: Terran
ID : 3 PlayerName: PhantomGuard Race: Zerg
ID : 4 PlayerName: KingKylan Race: Terran
ID : 5 PlayerName: KOHOUTEK Race: Terran
ID : 6 PlayerName: corgi Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
PhantomGuard Zombie Win
Public Lobby

Game Length:[29:087]
Players ammount: 8
Marine rank avg: 1,5
GrandMaster ammount: 1
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[00:771] Frosky Placed/Upgraded MiningDroid
[00:832] Frosky Unlocked ArcWelder
[02:765] Frosky Unlocked BioMechanicalRepairDrone
[02:778] Frosky Unlocked CombatAccelerationDrone
[02:956] Frosky Placed/Upgraded HealingDrone
[03:501] Frosky Placed/Upgraded HealingDrone
[03:744] Frosky Placed/Upgraded HealingDrone
[04:711] Frosky Unlocked AdvancedDroidEngines
[07:934] Frosky Unlocked TurboDroidEngines
[08:913] Frosky Unlocked Stimpack
[08:953] Frosky Unlocked CombatSuit
[09:614] Frosky Unlocked AdvancedCombatSuit
[23:130] Frosky Unlocked PsiDisrupter
[23:143] Frosky Unlocked PsiDepressor
[23:343] Frosky Unlocked SpecOpsArcWelder
[23:369] Frosky Unlocked ArcWelderMod3
[23:562] Frosky Placed/Upgraded PsiIndoctrinator
[23:730] Frosky Unlocked AutoTurret
[23:746] Frosky Unlocked HeavyTurret
[23:871] Frosky Placed/Upgraded AutoTurret
[00:572] DirtyChicken Unlocked AssaultRifle
[01:834] DirtyChicken Placed/Upgraded MiningDroid
[02:058] DirtyChicken Unlocked AdvancedDroidEngines
[02:886] DirtyChicken Unlocked AutoTurret
[03:787] DirtyChicken Unlocked FlameTurret
[03:881] DirtyChicken Placed/Upgraded AutoTurret
[05:480] DirtyChicken Placed/Upgraded AutoTurret
[06:863] DirtyChicken Unlocked Ares
[07:714] DirtyChicken Placed/Upgraded PrototypeAresTankMode
[08:954] DirtyChicken Bought ShieldSuit
[08:954] DirtyChicken Bought CombatSuit
[08:954] DirtyChicken Bought HazmatSuit
[08:954] DirtyChicken Bought CombatSuit
[09:615] DirtyChicken Bought CombatSuit
[10:456] DirtyChicken Unlocked SpecOpsAres
[13:869] DirtyChicken Unlocked AresMod8
[14:601] DirtyChicken Unlocked AresMod5
[18:704] DirtyChicken Unlocked TurboDroidEngines
[00:572] GoldenTiger Unlocked AssaultRifle
[00:972] GoldenTiger Placed MiningDroid
[02:100] GoldenTiger Unlocked AdvancedDroidEngines
[04:600] GoldenTiger Unlocked TurboDroidEngines
[06:473] GoldenTiger Unlocked OpticalVisor
[06:618] GoldenTiger Unlocked MedicShield
[07:686] GoldenTiger Unlocked OverloadWeapon
[09:655] GoldenTiger Unlocked CombatSuit
[09:678] GoldenTiger Unlocked AdvancedCombatSuit
[12:269] GoldenTiger Unlocked SpecOpsAssaultRifle
[13:618] GoldenTiger Unlocked TitaniumBulletCasings
[14:750] GoldenTiger Unlocked AutoTurret
[15:927] GoldenTiger Placed AutoTurret
[16:138] GoldenTiger Placed AutoTurret
[16:332] GoldenTiger Placed AutoTurret
[22:670] GoldenTiger Placed MiningDroid
[23:896] GoldenTiger Placed AutoTurret
[24:168] GoldenTiger Placed AutoTurret
[24:540] GoldenTiger Placed AutoTurret
[24:686] GoldenTiger Unlocked SpecOpsTurret
[24:699] GoldenTiger Unlocked FlameTurret
[00:568] PhantomGuard Bought PlayerNumber
[02:588] PhantomGuard Placed/Upgraded LocustNest
[02:829] PhantomGuard Placed/Upgraded LocustNest
[03:987] PhantomGuard Spawned MassiveCocoon
[04:220] PhantomGuard Placed/Upgraded LocustNest
[05:335] PhantomGuard Bought SpawnNydusWorm
[05:427] PhantomGuard Spawned InfestedAbomination
[05:982] PhantomGuard Placed/Upgraded GreaterNydusWorm
[06:759] PhantomGuard Bought StrainVolatile
[07:645] PhantomGuard Bought PureStrainVolatile
[09:075] PhantomGuard Placed/Upgraded LocustNest
[09:316] PhantomGuard Placed/Upgraded LocustNest
[09:656] PhantomGuard Bought ShieldSuit
[09:656] PhantomGuard Bought CombatSuit
[09:656] PhantomGuard Bought HazmatSuit
[09:656] PhantomGuard Bought CombatSuit
[09:679] PhantomGuard Bought CombatSuit
[10:498] PhantomGuard Bought KaboomerStrain
[11:304] PhantomGuard Spawned MassiveCocoon
[12:384] PhantomGuard Spawned Underseer
[12:845] PhantomGuard Bought UnlockDropPods
[14:601] PhantomGuard Placed/Upgraded GreaterNydusWorm
[15:066] PhantomGuard Bought StrainDamage
[15:623] PhantomGuard Bought PureStrainDamage
[17:106] PhantomGuard Bought DefilerStrain
[18:927] PhantomGuard Spawned MassiveCocoon
[20:367] PhantomGuard Spawned InfestedAbomination
[21:979] PhantomGuard Placed/Upgraded GreaterNydusWorm
[22:253] PhantomGuard Placed/Upgraded NydusCanalCreeper
[22:494] PhantomGuard Bought DropshipsFueled
[22:698] PhantomGuard Bought SweepingInfestation
[22:698] PhantomGuard Bought UltimateInfestationResearched
[24:078] PhantomGuard Bought AdvancedInfestationContainment
[24:961] PhantomGuard Bought AdvancedInfestationSecurity
[25:129] PhantomGuard Bought VirulentCreep
[25:129] PhantomGuard Bought VirulentCreep
[25:220] PhantomGuard Bought TrackHumans
[26:575] PhantomGuard Placed/Upgraded NydusCanalCreeper
[26:816] PhantomGuard Bought SunkenColony
[26:816] PhantomGuard Placed/Upgraded PrimalSunkenColony
[00:572] KingKylan Unlocked AssaultRifle
[00:732] KingKylan Placed/Upgraded MiningDroid
[01:698] KingKylan Unlocked AdvancedDroidEngines
[06:958] KingKylan Unlocked TurboDroidEngines
[17:473] KingKylan Unlocked SpecOpsAssaultRifle
[17:654] KingKylan Unlocked TitaniumBulletCasings
[24:940] KingKylan Placed/Upgraded MiningDroid
[00:572] KOHOUTEK Unlocked AssaultRifle
[00:856] KOHOUTEK Placed/Upgraded MiningDroid
[01:312] KOHOUTEK Unlocked Shotgun
