Analyzed: Oh No It's Zombies Arctic Map (17)

ID : 0 PlayerName: Toxicpanda Race: Zerg
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: csiz Race: Terran
ID : 3 PlayerName: MarFly Race: Terran
ID : 4 PlayerName: Meliodas Race: Terran
ID : 5 PlayerName: Ascherit Race: Terran
ID : 6 PlayerName: Tin Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
Toxicpanda Zombie Win
Private Lobby

Game Length:[33:280]
Players ammount: 8
Marine rank avg: 13,666666666666666
GrandMaster ammount: 7
PURCHASES: 
[00:608] Toxicpanda Spawned MassiveCocoon
[02:048] Toxicpanda Spawned Hunter
[03:032] Toxicpanda Spawned MassiveCocoon
[03:227] Toxicpanda Placed/Upgraded ToxicNest
[03:232] Toxicpanda Placed/Upgraded ToxicNest
[04:472] Toxicpanda Spawned Hunter
[04:821] Toxicpanda Spawned MassiveCocoon
[05:668] Toxicpanda Placed/Upgraded ToxicNest
[06:261] Toxicpanda Spawned PrimalTownHallUprooted
[07:878] Toxicpanda Spawned MassiveCocoon
[09:466] Toxicpanda Bought UnlockDropPods
[09:497] Toxicpanda Bought EvolveDropPods
[09:534] Toxicpanda Bought EvolveDropPods
[10:164] Toxicpanda Bought AdvancedInfestationSecurity
[10:189] Toxicpanda Bought TrackHumans
[11:297] Toxicpanda Spawned MassiveCocoon
[12:574] Toxicpanda Bought TrackHumans
[12:737] Toxicpanda Spawned Anubalisk
[13:060] Toxicpanda Spawned MassiveCocoon
[13:815] Toxicpanda Bought CreepSpeed
[14:500] Toxicpanda Spawned Anubalisk
[15:060] Toxicpanda Bought TrackHumans
[15:309] Toxicpanda Bought EvolveDropPods
[16:345] Toxicpanda Spawned MassiveCocoon
[16:518] Toxicpanda Bought TrackHumans
[16:960] Toxicpanda Bought EvolveDropPods
[16:964] Toxicpanda Bought EvolveDropPods
[17:425] Toxicpanda Spawned Underseer
[18:228] Toxicpanda Bought BuildExtractorExcavationZone
[18:228] Toxicpanda Placed/Upgraded AutomatedExtractor
[18:413] Toxicpanda Bought TrackHumans
[18:820] Toxicpanda Placed/Upgraded NydusCanalCreeper
[19:948] Toxicpanda Bought SunkenColony
[19:948] Toxicpanda Placed/Upgraded PrimalSunkenColony
[20:454] Toxicpanda Bought StrainVolatile
[20:763] Toxicpanda Bought AdvancedInfestationContainment
[21:546] Toxicpanda Placed/Upgraded Virophage
[23:023] Toxicpanda Bought PureStrainVolatile
[23:536] Toxicpanda Bought TrackHumans
[23:918] Toxicpanda Bought CreepSpeed
[24:898] Toxicpanda Placed/Upgraded PrimalSunkenColony
[24:899] Toxicpanda Bought SunkenColony
[25:325] Toxicpanda Placed/Upgraded PrimalSunkenColony
[25:326] Toxicpanda Bought SunkenColony
[25:778] Toxicpanda Placed/Upgraded Virophage
[25:978] Toxicpanda Bought TrackHumans
[26:174] Toxicpanda Bought DropshipsFueled
[26:222] Toxicpanda Spawned RoyalCocoon
[26:222] Toxicpanda Bought SpawnHiveQueen
[26:222] Toxicpanda Bought UltimateInfestationResearched
[26:227] Toxicpanda Bought SunkenColony
[26:507] Toxicpanda Bought SunkenColony
[26:632] Toxicpanda Placed/Upgraded NydusCanalCreeper
[26:941] Toxicpanda Spawned QueenCoop
[27:234] Toxicpanda Placed/Upgraded NydusCanalCreeper
[27:585] Toxicpanda Bought VirulentCreep
[28:135] Toxicpanda Placed/Upgraded NydusCanalCreeper
[29:589] Toxicpanda Placed/Upgraded NydusCanalCreeper
[30:537] Toxicpanda Bought SpawnNydusWorm
[30:607] Toxicpanda Placed/Upgraded GreaterNydusWorm
[30:996] Toxicpanda Bought StrainDamage
[31:096] Toxicpanda Bought PureStrainDamage
[31:584] Toxicpanda Placed/Upgraded NydusCanalCreeper
[00:572] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:696] Frosky Unlocked Shotgun
[03:401] Frosky Unlocked AdvancedDroidEngines
[05:612] Frosky Unlocked Stimpack
[07:722] Frosky Unlocked AIAssistant
[10:723] Frosky Unlocked SpecOpsShotgun
[10:755] Frosky Unlocked SuperStimpack
[10:790] Frosky Unlocked BioMechanicalRepairDrone
[10:823] Frosky Unlocked CombatShield
[12:815] Frosky Placed/Upgraded HealingDrone
[13:863] Frosky Placed/Upgraded HealingDrone
[14:250] Frosky Unlocked SpecOpsSuperStimpack
[15:253] Frosky Placed/Upgraded HealingDrone
[16:409] Frosky Placed/Upgraded MiningDroid
[17:757] Frosky Placed/Upgraded HealingDrone
[19:186] Frosky Unlocked ExplorationDroid
[19:223] Frosky Placed/Upgraded ExplorationDroid
[19:295] Frosky Placed/Upgraded ExplorationDroid
