Analyzed: Oh No It's Zombies Arctic Map (170)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: PartimeHero Race: Terran
ID : 2 PlayerName: guilher Race: Terran
ID : 3 PlayerName: marekow Race: Terran
ID : 4 PlayerName: gujiu Race: Terran
ID : 5 PlayerName: Tassadar Race: Terran
ID : 6 PlayerName: Coldest Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Win
Public Lobby

Game Length:[41:803]
Players ammount: 8
Marine rank avg: 8,833333333333334
GrandMaster ammount: 2
PURCHASES: 
[01:357] Frosky Spawned MassiveCocoon
[02:190] Frosky Placed/Upgraded LocustNest
[02:797] Frosky Spawned Hunter
[04:990] Frosky Bought CreepSpeed
[06:845] Frosky Bought CreepSpeed
[07:578] Frosky Placed/Upgraded ToxicNest
[07:584] Frosky Placed/Upgraded ToxicNest
[07:592] Frosky Placed/Upgraded ToxicNest
[08:080] Frosky Placed/Upgraded ToxicNest
[09:452] Frosky Bought UnlockDropPods
[10:935] Frosky Bought StrainSpeed
[11:826] Frosky Bought EvolveDropPods
[13:159] Frosky Bought EvolveDropPods
[13:870] Frosky Placed/Upgraded PrimalSunkenColony
[13:871] Frosky Bought SunkenColony
[14:122] Frosky Placed/Upgraded ToxicNest
[14:122] Frosky Placed/Upgraded ToxicNest
[14:153] Frosky Placed/Upgraded ToxicNest
[15:028] Frosky Bought EvolveDropPods
[15:031] Frosky Bought EvolveDropPods
[16:548] Frosky Bought SunkenColony
[16:710] Frosky Bought VirulentCreep
[17:519] Frosky Bought EvolveDropPods
[17:523] Frosky Bought EvolveDropPods
[19:937] Frosky Bought AdvancedInfestationContainment
[21:844] Frosky Bought PureStrainSpeed
[21:859] Frosky Bought StrainHealth
[21:870] Frosky Bought StrainDamage
[23:629] Frosky Bought SiphonFuel
[25:063] Frosky Placed/Upgraded Virophage
[26:735] Frosky Bought SiphonFuel
[27:601] Frosky Placed/Upgraded Virophage
[30:323] Frosky Bought SiphonFuel
[31:702] Frosky Placed/Upgraded NydusCanalCreeper
[32:641] Frosky Bought DropshipsFueled
[32:698] Frosky Spawned RoyalCocoon
[32:698] Frosky Bought SpawnHiveQueen
[32:698] Frosky Bought UltimateInfestationResearched
[33:417] Frosky Spawned QueenCoop
[33:748] Frosky Bought SpawnNydusWorm
[33:783] Frosky Placed/Upgraded GreaterNydusWorm
[33:896] Frosky Placed/Upgraded NydusCanalCreeper
[34:138] Frosky Spawned MassiveCocoon
[35:218] Frosky Spawned Underseer
[36:095] Frosky Placed/Upgraded NydusCanalCreeper
[37:209] Frosky Placed/Upgraded NydusCanalCreeper
[00:572] PartimeHero Unlocked AssaultRifle
[00:658] PartimeHero Placed/Upgraded MiningDroid
[00:829] PartimeHero Unlocked AdvancedDroidEngines
[03:664] PartimeHero Unlocked TurboDroidEngines
[04:789] PartimeHero Unlocked FragGrenade
[05:233] PartimeHero Unlocked SpecOpsFragGrenade
[06:346] PartimeHero Unlocked EnergySuit
[06:347] PartimeHero Unlocked ShieldSuit
[06:347] PartimeHero Unlocked AdvancedShieldSuit
[06:347] PartimeHero Unlocked CombatSuit
[06:347] PartimeHero Unlocked AdvancedCombatSuit
[06:347] PartimeHero Unlocked HazmatSuit
[06:347] PartimeHero Unlocked AdvancedHazmatSuit
[06:347] PartimeHero Unlocked EnergySuit
[09:444] PartimeHero Unlocked HellfireRocketLauncher
[09:545] PartimeHero Unlocked MedicShield
[09:674] PartimeHero Unlocked MotionSensor
[10:300] PartimeHero Placed/Upgraded SensorTower
[11:286] PartimeHero Unlocked SpecOpsHellfireRocketLauncher
[13:227] PartimeHero Unlocked Stimpack
[14:849] PartimeHero Unlocked AdvancedEnergySuit
[14:850] PartimeHero Unlocked EnergySuit
[14:850] PartimeHero Unlocked AdvancedEnergySuit
[14:899] PartimeHero Unlocked BioMechanicalRepairDrone
