Analyzed: Oh No It's Zombies Arctic Map (171)

ID : 0 PlayerName: ArcticBlade Race: Zerg
ID : 1 PlayerName: PartimeHero Race: Terran
ID : 2 PlayerName: corgi Race: Terran
ID : 3 PlayerName: marekow Race: Terran
ID : 4 PlayerName: Frosky Race: Terran
ID : 5 PlayerName: Pandameme Race: Terran
ID : 6 PlayerName: InsanityCPS Race: Terran
ID : 7 PlayerName: Security Race: Protoss
ArcticBlade Zombie Loss
Public Lobby

Game Length:[33:295]
Players ammount: 8
Marine rank avg: 11,833333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:887] ArcticBlade Bought CreepSpeed
[02:672] ArcticBlade Bought StrainHealth
[04:535] ArcticBlade Placed/Upgraded LesserNydusWorm
[04:536] ArcticBlade Bought GreaterNydus
[05:213] ArcticBlade Bought PureStrainHealth
[06:087] ArcticBlade Placed/Upgraded PrimalSunkenColony
[06:088] ArcticBlade Bought SunkenColony
[07:702] ArcticBlade Bought SunkenColony
[08:120] ArcticBlade Bought StrainVolatile
[08:616] ArcticBlade Bought PureStrainVolatile
[10:117] ArcticBlade Bought GreaterNydus
[10:356] ArcticBlade Bought KaboomerStrain
[12:289] ArcticBlade Spawned MassiveCocoon
[13:729] ArcticBlade Spawned Lurker
[14:378] ArcticBlade Bought TankStrain
[17:634] ArcticBlade Bought SpawnNydusWorm
[17:715] ArcticBlade Placed/Upgraded GreaterNydusWorm
[19:769] ArcticBlade Bought StrainSpeed
[20:816] ArcticBlade Bought PureStrainSpeed
[22:201] ArcticBlade Bought HunterlingStrain
[23:564] ArcticBlade Bought DropshipsFueled
[25:522] ArcticBlade Placed/Upgraded GreaterNydusWorm
[26:333] ArcticBlade Placed/Upgraded NydusCanalCreeper
[28:080] ArcticBlade Bought UltimateInfestationResearched
[28:125] ArcticBlade Bought GreaterNydus
[28:402] ArcticBlade Bought StrainVolatile
[28:410] ArcticBlade Bought PureStrainVolatile
[28:415] ArcticBlade Bought KaboomerStrain
[28:451] ArcticBlade Bought StrainSpeed
[28:874] ArcticBlade Bought GreaterNydus
[28:900] ArcticBlade Bought GreaterNydus
[29:362] ArcticBlade Bought PureStrainSpeed
[30:139] ArcticBlade Bought GreaterNydus
[31:168] ArcticBlade Bought UnlockDropPods
[31:175] ArcticBlade Bought EvolveDropPods
[31:178] ArcticBlade Bought EvolveDropPods
[31:180] ArcticBlade Bought EvolveDropPods
[31:641] ArcticBlade Bought EvolveDropPods
