Analyzed: Oh No It's Zombies Arctic Map (172)

ID : 0 PlayerName: Slon Race: Terran
ID : 1 PlayerName: AmuletNaka Race: Terran
ID : 2 PlayerName: devidog Race: Terran
ID : 3 PlayerName: Cole Race: Terran
ID : 4 PlayerName: Frosky Race: Zerg
ID : 5 PlayerName: DeATH Race: Terran
ID : 6 PlayerName: ArcticBlade Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Frosky Zombie Win
Public Lobby

Game Length:[31:725]
Players ammount: 8
Marine rank avg: 7
GrandMaster ammount: 2
PURCHASES: 
[00:572] Slon Unlocked AssaultRifle
[01:928] Slon Placed/Upgraded MiningDroid
[02:163] Slon Unlocked Flamethrower
[02:172] Slon Unlocked SpecOpsFlamethrower
[03:697] Slon Unlocked BioMechanicalRepairDrone
[03:939] Slon Placed/Upgraded HealingDrone
[08:083] Slon Unlocked Stimpack
[08:664] Slon Placed/Upgraded HealingDrone
[09:467] Slon Placed/Upgraded HealingDrone
[11:426] Slon Placed/Upgraded MiningDroid
[13:132] Slon Placed/Upgraded HealingDrone
[14:074] Slon Unlocked CombatShield
[14:698] Slon Placed/Upgraded HealingDrone
[16:765] Slon Unlocked ThermiteFilaments
[16:814] Slon Unlocked FragGrenade
[16:828] Slon Unlocked SpecOpsFragGrenade
[16:876] Slon Unlocked EnergyPack
[18:802] Slon Placed/Upgraded HealingDrone
[19:249] Slon Placed/Upgraded HealingDrone
[19:802] Slon Placed/Upgraded HealingDrone
[21:496] Slon Placed/Upgraded MiningDroid
[21:799] Slon Placed/Upgraded HealingDrone
[24:120] Slon Placed/Upgraded HealingDrone
[25:502] Slon Unlocked HazmatSuit
[25:509] Slon Unlocked AdvancedHazmatSuit
[27:175] Slon Placed/Upgraded HealingDrone
[27:653] Slon Unlocked SpecOpsBioMechanicalRepairDrone
[28:229] Slon Placed/Upgraded HealingDrone
[00:572] AmuletNaka Unlocked AssaultRifle
[00:868] AmuletNaka Placed/Upgraded MiningDroid
[01:399] AmuletNaka Unlocked AdvancedDroidEngines
[03:850] AmuletNaka Unlocked TurboDroidEngines
[05:585] AmuletNaka Unlocked HellfireRocketLauncher
[07:129] AmuletNaka Unlocked SpecOpsHellfireRocketLauncher
[08:438] AmuletNaka Unlocked PsiDisrupter
[09:495] AmuletNaka Placed/Upgraded PsiIndoctrinator
[11:242] AmuletNaka Unlocked BeamRifle
[11:700] AmuletNaka Placed/Upgraded PsiIndoctrinator
[12:960] AmuletNaka Unlocked CombatSuit
[14:224] AmuletNaka Unlocked SpecOpsPlasmaRifle
[15:377] AmuletNaka Unlocked AdvancedCombatSuit
[16:553] AmuletNaka Unlocked BioMechanicalRepairDrone
[16:581] AmuletNaka Unlocked SpecOpsBioMechanicalRepairDrone
[17:051] AmuletNaka Placed/Upgraded HealingDrone
[17:360] AmuletNaka Placed/Upgraded HealingDrone
[19:822] AmuletNaka Placed/Upgraded MiningDroid
[21:007] AmuletNaka Placed/Upgraded PsiIndoctrinator
[22:331] AmuletNaka Placed/Upgraded MiningDroid
[23:324] AmuletNaka Placed/Upgraded PsiIndoctrinator
[25:004] AmuletNaka Unlocked AutoTurret
[25:321] AmuletNaka Placed/Upgraded AutoTurret
[25:503] AmuletNaka Bought ShieldSuit
[25:503] AmuletNaka Bought CombatSuit
[25:503] AmuletNaka Bought HazmatSuit
[25:503] AmuletNaka Bought HazmatSuit
[25:510] AmuletNaka Bought HazmatSuit
[25:511] AmuletNaka Placed/Upgraded AutoTurret
[26:085] AmuletNaka Placed/Upgraded PsiIndoctrinator
[26:127] AmuletNaka Placed/Upgraded PsiIndoctrinator
[26:926] AmuletNaka Placed/Upgraded PsiIndoctrinator
[28:813] AmuletNaka Unlocked Teleporter
[00:572] devidog Unlocked AssaultRifle
[00:651] devidog Placed/Upgraded MiningDroid
[00:701] devidog Unlocked AdvancedDroidEngines
[02:700] devidog Unlocked BeamRifle
[03:926] devidog Unlocked MotionSensor
[04:465] devidog Placed/Upgraded SensorTower
[06:781] devidog Unlocked SuperStimpack
[06:978] devidog Placed/Upgraded SensorTower
[08:784] devidog Unlocked Stimpack
[09:883] devidog Placed/Upgraded SensorTower
[10:856] devidog Unlocked CombatSuit
[12:858] devidog Unlocked AdvancedCombatSuit
[12:961] devidog Bought ShieldSuit
[12:961] devidog Bought CombatSuit
[12:961] devidog Bought HazmatSuit
[12:961] devidog Bought CombatSuit
[13:699] devidog Unlocked MedicShield
[14:742] devidog Unlocked SpecOpsPlasmaRifle
[15:378] devidog Bought CombatSuit
[17:139] devidog Unlocked AutoTurret
[18:499] devidog Placed/Upgraded MiningDroid
[20:831] devidog Placed/Upgraded AutoTurret
[21:026] devidog Unlocked FlameTurret
[22:305] devidog Placed/Upgraded MiningDroid
[23:096] devidog Placed/Upgraded SensorTower
