Analyzed: Oh No It's Zombies Arctic Map (175)

ID : 0 PlayerName: SniperDevil Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: DeATH Race: Terran
ID : 3 PlayerName: SanduCostin Race: Terran
ID : 4 PlayerName: fallendawn Race: Terran
ID : 5 PlayerName: Zerker Race: Terran
ID : 6 PlayerName: MAYE Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
Frosky Zombie Win
Public Lobby

Game Length:[37:824]
Players ammount: 8
Marine rank avg: 7
GrandMaster ammount: 2
PURCHASES: 
[00:572] SniperDevil Unlocked AssaultRifle
[01:184] SniperDevil Placed MiningDroid
[01:363] SniperDevil Unlocked Flamethrower
[01:373] SniperDevil Unlocked SpecOpsFlamethrower
[03:125] SniperDevil Unlocked Shieldsiotunlocked
[04:252] SniperDevil Unlocked CryoFreeze
[04:538] SniperDevil Unlocked MotionSensor
[04:699] SniperDevil Placed SensorTower
[06:439] SniperDevil Placed SensorTower
[07:197] SniperDevil Unlocked OverloadWeapon
[09:106] SniperDevil Placed SensorTower
[09:249] SniperDevil Unlocked AdvancedShieldSuit
[10:228] SniperDevil Placed SensorTower
[10:356] SniperDevil Unlocked MedicShield
[11:511] SniperDevil Unlocked BioMechanicalRepairDrone
[11:554] SniperDevil Unlocked SpecOpsBioMechanicalRepairDrone
[12:617] SniperDevil Placed HealingDrone
[13:961] SniperDevil Unlocked PsiDisrupter
[15:029] SniperDevil Placed PsiIndoctrinator
[17:349] SniperDevil Placed HealingDrone
[18:151] SniperDevil Placed HealingDrone
[19:909] SniperDevil Placed HealingDrone
[21:231] SniperDevil Placed HealingDrone
[22:032] SniperDevil Unlocked SpecOpsPsiDisruptor
[22:550] SniperDevil Placed PsiIndoctrinator
[27:127] SniperDevil Placed PsiIndoctrinator
[00:568] Frosky Bought PlayerNumber
[01:360] Frosky Spawned MassiveCocoon
[02:800] Frosky Spawned Hunter
[03:126] Frosky Bought ShieldSuit
[03:126] Frosky Bought CombatSuit
[03:126] Frosky Bought HazmatSuit
[03:126] Frosky Bought ShieldSuit
[06:600] Frosky Bought CreepSpeed
[08:426] Frosky Placed/Upgraded ToxicNest
[08:432] Frosky Placed/Upgraded ToxicNest
[08:439] Frosky Placed/Upgraded ToxicNest
[08:638] Frosky Placed/Upgraded PrimalSunkenColony
[08:639] Frosky Bought SunkenColony
[09:250] Frosky Bought ShieldSuit
[10:271] Frosky Bought CreepSpeed
[10:784] Frosky Bought SunkenColony
[12:281] Frosky Spawned MassiveCocoon
[13:721] Frosky Spawned PrimalTownHallUprooted
[15:855] Frosky Placed/Upgraded NydusCanalCreeper
[15:964] Frosky Placed/Upgraded ToxicNest
[15:974] Frosky Placed/Upgraded ToxicNest
[15:983] Frosky Placed/Upgraded ToxicNest
[16:245] Frosky Bought UnlockDropPods
[18:821] Frosky Bought BuildExtractorManufacturingSector
[18:821] Frosky Placed/Upgraded AutomatedExtractor
[19:503] Frosky Bought ExtractorCostReductionManufacturingSector
[19:503] Frosky Bought BuildExtractorManufacturingSector
[20:141] Frosky Bought StrainHealth
[20:153] Frosky Bought PureStrainHealth
[20:706] Frosky Bought EvolveDropPods
[20:708] Frosky Bought EvolveDropPods
[20:710] Frosky Bought EvolveDropPods
[21:850] Frosky Placed/Upgraded ToxicNest
[21:859] Frosky Placed/Upgraded ToxicNest
[22:005] Frosky Placed/Upgraded Virophage
[23:124] Frosky Placed/Upgraded PrimalSunkenColony
[23:125] Frosky Bought SunkenColony
[24:966] Frosky Bought AdvancedInfestationContainment
[25:286] Frosky Bought TankStrain
[26:758] Frosky Placed/Upgraded Virophage
[27:221] Frosky Bought VirulentCreep
[27:221] Frosky Bought VirulentCreep
[27:438] Frosky Placed/Upgraded ToxicNest
[27:514] Frosky Bought SiphonFuel
[28:918] Frosky Bought StrainHealth
[29:629] Frosky Bought BuildExtractorScienceLabs
[29:629] Frosky Placed/Upgraded AutomatedExtractor
[30:423] Frosky Bought SiphonFuel
[31:339] Frosky Placed/Upgraded NydusCanalCreeper
[31:982] Frosky Spawned MassiveCocoon
[32:220] Frosky Bought BuildExtractorProcessingFacilities
[32:220] Frosky Placed/Upgraded AutomatedExtractor
[32:249] Frosky Bought BuildExtractorManufacturingSector
[32:249] Frosky Placed/Upgraded AutomatedExtractor
[32:496] Frosky Bought DropshipsFueled
[32:572] Frosky Spawned RoyalCocoon
[32:572] Frosky Bought SpawnHiveQueen
[32:572] Frosky Bought UltimateInfestationResearched
[32:601] Frosky Bought ExtractorCostReductionManufacturingSector
[32:601] Frosky Bought BuildExtractorManufacturingSector
[33:062] Frosky Spawned Underseer
[33:291] Frosky Spawned QueenCoop
[34:565] Frosky Placed/Upgraded NydusCanalCreeper
