Analyzed: Oh No It's Zombies Arctic Map (179)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Kociokfik Race: Terran
ID : 2 PlayerName: Ped Race: Terran
ID : 3 PlayerName: RedReaperz Race: Terran
ID : 4 PlayerName: awesomepossu Race: Terran
ID : 5 PlayerName: WildCard Race: Zerg
ID : 6 PlayerName: Brogre Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
WildCard Zombie Loss
Public Lobby

Game Length:[34:469]
Players ammount: 8
Marine rank avg: 7,166666666666667
GrandMaster ammount: 2
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed/Upgraded MiningDroid
[00:706] Frosky Unlocked Shotgun
[03:482] Frosky Unlocked AdvancedDroidEngines
[05:494] Frosky Unlocked SpecOpsShotgun
[08:571] Frosky Unlocked Stimpack
[08:664] Frosky Unlocked FlashBang
[09:624] Frosky Unlocked ExplorationDroid
[09:642] Frosky Placed/Upgraded ExplorationDroid
[10:483] Frosky Placed/Upgraded ExplorationDroid
[14:430] Frosky Placed/Upgraded MiningDroid
[15:646] Frosky Unlocked BioMechanicalRepairDrone
[16:431] Frosky Placed/Upgraded HealingDrone
[19:183] Frosky Placed/Upgraded HealingDrone
[20:916] Frosky Placed/Upgraded HealingDrone
[29:102] Frosky Placed/Upgraded HealingDrone
[30:873] Frosky Placed/Upgraded HealingDrone
[32:117] Frosky Placed/Upgraded HealingDrone
[00:572] Kociokfik Unlocked AssaultRifle
[00:660] Kociokfik Placed/Upgraded MiningDroid
[00:857] Kociokfik Unlocked Shotgun
[06:670] Kociokfik Unlocked SpecOpsShotgun
[08:160] Kociokfik Unlocked IncendiaryGrenade
[08:200] Kociokfik Unlocked SpecOpsIncendiaryGrenade
[09:473] Kociokfik Unlocked AutoTurret
[10:690] Kociokfik Placed/Upgraded AutoTurret
[11:036] Kociokfik Placed/Upgraded AutoTurret
[12:363] Kociokfik Unlocked HeavyTurret
[13:330] Kociokfik Placed/Upgraded AutoTurret
[15:180] Kociokfik Placed/Upgraded AutoTurret
[15:999] Kociokfik Placed/Upgraded MiningDroid
[17:398] Kociokfik Placed/Upgraded AutoTurret
[20:460] Kociokfik Unlocked Stimpack
[22:023] Kociokfik Placed/Upgraded AutoTurret
[23:229] Kociokfik Unlocked HazmatSuit
[25:317] Kociokfik Placed/Upgraded AutoTurret
[26:881] Kociokfik Unlocked PsiDisrupter
[29:067] Kociokfik Placed/Upgraded PsiIndoctrinator
[29:494] Kociokfik Unlocked SpecOpsPsiDisruptor
[31:195] Kociokfik Placed/Upgraded AutoTurret
[31:465] Kociokfik Placed/Upgraded AutoTurret
[31:955] Kociokfik Placed/Upgraded AutoTurret
[33:106] Kociokfik Placed/Upgraded PsiIndoctrinator
[00:572] Ped Unlocked AssaultRifle
[02:451] Ped Placed/Upgraded MiningDroid
[02:720] Ped Unlocked AdvancedDroidEngines
[04:640] Ped Unlocked BeamRifle
[08:524] Ped Unlocked TurboDroidEngines
[08:600] Ped Unlocked ExplorationDroid
[09:526] Ped Placed/Upgraded ExplorationDroid
[09:530] Ped Placed/Upgraded ExplorationDroid
[09:755] Ped Placed/Upgraded ExplorationDroid
[12:700] Ped Unlocked PsiDisrupter
[12:763] Ped Placed/Upgraded PsiIndoctrinator
[13:610] Ped Unlocked SpecOpsPlasmaRifle
[14:413] Ped Unlocked SpecOpsPsiDisruptor
[17:279] Ped Placed/Upgraded PsiIndoctrinator
[17:811] Ped Unlocked BioMechanicalRepairDrone
[17:823] Ped Unlocked SpecOpsBioMechanicalRepairDrone
