Analyzed: Oh No It's Zombies Arctic Map (180)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Kociokfik Race: Terran
ID : 2 PlayerName: SkyJio Race: Zerg
ID : 3 PlayerName: RedReaperz Race: Terran
ID : 4 PlayerName: Muqali Race: Terran
ID : 5 PlayerName: BaoJio Race: Terran
ID : 6 PlayerName: rescuebot Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
SkyJio Zombie Loss
Private Lobby

Game Length:[42:114]
Players ammount: 8
Marine rank avg: 17,666666666666668
GrandMaster ammount: 4
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed/Upgraded MiningDroid
[01:845] Frosky Unlocked Shotgun
[03:453] Frosky Unlocked AdvancedDroidEngines
[04:489] Frosky Unlocked SpecOpsShotgun
[06:843] Frosky Unlocked SuperStimpack
[06:892] Frosky Unlocked HighPrecisionBeams
[08:062] Frosky Unlocked Stimpack
[08:872] Frosky Unlocked HazmatSuit
[11:961] Frosky Unlocked BioMechanicalRepairDrone
[11:982] Frosky Unlocked TurboDroidEngines
[13:430] Frosky Placed/Upgraded HealingDrone
[14:436] Frosky Unlocked AIAssistant
[14:439] Frosky Unlocked CombatShield
[15:599] Frosky Placed/Upgraded HealingDrone
[16:516] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[16:893] Frosky Placed/Upgraded HealingDrone
[18:613] Frosky Unlocked AutoTurret
[18:625] Frosky Unlocked HeavyTurret
[20:332] Frosky Placed/Upgraded AutoTurret
[20:608] Frosky Placed/Upgraded AutoTurret
[21:561] Frosky Placed/Upgraded AutoTurret
[21:778] Frosky Placed/Upgraded AutoTurret
[22:950] Frosky Unlocked QuantumBackpack
[23:948] Frosky Placed/Upgraded AutoTurret
[24:126] Frosky Placed/Upgraded HealingDrone
[24:747] Frosky Placed/Upgraded AutoTurret
[31:187] Frosky Placed/Upgraded HealingDrone
[32:137] Frosky Placed/Upgraded AutoTurret
[32:430] Frosky Placed/Upgraded AutoTurret
[32:635] Frosky Placed/Upgraded HealingDrone
[33:364] Frosky Placed/Upgraded AutoTurret
[33:724] Frosky Placed/Upgraded AutoTurret
[33:981] Frosky Placed/Upgraded HealingDrone
[34:575] Frosky Unlocked BeamRifle
[34:590] Frosky Unlocked SpecOpsPlasmaRifle
[40:352] Frosky Placed/Upgraded AutoTurret
[40:603] Frosky Placed/Upgraded AutoTurret
[40:778] Frosky Placed/Upgraded HealingDrone
[40:951] Frosky Placed/Upgraded HealingDrone
[00:572] Kociokfik Unlocked AssaultRifle
[00:669] Kociokfik Placed MiningDroid
[01:868] Kociokfik Unlocked Shotgun
[02:922] Kociokfik Unlocked SpecOpsShotgun
[04:705] Kociokfik Unlocked AdvancedDroidEngines
[08:688] Kociokfik Unlocked PsiDisrupter
[08:873] Kociokfik Bought ShieldSuit
[08:873] Kociokfik Bought CombatSuit
[08:873] Kociokfik Bought HazmatSuit
[08:873] Kociokfik Bought HazmatSuit
[09:221] Kociokfik Placed PsiIndoctrinator
[09:926] Kociokfik Unlocked CombatSuit
[10:040] Kociokfik Unlocked AdvancedCombatSuit
[10:658] Kociokfik Placed PsiIndoctrinator
[11:480] Kociokfik Placed PsiIndoctrinator
[11:721] Kociokfik Unlocked AutoTurret
[12:813] Kociokfik Placed AutoTurret
[13:412] Kociokfik Unlocked SpecOpsPsiDisruptor
[15:749] Kociokfik Placed AutoTurret
[15:967] Kociokfik Placed AutoTurret
[16:170] Kociokfik Placed AutoTurret
[18:413] Kociokfik Unlocked Stimpack
[18:627] Kociokfik Unlocked SuperStimpack
[19:616] Kociokfik Placed AutoTurret
[19:850] Kociokfik Placed AutoTurret
[23:343] Kociokfik Unlocked SpecOpsSuperStimpack
[27:168] Kociokfik Placed MiningDroid
[28:902] Kociokfik Unlocked BioMechanicalRepairDrone
[29:272] Kociokfik Placed HealingDrone
[29:612] Kociokfik Placed HealingDrone
[31:171] Kociokfik Placed HealingDrone
[33:701] Kociokfik Placed PsiIndoctrinator
[33:719] Kociokfik Placed PsiIndoctrinator
[33:723] Kociokfik Placed PsiIndoctrinator
[33:727] Kociokfik Placed PsiIndoctrinator
[34:040] Kociokfik Placed HealingDrone
[34:348] Kociokfik Placed HealingDrone
[35:352] Kociokfik Placed HealingDrone
[36:970] Kociokfik Placed AutoTurret
[37:461] Kociokfik Placed AutoTurret
[00:568] SkyJio Bought PlayerNumber
[01:363] SkyJio Spawned MassiveCocoon
[02:394] SkyJio Spawned MassiveCocoon
[02:803] SkyJio Spawned Anubalisk
[03:834] SkyJio Spawned Anubalisk
[04:233] SkyJio Spawned MassiveCocoon
