Analyzed: Oh No It's Zombies Arctic Map (182)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: Ascherit Race: Terran
ID : 2 PlayerName: devidog Race: Terran
ID : 3 PlayerName: Tagar Race: Terran
ID : 4 PlayerName: PenguinLord Race: Terran
ID : 5 PlayerName: Kel Race: Terran
ID : 6 PlayerName: Pandameme Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
Frosky Zombie Loss
Public Lobby

Game Length:[34:489]
Players ammount: 8
Marine rank avg: 8,166666666666666
GrandMaster ammount: 2
PURCHASES: 
[01:356] Frosky Spawned MassiveCocoon
[02:796] Frosky Spawned Hunter
[05:398] Frosky Bought CreepSpeed
[06:175] Frosky Placed/Upgraded ToxicNest
[06:195] Frosky Placed/Upgraded ToxicNest
[06:199] Frosky Placed/Upgraded ToxicNest
[07:647] Frosky Bought StrainSpeed
[08:000] Frosky Bought StrainSpeed
[09:393] Frosky Bought PureStrainSpeed
[10:768] Frosky Bought HunterlingStrain
[11:682] Frosky Bought PureStrainSpeed
[13:587] Frosky Bought CreepSpeed
[15:729] Frosky Bought BuildExtractorExcavationZone
[15:729] Frosky Placed/Upgraded AutomatedExtractor
[17:038] Frosky Bought HunterlingStrain
[17:412] Frosky Placed/Upgraded Virophage
[20:003] Frosky Bought StrainSpeed
[21:912] Frosky Placed/Upgraded Virophage
[23:225] Frosky Bought VirulentCreep
[24:109] Frosky Placed/Upgraded PrimalSunkenColony
[24:110] Frosky Bought SunkenColony
[25:374] Frosky Bought DropshipsFueled
[25:725] Frosky Bought SpawnNydusWorm
[25:789] Frosky Placed/Upgraded GreaterNydusWorm
[26:461] Frosky Placed/Upgraded NydusCanalCreeper
[27:028] Frosky Bought UltimateInfestationResearched
[27:407] Frosky Placed/Upgraded LesserNydusWorm
[27:408] Frosky Bought GreaterNydus
[30:124] Frosky Bought AdvancedInfestationContainment
[30:985] Frosky Placed/Upgraded NydusCanalCreeper
[31:227] Frosky Spawned MassiveCocoon
[32:307] Frosky Spawned Underseer
[32:544] Frosky Bought UnlockDropPods
[00:572] Ascherit Unlocked AssaultRifle
[00:651] Ascherit Placed/Upgraded MiningDroid
[00:695] Ascherit Unlocked IncendiaryGrenade
[03:194] Ascherit Unlocked BeamRifle
[03:368] Ascherit Unlocked SuperStimpack
[07:099] Ascherit Unlocked SpecOpsPlasmaRifle
[08:056] Ascherit Unlocked AdvancedDroidEngines
[08:119] Ascherit Unlocked EnergyPack
[09:727] Ascherit Unlocked Flamethrower
[10:578] Ascherit Unlocked SpecOpsFlamethrower
[11:830] Ascherit Unlocked Stimpack
[13:743] Ascherit Placed/Upgraded MiningDroid
[14:774] Ascherit Unlocked BioMechanicalRepairDrone
[15:143] Ascherit Placed/Upgraded HealingDrone
[16:078] Ascherit Unlocked HazmatSuit
[16:079] Ascherit Unlocked ShieldSuit
[16:079] Ascherit Unlocked AdvancedShieldSuit
[16:079] Ascherit Unlocked CombatSuit
[16:079] Ascherit Unlocked AdvancedCombatSuit
[16:079] Ascherit Unlocked HazmatSuit
[16:079] Ascherit Unlocked AdvancedHazmatSuit
[16:079] Ascherit Unlocked HazmatSuit
[17:214] Ascherit Placed/Upgraded MiningDroid
[17:879] Ascherit Unlocked Shieldsiotunlocked
[17:880] Ascherit Unlocked ShieldSuit
[17:880] Ascherit Unlocked AdvancedShieldSuit
[17:880] Ascherit Unlocked CombatSuit
[17:880] Ascherit Unlocked AdvancedCombatSuit
[17:880] Ascherit Unlocked HazmatSuit
[17:880] Ascherit Unlocked AdvancedHazmatSuit
[17:880] Ascherit Unlocked ShieldSuit
[18:923] Ascherit Unlocked CombatShield
[19:018] Ascherit Unlocked AIAssistant
[20:261] Ascherit Unlocked AdvancedShieldSuit
[20:262] Ascherit Unlocked ShieldSuit
[20:262] Ascherit Unlocked AdvancedShieldSuit
[21:302] Ascherit Placed/Upgraded HealingDrone
[21:568] Ascherit Unlocked LongRangeIncinerators
[22:295] Ascherit Unlocked PsiDisrupter
[26:044] Ascherit Unlocked AdvancedHazmatSuit
[26:057] Ascherit Unlocked ShieldSuit
[26:057] Ascherit Unlocked AdvancedShieldSuit
[26:057] Ascherit Unlocked CombatSuit
[26:057] Ascherit Unlocked AdvancedCombatSuit
[26:057] Ascherit Unlocked HazmatSuit
[26:057] Ascherit Unlocked AdvancedHazmatSuit
[26:057] Ascherit Unlocked AdvancedHazmatSuit
[26:115] Ascherit Placed/Upgraded HealingDrone
[26:550] Ascherit Unlocked ShieldSuit
[26:550] Ascherit Unlocked AdvancedShieldSuit
[26:550] Ascherit Unlocked CombatSuit
[26:550] Ascherit Unlocked AdvancedCombatSuit
[26:550] Ascherit Unlocked HazmatSuit
[26:550] Ascherit Unlocked AdvancedHazmatSuit
[26:550] Ascherit Unlocked AdvancedShieldSuit
[26:688] Ascherit Placed/Upgraded HealingDrone
[26:994] Ascherit Placed/Upgraded HealingDrone
[27:581] Ascherit Unlocked MiningCharge
[27:591] Ascherit Unlocked AdvancedMiningCharge
[27:828] Ascherit Placed/Upgraded HealingDrone
[28:797] Ascherit Placed/Upgraded NukePack
[28:902] Ascherit Placed/Upgraded NukePack
[29:581] Ascherit Placed/Upgraded HealingDrone
[29:911] Ascherit Placed/Upgraded HealingDrone
[30:415] Ascherit Placed/Upgraded HealingDrone
[31:794] Ascherit Unlocked LongRangeScope
[32:273] Ascherit Placed/Upgraded NukePack
[33:640] Ascherit Placed/Upgraded PsiIndoctrinator
[33:841] Ascherit Unlocked MotionSensor
[33:962] Ascherit Placed/Upgraded SensorTower
[33:969] Ascherit Placed/Upgraded SensorTower
[33:989] Ascherit Placed/Upgraded HealingDrone
[34:123] Ascherit Placed/Upgraded SensorTower
[34:287] Ascherit Placed/Upgraded HealingDrone
