Analyzed: Oh No It's Zombies Arctic Map (187)

ID : 0 PlayerName: Tin Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: Ahanax Race: Terran
ID : 3 PlayerName: MarFly Race: Terran
ID : 4 PlayerName: dathong Race: Terran
ID : 5 PlayerName: GustavAldogg Race: Terran
ID : 6 PlayerName: BARUNA Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Frosky Zombie Loss
Private Lobby

Game Length:[35:863]
Players ammount: 8
Marine rank avg: 20,166666666666668
GrandMaster ammount: 6
PURCHASES: 
[00:572] Tin Unlocked AssaultRifle
[00:710] Tin Placed MiningDroid
[00:760] Tin Unlocked HellfireRocketLauncher
[03:756] Tin Unlocked SpecOpsHellfireRocketLauncher
[06:680] Tin Unlocked SuperStimpack
[07:908] Tin Unlocked RocketLauncherMod1
[10:430] Tin Unlocked Stimpack
[11:456] Tin Unlocked HazmatSuit
[11:937] Tin Unlocked MedicShield
[13:850] Tin Unlocked AdvancedHazmatSuit
[16:660] Tin Unlocked SpecOpsSuperStimpack
[18:299] Tin Unlocked EnergyPack
[19:118] Tin Unlocked BioMechanicalRepairDrone
[23:196] Tin Placed HealingDrone
[23:374] Tin Placed HealingDrone
[23:575] Tin Placed HealingDrone
[23:797] Tin Unlocked OpticalVisor
[25:188] Tin Placed HealingDrone
[29:224] Tin Placed HealingDrone
[33:168] Tin Placed HealingDrone
[00:568] Frosky Bought PlayerNumber
[00:639] Frosky Spawned MassiveCocoon
[01:049] Frosky Bought SunkenColony
[01:049] Frosky Placed/Upgraded PrimalSunkenColony
[01:715] Frosky Bought SunkenColony
[02:079] Frosky Spawned Hunter
[03:545] Frosky Spawned MassiveCocoon
[03:798] Frosky Placed/Upgraded PrimalSunkenColony
[03:799] Frosky Bought SunkenColony
[04:293] Frosky Placed/Upgraded LocustNest
[04:985] Frosky Spawned InfestedAbomination
[08:485] Frosky Placed/Upgraded PrimalSunkenColony
[08:486] Frosky Bought SunkenColony
[08:559] Frosky Bought UnlockDropPods
[09:002] Frosky Placed/Upgraded PrimalSunkenColony
[09:003] Frosky Bought SunkenColony
[10:088] Frosky Bought EvolveDropPods
[10:495] Frosky Placed/Upgraded PrimalSunkenColony
[10:496] Frosky Bought SunkenColony
[10:901] Frosky Bought EvolveDropPods
[11:378] Frosky Bought SunkenColony
[11:457] Frosky Bought ShieldSuit
[11:457] Frosky Bought CombatSuit
[11:457] Frosky Bought HazmatSuit
[11:457] Frosky Bought HazmatSuit
[11:971] Frosky Spawned MassiveCocoon
[12:727] Frosky Bought EvolveDropPods
[12:731] Frosky Bought EvolveDropPods
[12:734] Frosky Bought EvolveDropPods
[13:040] Frosky Bought SunkenColony
[13:254] Frosky Placed/Upgraded LocustNest
[13:411] Frosky Spawned InfestedAbomination
[13:494] Frosky Bought SunkenColony
[13:494] Frosky Placed/Upgraded PrimalSunkenColony
[13:635] Frosky Bought SunkenColony
[13:838] Frosky Bought CreepSpeed
[13:851] Frosky Bought HazmatSuit
[14:347] Frosky Placed/Upgraded LocustNest
[14:574] Frosky Bought SunkenColony
[16:014] Frosky Bought SunkenColony
[16:014] Frosky Placed/Upgraded PrimalSunkenColony
[16:194] Frosky Bought CreepSpeed
[16:311] Frosky Bought SunkenColony
[16:441] Frosky Placed/Upgraded LocustNest
[16:916] Frosky Placed/Upgraded LocustNest
[18:147] Frosky Spawned MassiveCocoon
[19:101] Frosky Bought EvolveDropPods
[19:587] Frosky Spawned Anubalisk
[19:832] Frosky Placed/Upgraded Virophage
[19:859] Frosky Bought BuildExtractorScienceLabs
[19:859] Frosky Placed/Upgraded AutomatedExtractor
[20:849] Frosky Placed/Upgraded NydusCanalCreeper
[21:091] Frosky Spawned MassiveCocoon
[21:735] Frosky Bought VirulentCreep
[21:735] Frosky Bought VirulentCreep
[22:171] Frosky Spawned Underseer
[23:214] Frosky Spawned MassiveCocoon
[24:556] Frosky Placed/Upgraded LocustNest
[24:654] Frosky Spawned InfestedAbomination
[25:058] Frosky Placed/Upgraded LocustNest
[25:431] Frosky Bought StrainHealth
[25:459] Frosky Bought StrainHealth
[26:174] Frosky Bought DropshipsFueled
[27:281] Frosky Bought SpawnNydusWorm
[27:296] Frosky Placed/Upgraded GreaterNydusWorm
[27:537] Frosky Bought PureStrainHealth
[27:692] Frosky Placed/Upgraded PrimalSunkenColony
[27:693] Frosky Bought SunkenColony
[27:775] Frosky Bought SunkenColony
[27:823] Frosky Placed/Upgraded NydusCanalCreeper
[28:616] Frosky Placed/Upgraded LesserNydusWorm
[28:617] Frosky Bought GreaterNydus
[28:860] Frosky Spawned RoyalCocoon
[28:860] Frosky Bought SpawnHiveQueen
[28:860] Frosky Bought UltimateInfestationResearched
[29:579] Frosky Spawned QueenCoop
[29:802] Frosky Spawned MassiveCocoon
[30:398] Frosky Placed/Upgraded PrimalSunkenColony
[30:399] Frosky Bought SunkenColony
[30:474] Frosky Bought GreaterNydus
[30:701] Frosky Spawned MassiveCocoon
[30:882] Frosky Spawned Underseer
[31:100] Frosky Placed/Upgraded PrimalSunkenColony
[31:101] Frosky Bought SunkenColony
[31:393] Frosky Placed/Upgraded LocustNest
[31:426] Frosky Bought SunkenColony
[32:141] Frosky Spawned Anubalisk
[32:469] Frosky Bought AdvancedInfestationContainment
[32:856] Frosky Placed/Upgraded NydusCanalCreeper
[34:355] Frosky Placed/Upgraded GreaterNydusWorm
[34:408] Frosky Placed/Upgraded GreaterNydusWorm
[00:572] Ahanax Unlocked AssaultRifle
[00:651] Ahanax Placed/Upgraded MiningDroid
[00:705] Ahanax Unlocked AdvancedDroidEngines
[02:732] Ahanax Unlocked Flamethrower
[04:859] Ahanax Unlocked SpecOpsFlamethrower
[05:874] Ahanax Unlocked CryoFreeze
[07:752] Ahanax Unlocked Stimpack
[10:256] Ahanax Unlocked TurboDroidEngines
[12:184] Ahanax Unlocked Shieldsiotunlocked
[12:193] Ahanax Unlocked AdvancedShieldSuit
[12:285] Ahanax Unlocked BioMechanicalRepairDrone
[12:795] Ahanax Placed/Upgraded HealingDrone
[13:528] Ahanax Placed/Upgraded HealingDrone
[15:017] Ahanax Unlocked Teleporter
[15:927] Ahanax Unlocked EnergyPack
[17:384] Ahanax Unlocked ExplorationDroid
[17:426] Ahanax Placed/Upgraded ExplorationDroid
[18:068] Ahanax Placed/Upgraded ExplorationDroid
[18:079] Ahanax Placed/Upgraded ExplorationDroid
[19:681] Ahanax Unlocked CombatShield
[20:503] Ahanax Unlocked MiningCharge
[20:988] Ahanax Placed/Upgraded NukePack
[21:673] Ahanax Placed/Upgraded NukePack
[22:239] Ahanax Placed/Upgraded HealingDrone
[22:728] Ahanax Placed/Upgraded HealingDrone
[23:192] Ahanax Placed/Upgraded NukePack
[23:235] Ahanax Placed/Upgraded HealingDrone
