Analyzed: Oh No It's Zombies Arctic Map (191)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: BlackThanos Race: Terran
ID : 2 PlayerName: stqdasc Race: Zerg
ID : 3 PlayerName: marekow Race: Terran
ID : 4 PlayerName: failureIRL Race: Terran
ID : 5 PlayerName: azlanthecat Race: Terran
ID : 6 PlayerName: minigranja Race: Terran
ID : 7 PlayerName: Security Race: Protoss
stqdasc Zombie Loss
Public Lobby

Game Length:[35:004]
Players ammount: 8
Marine rank avg: 16,166666666666668
GrandMaster ammount: 3
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[01:295] Frosky Unlocked ArcWelder
[02:319] Frosky Placed/Upgraded MiningDroid
[02:956] Frosky Unlocked BioMechanicalRepairDrone
[02:963] Frosky Unlocked CombatAccelerationDrone
[03:036] Frosky Placed/Upgraded HealingDrone
[03:552] Frosky Placed/Upgraded HealingDrone
[04:043] Frosky Placed/Upgraded HealingDrone
[04:473] Frosky Unlocked AdvancedDroidEngines
[05:595] Frosky Unlocked TurboDroidEngines
[06:277] Frosky Unlocked AutoTurret
[06:540] Frosky Placed/Upgraded AutoTurret
[06:902] Frosky Unlocked ExplorationDroid
[06:938] Frosky Placed/Upgraded ExplorationDroid
[07:770] Frosky Unlocked CombatSuit
[07:777] Frosky Unlocked AdvancedCombatSuit
[08:239] Frosky Placed/Upgraded AutoTurret
[09:287] Frosky Unlocked MotionSensor
[09:470] Frosky Placed/Upgraded SensorTower
[09:926] Frosky Placed/Upgraded SensorTower
[10:411] Frosky Unlocked AIAssistant
[10:493] Frosky Unlocked PsiDisrupter
[11:723] Frosky Placed/Upgraded PsiIndoctrinator
[12:209] Frosky Placed/Upgraded PsiIndoctrinator
[12:527] Frosky Unlocked QuantumBackpack
[12:533] Frosky Unlocked CombatShield
[12:856] Frosky Placed/Upgraded PsiIndoctrinator
[14:059] Frosky Unlocked Stimpack
[14:467] Frosky Placed/Upgraded SensorTower
[15:206] Frosky Unlocked MiningCharge
[15:374] Frosky Placed/Upgraded NukePack
[15:607] Frosky Placed/Upgraded AutoTurret
[15:846] Frosky Unlocked FlameTurret
[16:229] Frosky Placed/Upgraded AutoTurret
[16:486] Frosky Placed/Upgraded AutoTurret
[17:477] Frosky Placed/Upgraded AutoTurret
[18:476] Frosky Unlocked ForceFieldGrenade
[18:705] Frosky Placed/Upgraded AutoTurret
[20:255] Frosky Placed/Upgraded AutoTurret
[20:539] Frosky Placed/Upgraded HealingDrone
[20:745] Frosky Placed/Upgraded PsiIndoctrinator
[22:333] Frosky Placed/Upgraded MiningDroid
[22:736] Frosky Placed/Upgraded AutoTurret
[23:087] Frosky Placed/Upgraded AutoTurret
[23:428] Frosky Placed/Upgraded AutoTurret
[23:735] Frosky Placed/Upgraded HealingDrone
[23:876] Frosky Placed/Upgraded HealingDrone
[24:618] Frosky Placed/Upgraded AutoTurret
[25:694] Frosky Placed/Upgraded AutoTurret
[27:211] Frosky Unlocked PsiDepressor
[28:155] Frosky Unlocked HeavyTurret
[28:345] Frosky Placed/Upgraded AutoTurret
[28:899] Frosky Placed/Upgraded AutoTurret
