Analyzed: Oh No It's Zombies Arctic Map (199)

ID : 0 PlayerName: SkyJio Race: Terran
ID : 1 PlayerName: Wooky Race: Terran
ID : 2 PlayerName: dathong Race: Terran
ID : 3 PlayerName: Tin Race: Terran
ID : 4 PlayerName: Frosky Race: Zerg
ID : 5 PlayerName: ProDem Race: Terran
ID : 6 PlayerName: BaoJio Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
Frosky Zombie Loss
Private Lobby

Game Length:[40:955]
Players ammount: 8
Marine rank avg: 25,333333333333332
GrandMaster ammount: 7
PURCHASES: 
[00:572] SkyJio Unlocked AssaultRifle
[01:731] SkyJio Placed/Upgraded MiningDroid
[02:108] SkyJio Unlocked Ares
[02:311] SkyJio Placed/Upgraded PrototypeAresTankMode
[05:387] SkyJio Unlocked AresMod2
[08:786] SkyJio Unlocked AdvancedDroidEngines
[09:003] SkyJio Placed/Upgraded MiningDroid
[10:323] SkyJio Unlocked AresMod4
[12:161] SkyJio Unlocked TurboDroidEngines
[13:540] SkyJio Unlocked AresMod3
[14:614] SkyJio Unlocked AresMod5
[16:301] SkyJio Unlocked SpecOpsAres
[18:155] SkyJio Unlocked AresMod9
[18:156] SkyJio Unlocked AresMod9HostileEnvironmentTreads
[18:183] SkyJio Unlocked AutoTurret
[19:048] SkyJio Placed/Upgraded AutoTurret
[19:127] SkyJio Unlocked HeavyTurret
[26:120] SkyJio Unlocked Shieldsiotunlocked
[26:147] SkyJio Unlocked BioMechanicalRepairDrone
[26:196] SkyJio Unlocked AresMod8
[26:213] SkyJio Placed/Upgraded PrototypeAresTankMode
[28:842] SkyJio Placed/Upgraded HealingDrone
[30:032] SkyJio Placed/Upgraded HealingDrone
[31:984] SkyJio Unlocked AresMod10
[36:615] SkyJio Placed/Upgraded HealingDrone
[36:806] SkyJio Unlocked QuantumBackpack
[38:870] SkyJio Placed/Upgraded AutoTurret
[39:046] SkyJio Placed/Upgraded AutoTurret
[39:219] SkyJio Placed/Upgraded AutoTurret
[39:423] SkyJio Placed/Upgraded AutoTurret
[00:572] Wooky Unlocked AssaultRifle
[02:294] Wooky Placed/Upgraded MiningDroid
[02:498] Wooky Unlocked AdvancedDroidEngines
[06:876] Wooky Unlocked SpecOpsAssaultRifle
[06:893] Wooky Unlocked AutoTargetingSystem
[08:710] Wooky Unlocked Shieldsiotunlocked
[11:964] Wooky Unlocked FragGrenade
[11:969] Wooky Unlocked SpecOpsFragGrenade
[12:007] Wooky Unlocked MiningCharge
[12:064] Wooky Placed/Upgraded NukePack
[13:565] Wooky Unlocked Stimpack
[14:629] Wooky Unlocked CombatShield
[14:632] Wooky Unlocked EnergyPack
[15:766] Wooky Placed/Upgraded NukePack
[21:673] Wooky Unlocked PowerConverter
[21:678] Wooky Unlocked SpecOpsPowerConverter
[21:745] Wooky Unlocked OpticalVisor
[21:784] Wooky Unlocked AdvancedShieldSuit
[22:327] Wooky Unlocked BioMechanicalRepairDrone
[22:350] Wooky Placed/Upgraded HealingDrone
[22:410] Wooky Unlocked PsiDisrupter
[22:549] Wooky Placed/Upgraded PsiIndoctrinator
[22:816] Wooky Placed/Upgraded HealingDrone
[26:121] Wooky Bought ShieldSuit
[26:121] Wooky Bought CombatSuit
[26:121] Wooky Bought HazmatSuit
[26:121] Wooky Bought ShieldSuit
[29:938] Wooky Placed/Upgraded NukePack
[30:339] Wooky Placed/Upgraded NukePack
[32:140] Wooky Unlocked AdvancedMiningCharge
[32:403] Wooky Placed/Upgraded NukePack
[32:540] Wooky Placed/Upgraded NukePack
[32:635] Wooky Unlocked SpecOpsBioMechanicalRepairDrone
[32:787] Wooky Placed/Upgraded NukePack
[32:811] Wooky Placed/Upgraded HealingDrone
[33:049] Wooky Placed/Upgraded HealingDrone
[33:406] Wooky Placed/Upgraded HealingDrone
[34:605] Wooky Placed/Upgraded HealingDrone
[35:293] Wooky Placed/Upgraded HealingDrone
[36:033] Wooky Unlocked OverloadWeapon
[37:048] Wooky Unlocked TitaniumBulletCasings
[38:639] Wooky Placed/Upgraded NukePack
[38:878] Wooky Placed/Upgraded NukePack
[39:315] Wooky Placed/Upgraded NukePack
[00:572] dathong Unlocked AssaultRifle
[00:752] dathong Placed/Upgraded MiningDroid
[02:637] dathong Unlocked AdvancedDroidEngines
[04:155] dathong Unlocked BeamRifle
[05:638] dathong Unlocked SpecOpsPlasmaRifle
[07:764] dathong Unlocked Stimpack
[08:711] dathong Bought ShieldSuit
[08:711] dathong Bought CombatSuit
[08:711] dathong Bought HazmatSuit
[08:711] dathong Bought ShieldSuit
[09:199] dathong Placed/Upgraded MiningDroid
[09:650] dathong Unlocked ExplorationDroid
[09:671] dathong Placed/Upgraded ExplorationDroid
[10:197] dathong Placed/Upgraded ExplorationDroid
[10:826] dathong Unlocked BioMechanicalRepairDrone
[11:868] dathong Unlocked FragGrenade
[11:872] dathong Unlocked SpecOpsFragGrenade
[12:716] dathong Placed/Upgraded ExplorationDroid
[13:519] dathong Unlocked TurboDroidEngines
[13:974] dathong Placed/Upgraded HealingDrone
[14:204] dathong Placed/Upgraded HealingDrone
[14:917] dathong Placed/Upgraded HealingDrone
[15:081] dathong Unlocked CombatSuit
[15:514] dathong Placed/Upgraded HealingDrone
[15:734] dathong Unlocked AdvancedCombatSuit
[16:087] dathong Placed/Upgraded ExplorationDroid
[16:561] dathong Placed/Upgraded HealingDrone
[17:248] dathong Placed/Upgraded HealingDrone
[18:650] dathong Unlocked AIAssistant
[18:701] dathong Unlocked CorrosivePlasma
[18:725] dathong Unlocked AdvancedExplorationDroid
[19:734] dathong Placed/Upgraded ExplorationDroid
[20:096] dathong Placed/Upgraded ExplorationDroid
[20:674] dathong Placed/Upgraded HealingDrone
[20:965] dathong Unlocked PowerConverter
[21:598] dathong Unlocked AutoTurret
[21:611] dathong Unlocked FlameTurret
[21:785] dathong Bought ShieldSuit
[21:836] dathong Placed/Upgraded AutoTurret
[22:017] dathong Placed/Upgraded AutoTurret
[22:213] dathong Placed/Upgraded AutoTurret
[23:172] dathong Unlocked SpecOpsPowerConverter
[23:703] dathong Placed/Upgraded AutoTurret
[23:895] dathong Placed/Upgraded AutoTurret
[24:257] dathong Placed/Upgraded AutoTurret
[24:597] dathong Placed/Upgraded AutoTurret
[25:801] dathong Placed/Upgraded AutoTurret
[26:713] dathong Placed/Upgraded AutoTurret
[27:877] dathong Unlocked QuantumBackpack
[28:796] dathong Placed/Upgraded MiningDroid
[29:196] dathong Placed/Upgraded HealingDrone
[29:500] dathong Placed/Upgraded AutoTurret
[30:179] dathong Placed/Upgraded HealingDrone
[30:756] dathong Unlocked HeavyTurret
[33:419] dathong Unlocked FlashBang
