Analyzed: Oh No It's Zombies Arctic Map (207)

ID : 0 PlayerName: Tin Race: Terran
ID : 1 PlayerName: Wooky Race: Terran
ID : 2 PlayerName: Frosky Race: Zerg
ID : 3 PlayerName: BurtMacklin Race: Terran
ID : 4 PlayerName: superkiller Race: Terran
ID : 5 PlayerName: MarFly Race: Terran
ID : 6 PlayerName: Ahanax Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
Frosky Zombie Win
Private Lobby

Game Length:[07:416]
Players ammount: 8
Marine rank avg: 21,5
GrandMaster ammount: 6
PURCHASES: 
[00:572] Tin Unlocked AssaultRifle
[00:651] Tin Placed/Upgraded MiningDroid
[01:465] Tin Unlocked ArcWelder
[02:195] Tin Unlocked AutoTurret
[02:727] Tin Placed/Upgraded AutoTurret
[02:949] Tin Placed/Upgraded AutoTurret
[04:149] Tin Placed/Upgraded AutoTurret
[05:062] Tin Unlocked HeavyTurret
[05:271] Tin Placed/Upgraded AutoTurret
[05:412] Tin Placed/Upgraded AutoTurret
[06:804] Tin Placed/Upgraded AutoTurret
[07:552] Tin Unlocked ExplorationDroid
[07:595] Tin Placed/Upgraded ExplorationDroid
[07:604] Tin Placed/Upgraded ExplorationDroid
[09:578] Tin Unlocked AdvancedDroidEngines
[09:725] Tin Placed/Upgraded ExplorationDroid
[10:600] Tin Unlocked PsiDisrupter
[10:957] Tin Placed/Upgraded PsiIndoctrinator
[11:485] Tin Placed/Upgraded PsiIndoctrinator
[12:749] Tin Unlocked SpecOpsPsiDisruptor
[12:806] Tin Unlocked Stimpack
[13:644] Tin Placed/Upgraded AutoTurret
[14:080] Tin Placed/Upgraded AutoTurret
[14:316] Tin Placed/Upgraded AutoTurret
[14:829] Tin Placed/Upgraded AutoTurret
[15:579] Tin Placed/Upgraded AutoTurret
[15:720] Tin Placed/Upgraded AutoTurret
[16:244] Tin Unlocked FlameTurret
[16:342] Tin Placed/Upgraded AutoTurret
[16:484] Tin Placed/Upgraded AutoTurret
[16:699] Tin Unlocked BioMechanicalRepairDrone
[16:717] Tin Unlocked CombatAccelerationDrone
[16:926] Tin Placed/Upgraded HealingDrone
[18:551] Tin Unlocked QuantumBackpack
[19:195] Tin Placed/Upgraded AutoTurret
[19:331] Tin Placed/Upgraded AutoTurret
[19:513] Tin Placed/Upgraded AutoTurret
[19:657] Tin Unlocked MiningCharge
[19:662] Tin Unlocked AdvancedMiningCharge
[19:714] Tin Placed/Upgraded NukePack
[19:795] Tin Unlocked RechargeDrone
[19:845] Tin Placed/Upgraded HealingDrone
[19:978] Tin Placed/Upgraded HealingDrone
[20:359] Tin Placed/Upgraded HealingDrone
[20:776] Tin Placed/Upgraded NukePack
[21:378] Tin Placed/Upgraded NukePack
[23:523] Tin Placed/Upgraded AutoTurret
[25:492] Tin Placed/Upgraded MiningDroid
[27:114] Tin Placed/Upgraded AutoTurret
[27:267] Tin Placed/Upgraded AutoTurret
[27:585] Tin Placed/Upgraded AutoTurret
[27:780] Tin Placed/Upgraded AutoTurret
[28:049] Tin Placed/Upgraded AutoTurret
[28:581] Tin Placed/Upgraded AutoTurret
[29:114] Tin Placed/Upgraded AutoTurret
[29:776] Tin Placed/Upgraded AutoTurret
[30:033] Tin Placed/Upgraded AutoTurret
[30:491] Tin Placed/Upgraded AutoTurret
[30:713] Tin Placed/Upgraded AutoTurret
[31:098] Tin Placed/Upgraded AutoTurret
[31:453] Tin Placed/Upgraded AutoTurret
[31:984] Tin Placed/Upgraded AutoTurret
[32:334] Tin Placed/Upgraded AutoTurret
[33:054] Tin Placed/Upgraded AutoTurret
[33:434] Tin Unlocked MedicShield
[34:254] Tin Placed/Upgraded PsiIndoctrinator
[34:623] Tin Placed/Upgraded AutoTurret
[34:818] Tin Placed/Upgraded AutoTurret
[35:013] Tin Placed/Upgraded AutoTurret
[37:245] Tin Unlocked SpecOpsArcWelder
[37:264] Tin Unlocked ArcWelderMod3
[37:314] Tin Unlocked EnergySuit
[37:315] Tin Unlocked EnergySuit
[38:055] Tin Placed/Upgraded HealingDrone
[38:296] Tin Placed/Upgraded AutoTurret
[38:412] Tin Placed/Upgraded AutoTurret
[38:573] Tin Placed/Upgraded AutoTurret
[38:715] Tin Placed/Upgraded AutoTurret
[38:833] Tin Placed/Upgraded AutoTurret
[39:453] Tin Placed/Upgraded AutoTurret
[40:944] Tin Placed/Upgraded AutoTurret
[41:366] Tin Placed/Upgraded AutoTurret
[41:700] Tin Unlocked ForceFieldGrenade
[00:572] Wooky Unlocked AssaultRifle
[01:200] Wooky Placed MiningDroid
[01:295] Wooky Unlocked AdvancedDroidEngines
[07:211] Wooky Unlocked SpecOpsAssaultRifle
[07:231] Wooky Unlocked AutoTargetingSystem
[07:286] Wooky Unlocked FragGrenade
[10:448] Wooky Unlocked Shieldsiotunlocked
[10:490] Wooky Unlocked Stimpack
[12:883] Wooky Unlocked PowerConverter
[12:936] Wooky Unlocked EnergyPack
[13:188] Wooky Unlocked CombatShield
[15:671] Wooky Unlocked OpticalVisor
[15:882] Wooky Unlocked MiningCharge
[16:153] Wooky Placed NukePack
[19:675] Wooky Placed NukePack
[19:749] Wooky Unlocked SpecOpsFragGrenade
[22:731] Wooky Placed NukePack
[22:931] Wooky Placed MiningDroid
[27:182] Wooky Unlocked SpecOpsPowerConverter
[31:322] Wooky Placed NukePack
[37:315] Wooky Bought ShieldSuit
[37:315] Wooky Bought CombatSuit
[37:315] Wooky Bought HazmatSuit
[39:354] Wooky Placed NukePack
[44:326] Wooky Placed NukePack
[44:963] Wooky Placed NukePack
[00:568] Frosky Bought PlayerNumber
[00:616] Frosky Spawned MassiveCocoon
[00:849] Frosky Placed/Upgraded PrimalSunkenColony
[00:850] Frosky Bought SunkenColony
[02:056] Frosky Spawned Hunter
[03:083] Frosky Spawned MassiveCocoon
[04:523] Frosky Spawned InfestedAbomination
[05:874] Frosky Spawned MassiveCocoon
[06:111] Frosky Placed/Upgraded PrimalSunkenColony
[06:112] Frosky Bought SunkenColony
[06:376] Frosky Bought CreepSpeed
[06:954] Frosky Spawned Underseer
[07:968] Frosky Placed/Upgraded LocustNest
[09:050] Frosky Bought SunkenColony
[10:449] Frosky Bought ShieldSuit
[10:449] Frosky Bought CombatSuit
[10:449] Frosky Bought HazmatSuit
[10:449] Frosky Bought ShieldSuit
[10:596] Frosky Bought CreepSpeed
[12:658] Frosky Bought VirulentCreep
[12:658] Frosky Bought VirulentCreep
[13:149] Frosky Placed/Upgraded PrimalSunkenColony
[13:150] Frosky Bought SunkenColony
[13:785] Frosky Placed/Upgraded NydusCanalCreeper
[14:977] Frosky Bought UnlockDropPods
[15:760] Frosky Bought EvolveDropPods
[15:763] Frosky Bought EvolveDropPods
[16:085] Frosky Placed/Upgraded LocustNest
[19:762] Frosky Spawned MassiveCocoon
[19:951] Frosky Bought EvolveDropPods
[20:356] Frosky Bought EvolveDropPods
[20:725] Frosky Placed/Upgraded PrimalSunkenColony
[20:726] Frosky Bought SunkenColony
[21:202] Frosky Spawned Anubalisk
[22:053] Frosky Bought EvolveDropPods
[22:056] Frosky Bought EvolveDropPods
[23:261] Frosky Bought StrainHealth
[24:978] Frosky Bought BuildExtractorScienceLabs
[24:978] Frosky Placed/Upgraded AutomatedExtractor
[24:998] Frosky Bought BuildExtractorExcavationZone
[24:998] Frosky Placed/Upgraded AutomatedExtractor
[25:374] Frosky Placed/Upgraded LocustNest
[25:611] Frosky Placed/Upgraded LocustNest
[25:929] Frosky Placed/Upgraded Virophage
[26:525] Frosky Bought SiphonFuel
[27:235] Frosky Placed/Upgraded PrimalSunkenColony
[27:236] Frosky Bought SunkenColony
[27:763] Frosky Placed/Upgraded Virophage
[29:020] Frosky Bought BuildExtractorExcavationZone
[29:024] Frosky Bought PureStrainHealth
[29:070] Frosky Bought SunkenColony
[29:549] Frosky Placed/Upgraded LocustNest
[29:818] Frosky Placed/Upgraded LocustNest
[30:126] Frosky Spawned MassiveCocoon
[30:160] Frosky Bought StrainHealth
[30:439] Frosky Bought SiphonFuel
[31:054] Frosky Placed/Upgraded LocustNest
[31:566] Frosky Spawned InfestedAbomination
[31:713] Frosky Placed/Upgraded Virophage
[31:749] Frosky Bought BuildExtractorProcessingFacilities
[31:749] Frosky Placed/Upgraded AutomatedExtractor
[31:771] Frosky Bought BuildExtractorManufacturingSector
[31:771] Frosky Placed/Upgraded AutomatedExtractor
[32:249] Frosky Placed/Upgraded PrimalSunkenColony
[32:250] Frosky Bought SunkenColony
[32:777] Frosky Placed/Upgraded PrimalSunkenColony
[32:778] Frosky Bought SunkenColony
[33:236] Frosky Bought SunkenColony
[33:296] Frosky Bought SunkenColony
[33:599] Frosky Placed/Upgraded NydusCanalCreeper
[33:841] Frosky Placed/Upgraded LocustNest
[34:152] Frosky Bought SiphonFuel
[34:177] Frosky Bought PureStrainHealth
[34:893] Frosky Bought StrainDamage
[34:934] Frosky Bought ExtractorCostReductionManufacturingSector
[34:934] Frosky Bought BuildExtractorManufacturingSector
[35:157] Frosky Placed/Upgraded LocustNest
[35:398] Frosky Bought SunkenColony
[35:398] Frosky Placed/Upgraded PrimalSunkenColony
[35:403] Frosky Bought SunkenColony
[35:753] Frosky Placed/Upgraded LocustNest
[36:144] Frosky Bought PureStrainDamage
[37:046] Frosky Bought SpawnNydusWorm
[37:159] Frosky Placed/Upgraded GreaterNydusWorm
[37:441] Frosky Bought DropshipsFueled
[37:500] Frosky Bought SweepingInfestation
[37:500] Frosky Bought UltimateInfestationResearched
[37:592] Frosky Placed/Upgraded PrimalSunkenColony
[37:593] Frosky Bought SunkenColony
[37:906] Frosky Bought TankStrain
[38:697] Frosky Spawned MassiveCocoon
[39:500] Frosky Spawned MassiveCocoon
[40:137] Frosky Spawned Anubalisk
[40:142] Frosky Spawned MassiveCocoon
[40:642] Frosky Bought StrainHealth
[40:940] Frosky Spawned Anubalisk
[41:202] Frosky Bought PureStrainHealth
[41:222] Frosky Spawned Underseer
[42:836] Frosky Placed/Upgraded NydusCanalCreeper
[42:967] Frosky Bought AdvancedPowerInfestation
[42:978] Frosky Bought AdvancedInfestationContainment
[44:073] Frosky Placed/Upgraded GreaterNydusWorm
[00:572] BurtMacklin Unlocked AssaultRifle
[00:738] BurtMacklin Placed/Upgraded MiningDroid
[02:307] BurtMacklin Unlocked HellfireRocketLauncher
[04:018] BurtMacklin Unlocked SpecOpsHellfireRocketLauncher
[05:007] BurtMacklin Unlocked MedicShield
[06:929] BurtMacklin Unlocked Stimpack
[07:899] BurtMacklin Unlocked MiningCharge
[09:582] BurtMacklin Unlocked ForceFieldGrenade
[12:150] BurtMacklin Unlocked ShockwaveMissiles
[13:099] BurtMacklin Unlocked SpecOpsForcefieldGrenade
[14:184] BurtMacklin Placed/Upgraded NukePack
[17:079] BurtMacklin Placed/Upgraded NukePack
[17:247] BurtMacklin Placed/Upgraded NukePack
[19:778] BurtMacklin Placed/Upgraded MiningDroid
[19:926] BurtMacklin Unlocked EnergySuit
[19:927] BurtMacklin Unlocked EnergySuit
[22:035] BurtMacklin Unlocked AdvancedEnergySuit
[22:036] BurtMacklin Unlocked EnergySuit
[22:036] BurtMacklin Unlocked AdvancedEnergySuit
[22:192] BurtMacklin Unlocked QuantumBackpack
[26:662] BurtMacklin Unlocked Teleporter
[31:698] BurtMacklin Placed/Upgraded NukePack
[31:830] BurtMacklin Placed/Upgraded NukePack
[33:929] BurtMacklin Placed/Upgraded NukePack
[38:518] BurtMacklin Placed/Upgraded NukePack
[40:044] BurtMacklin Placed/Upgraded NukePack
[40:156] BurtMacklin Placed/Upgraded NukePack
[40:228] BurtMacklin Unlocked BioMechanicalRepairDrone
[40:321] BurtMacklin Placed/Upgraded NukePack
[41:064] BurtMacklin Placed/Upgraded NukePack
[43:619] BurtMacklin Placed/Upgraded HealingDrone
[44:022] BurtMacklin Placed/Upgraded NukePack
[44:092] BurtMacklin Placed/Upgraded HealingDrone
[45:000] BurtMacklin Placed/Upgraded HealingDrone
[45:184] BurtMacklin Placed/Upgraded HealingDrone
[46:301] BurtMacklin Placed/Upgraded HealingDrone
[00:572] superkiller Unlocked AssaultRifle
[00:921] superkiller Placed/Upgraded MiningDroid
[02:756] superkiller Unlocked AdvancedDroidEngines
[05:439] superkiller Unlocked Flamethrower
[05:461] superkiller Unlocked SpecOpsFlamethrower
[06:687] superkiller Unlocked CryoFreeze
[08:540] superkiller Unlocked OpticalVisor
[08:615] superkiller Unlocked HazmatSuit
[10:194] superkiller Unlocked BioMechanicalRepairDrone
[11:066] superkiller Placed/Upgraded HealingDrone
[12:339] superkiller Placed/Upgraded HealingDrone
[12:575] superkiller Placed/Upgraded HealingDrone
[12:966] superkiller Unlocked AdvancedHazmatSuit
[13:127] superkiller Unlocked Stimpack
[13:532] superkiller Unlocked Teleporter
[14:022] superkiller Placed/Upgraded HealingDrone
[16:116] superkiller Placed/Upgraded HealingDrone
[16:916] superkiller Unlocked ExplorationDroid
[16:983] superkiller Placed/Upgraded ExplorationDroid
[16:998] superkiller Placed/Upgraded ExplorationDroid
[19:330] superkiller Placed/Upgraded HealingDrone
[19:927] superkiller Bought ShieldSuit
[19:927] superkiller Bought CombatSuit
[19:927] superkiller Bought HazmatSuit
[24:331] superkiller Placed/Upgraded HealingDrone
[25:766] superkiller Placed/Upgraded MiningDroid
[27:149] superkiller Placed/Upgraded HealingDrone
[30:723] superkiller Unlocked AutoTurret
[30:752] superkiller Unlocked FlameTurret
