Analyzed: Oh No It's Zombies Arctic Map (210)

ID : 0 PlayerName: FeelsFeelMan Race: Terran
ID : 1 PlayerName: freedream Race: Terran
ID : 2 PlayerName: Flamezero Race: Terran
ID : 3 PlayerName: DeepStroke Race: Terran
ID : 4 PlayerName: taibeo Race: Zerg
ID : 5 PlayerName: Cole Race: Terran
ID : 6 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: 
taibeo Zombie Loss
Public Lobby

Game Length:[40:858]
Players ammount: 8
Marine rank avg: 7,333333333333333
GrandMaster ammount: 1
PURCHASES: 
[00:572] FeelsFeelMan Unlocked AssaultRifle
[00:702] FeelsFeelMan Placed/Upgraded MiningDroid
[00:847] FeelsFeelMan Unlocked Flamethrower
[04:049] FeelsFeelMan Unlocked SpecOpsFlamethrower
[04:924] FeelsFeelMan Unlocked AdvancedDroidEngines
[09:719] FeelsFeelMan Unlocked Shieldsiotunlocked
[09:766] FeelsFeelMan Unlocked Stimpack
[09:818] FeelsFeelMan Unlocked CombatShield
[09:959] FeelsFeelMan Unlocked LongRangeIncinerators
[14:696] FeelsFeelMan Unlocked AdvancedShieldSuit
[15:480] FeelsFeelMan Placed/Upgraded MiningDroid
[15:586] FeelsFeelMan Unlocked BioMechanicalRepairDrone
[16:513] FeelsFeelMan Placed/Upgraded MiningDroid
[16:821] FeelsFeelMan Placed/Upgraded HealingDrone
[19:077] FeelsFeelMan Unlocked SuperStimpack
[19:100] FeelsFeelMan Unlocked SpecOpsSuperStimpack
[21:026] FeelsFeelMan Placed/Upgraded HealingDrone
[21:285] FeelsFeelMan Placed/Upgraded MiningDroid
[22:995] FeelsFeelMan Placed/Upgraded HealingDrone
[23:324] FeelsFeelMan Placed/Upgraded HealingDrone
[23:726] FeelsFeelMan Unlocked PsiDisrupter
[23:991] FeelsFeelMan Placed/Upgraded PsiIndoctrinator
[26:003] FeelsFeelMan Unlocked SpecOpsPsiDisruptor
[28:541] FeelsFeelMan Unlocked FragGrenade
[28:558] FeelsFeelMan Unlocked SpecOpsFragGrenade
[29:310] FeelsFeelMan Unlocked RechargeDrone
