Analyzed: Oh No It's Zombies Arctic Map (213)

ID : 0 PlayerName: Katyusha Race: Zerg
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: Toxicpanda Race: Terran
ID : 3 PlayerName: MarFly Race: Terran
ID : 4 PlayerName: dathong Race: Terran
ID : 5 PlayerName: superkiller Race: Terran
ID : 6 PlayerName: Release Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Katyusha Zombie Loss
Private Lobby

Game Length:[45:637]
Players ammount: 8
Marine rank avg: 12,833333333333334
GrandMaster ammount: 5
PURCHASES: 
[00:675] Katyusha Spawned MassiveCocoon
[02:115] Katyusha Spawned InfestedAbomination
[03:140] Katyusha Spawned MassiveCocoon
[03:736] Katyusha Placed/Upgraded LocustNest
[04:325] Katyusha Placed/Upgraded LocustNest
[04:489] Katyusha Placed/Upgraded PrimalSunkenColony
[04:490] Katyusha Bought SunkenColony
[04:633] Katyusha Bought SunkenColony
[05:224] Katyusha Spawned MassiveCocoon
[06:655] Katyusha Spawned MassiveCocoon
[06:664] Katyusha Spawned PrimalTownHallUprooted
[08:095] Katyusha Spawned PrimalTownHallUprooted
[09:598] Katyusha Placed/Upgraded LocustNest
[11:221] Katyusha Spawned MassiveCocoon
[11:718] Katyusha Placed/Upgraded LocustNest
[12:661] Katyusha Spawned PrimalTownHallUprooted
[13:691] Katyusha Bought UnlockDropPods
[13:694] Katyusha Bought EvolveDropPods
[14:769] Katyusha Spawned MassiveCocoon
[15:552] Katyusha Bought SiphonFuel
[15:829] Katyusha Placed/Upgraded LocustNest
[15:849] Katyusha Spawned Underseer
[17:001] Katyusha Spawned MassiveCocoon
[17:107] Katyusha Spawned MassiveCocoon
[17:364] Katyusha Spawned MassiveCocoon
[18:075] Katyusha Placed/Upgraded PrimalSunkenColony
[18:076] Katyusha Bought SunkenColony
[18:187] Katyusha Spawned Underseer
[18:441] Katyusha Spawned PrimalTownHallUprooted
[18:624] Katyusha Bought BuildExtractorScienceLabs
[18:624] Katyusha Placed/Upgraded AutomatedExtractor
[18:634] Katyusha Bought BuildExtractorProcessingFacilities
[18:634] Katyusha Placed/Upgraded AutomatedExtractor
[18:804] Katyusha Spawned PrimalTownHallUprooted
[18:977] Katyusha Bought SiphonFuel
[19:075] Katyusha Bought EvolveDropPods
[19:499] Katyusha Bought SunkenColony
[19:579] Katyusha Placed/Upgraded PrimalSunkenColony
[19:580] Katyusha Bought SunkenColony
[19:780] Katyusha Bought SunkenColony
[20:472] Katyusha Bought SpawnNydusWorm
[21:522] Katyusha Placed/Upgraded GreaterNydusWorm
[22:071] Katyusha Placed/Upgraded LocustNest
[22:085] Katyusha Bought SiphonFuel
[22:201] Katyusha Placed/Upgraded Virophage
[22:311] Katyusha Bought GreaterNydus
[22:311] Katyusha Placed/Upgraded LesserNydusWorm
[22:553] Katyusha Spawned MassiveCocoon
[22:856] Katyusha Spawned MassiveCocoon
[23:180] Katyusha Placed/Upgraded PrimalSunkenColony
[23:181] Katyusha Bought SunkenColony
[23:258] Katyusha Bought EvolveDropPods
[23:261] Katyusha Bought EvolveDropPods
[23:264] Katyusha Bought EvolveDropPods
[23:633] Katyusha Spawned Underseer
[24:296] Katyusha Spawned PrimalTownHallUprooted
[24:660] Katyusha Placed/Upgraded LocustNest
[25:319] Katyusha Placed/Upgraded LesserNydusWorm
[25:320] Katyusha Bought GreaterNydus
[25:335] Katyusha Bought SiphonFuel
[25:985] Katyusha Placed/Upgraded PrimalSunkenColony
[25:986] Katyusha Bought SunkenColony
[26:341] Katyusha Placed/Upgraded PrimalSunkenColony
[26:342] Katyusha Bought SunkenColony
[26:388] Katyusha Bought SunkenColony
[26:582] Katyusha Placed/Upgraded NydusCanalCreeper
[27:499] Katyusha Spawned MassiveCocoon
[27:642] Katyusha Bought AdvancedPowerInfestation
[27:748] Katyusha Placed/Upgraded PrimalSunkenColony
[27:749] Katyusha Bought SunkenColony
[27:907] Katyusha Bought BuildExtractorExcavationZone
[27:907] Katyusha Placed/Upgraded AutomatedExtractor
[28:259] Katyusha Placed/Upgraded NydusCanalCreeper
[28:316] Katyusha Bought SiphonFuel
[28:500] Katyusha Placed/Upgraded GreaterNydusWorm
[28:579] Katyusha Spawned Underseer
[28:928] Katyusha Placed/Upgraded PrimalSunkenColony
[28:929] Katyusha Bought SunkenColony
[29:309] Katyusha Bought SunkenColony
[29:407] Katyusha Bought AdvancedInfestationContainment
[30:624] Katyusha Placed/Upgraded LesserNydusWorm
[30:625] Katyusha Bought GreaterNydus
[31:399] Katyusha Bought SiphonFuel
[31:851] Katyusha Placed/Upgraded Virophage
[33:106] Katyusha Spawned MassiveCocoon
[33:269] Katyusha Spawned MassiveCocoon
[33:635] Katyusha Placed/Upgraded LesserNydusWorm
[33:636] Katyusha Bought GreaterNydus
[34:379] Katyusha Bought SiphonFuel
[34:546] Katyusha Spawned Anubalisk
[34:709] Katyusha Spawned Anubalisk
[34:964] Katyusha Placed/Upgraded NydusCanalCreeper
[35:653] Katyusha Bought DropshipsFueled
[35:885] Katyusha Placed/Upgraded GreaterNydusWorm
[36:132] Katyusha Spawned RoyalCocoon
[36:132] Katyusha Bought SpawnHiveQueen
[36:132] Katyusha Bought UltimateInfestationResearched
[36:194] Katyusha Bought GreaterNydus
[36:854] Katyusha Placed/Upgraded PrimalSunkenColony
[36:855] Katyusha Bought SunkenColony
[37:145] Katyusha Placed/Upgraded PrimalSunkenColony
[37:146] Katyusha Bought SunkenColony
[37:284] Katyusha Bought SunkenColony
[37:552] Katyusha Placed/Upgraded LesserNydusWorm
[37:553] Katyusha Bought GreaterNydus
[37:774] Katyusha Bought SunkenColony
[39:361] Katyusha Placed/Upgraded PrimalSunkenColony
[39:362] Katyusha Bought SunkenColony
[39:437] Katyusha Bought GreaterNydus
[39:601] Katyusha Placed/Upgraded NydusCanalCreeper
[40:184] Katyusha Bought StrainVolatile
[40:189] Katyusha Bought StrainVolatile
[40:215] Katyusha Bought CreepSpeed
[40:246] Katyusha Bought CreepSpeed
[40:274] Katyusha Bought EvolveDropPods
[40:467] Katyusha Placed/Upgraded LesserNydusWorm
[40:468] Katyusha Bought GreaterNydus
[40:778] Katyusha Spawned MassiveCocoon
[40:915] Katyusha Bought SunkenColony
[40:942] Katyusha Placed/Upgraded PrimalSunkenColony
[40:943] Katyusha Bought SunkenColony
[41:858] Katyusha Spawned Underseer
[42:649] Katyusha Placed/Upgraded LocustNest
[42:889] Katyusha Placed/Upgraded NydusCanalCreeper
[43:281] Katyusha Placed/Upgraded GreaterNydusWorm
