Analyzed: Oh No It's Zombies Arctic Map (221)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: SiriusHoshi Race: Terran
ID : 2 PlayerName: AngatBuhay Race: Terran
ID : 3 PlayerName: King Race: Zerg
ID : 4 PlayerName: Castiiel Race: Terran
ID : 5 PlayerName: NoobMaster Race: Terran
ID : 6 PlayerName: JohnB Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
King Zombie Win
Public Lobby

Game Length:[35:663]
Players ammount: 8
Marine rank avg: 7,833333333333333
GrandMaster ammount: 2
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed/Upgraded MiningDroid
[00:823] Frosky Unlocked ArcWelder
[01:640] Frosky Unlocked Stimpack
[02:405] Frosky Unlocked ExplorationDroid
[02:421] Frosky Placed/Upgraded ExplorationDroid
[03:224] Frosky Unlocked AutoTurret
[04:067] Frosky Placed/Upgraded AutoTurret
[04:685] Frosky Unlocked BioMechanicalRepairDrone
[04:773] Frosky Unlocked CombatAccelerationDrone
[04:984] Frosky Placed/Upgraded HealingDrone
[05:551] Frosky Placed/Upgraded HealingDrone
[06:215] Frosky Unlocked AdvancedDroidEngines
[07:621] Frosky Unlocked TurboDroidEngines
[08:394] Frosky Placed/Upgraded HealingDrone
[08:802] Frosky Placed/Upgraded ExplorationDroid
[09:261] Frosky Unlocked HeavyTurret
[09:268] Frosky Unlocked FlameTurret
[10:291] Frosky Placed/Upgraded AutoTurret
[11:078] Frosky Placed/Upgraded AutoTurret
[11:626] Frosky Unlocked PsiDisrupter
[11:731] Frosky Placed/Upgraded PsiIndoctrinator
[13:188] Frosky Unlocked ForceFieldGrenade
[13:598] Frosky Placed/Upgraded AutoTurret
[13:750] Frosky Placed/Upgraded AutoTurret
[13:892] Frosky Placed/Upgraded AutoTurret
[14:036] Frosky Unlocked SpecOpsForcefieldGrenade
[14:147] Frosky Placed/Upgraded PsiIndoctrinator
[14:718] Frosky Placed/Upgraded AutoTurret
[17:384] Frosky Placed/Upgraded MiningDroid
[17:501] Frosky Placed/Upgraded HealingDrone
[18:069] Frosky Placed/Upgraded HealingDrone
[21:263] Frosky Placed/Upgraded MiningDroid
[00:572] SiriusHoshi Unlocked AssaultRifle
[00:714] SiriusHoshi Placed/Upgraded MiningDroid
[01:774] SiriusHoshi Unlocked BeamRifle
[02:602] SiriusHoshi Unlocked SuperStimpack
[05:514] SiriusHoshi Unlocked SpecOpsPlasmaRifle
[08:848] SiriusHoshi Unlocked SpecOpsSuperStimpack
[11:858] SiriusHoshi Unlocked HazmatSuit
[11:898] SiriusHoshi Unlocked AdvancedHazmatSuit
[14:675] SiriusHoshi Unlocked CorrosivePlasma
[14:787] SiriusHoshi Unlocked PlasmaRifleMod3
[15:144] SiriusHoshi Unlocked OpticalVisor
[18:520] SiriusHoshi Placed/Upgraded MiningDroid
[21:039] SiriusHoshi Unlocked Stimpack
[30:883] SiriusHoshi Unlocked ForceFieldGrenade
[30:918] SiriusHoshi Unlocked SpecOpsForcefieldGrenade
[31:181] SiriusHoshi Unlocked AutoTurret
[31:280] SiriusHoshi Unlocked HeavyTurret
[31:721] SiriusHoshi Placed/Upgraded AutoTurret
[32:173] SiriusHoshi Placed/Upgraded AutoTurret
[32:508] SiriusHoshi Placed/Upgraded AutoTurret
[00:572] AngatBuhay Unlocked AssaultRifle
[01:695] AngatBuhay Placed MiningDroid
[02:094] AngatBuhay Unlocked BeamRifle
[08:547] AngatBuhay Unlocked SpecOpsPlasmaRifle
[08:759] AngatBuhay Unlocked LongRangeScope
[11:601] AngatBuhay Unlocked Shieldsiotunlocked
[11:859] AngatBuhay Bought ShieldSuit
[11:859] AngatBuhay Bought CombatSuit
[11:859] AngatBuhay Bought HazmatSuit
[11:859] AngatBuhay Bought HazmatSuit
