Analyzed: Oh No It's Zombies Arctic Map (235)

ID : 0 PlayerName: Ascherit Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: MarFly Race: Terran
ID : 3 PlayerName: Toxicpanda Race: Zerg
ID : 7 PlayerName: Security Race: Zerg
Toxicpanda Zombie Loss
Private Lobby

Game Length:[45:977]
Players ammount: 5
Marine rank avg: 10,166666666666666
GrandMaster ammount: 4
PURCHASES: 
[00:572] Ascherit Unlocked AssaultRifle
[00:988] Ascherit Unlocked ArcWelder
[01:187] Ascherit Placed/Upgraded MiningDroid
[02:973] Ascherit Unlocked AdvancedDroidEngines
[05:353] Ascherit Unlocked BioMechanicalRepairDrone
[05:390] Ascherit Unlocked RechargeDrone
[06:209] Ascherit Placed/Upgraded HealingDrone
[06:801] Ascherit Unlocked Stimpack
[06:844] Ascherit Placed/Upgraded HealingDrone
[06:981] Ascherit Placed/Upgraded HealingDrone
[09:785] Ascherit Unlocked MiningCharge
[09:805] Ascherit Unlocked TurboDroidEngines
[09:881] Ascherit Unlocked ForceFieldGrenade
[09:913] Ascherit Unlocked SpecOpsForcefieldGrenade
[09:952] Ascherit Unlocked EnergySuit
[09:953] Ascherit Unlocked EnergySuit
[09:962] Ascherit Unlocked AdvancedEnergySuit
[09:963] Ascherit Unlocked EnergySuit
[09:963] Ascherit Unlocked AdvancedEnergySuit
[10:068] Ascherit Unlocked EnergyPack
[10:079] Ascherit Unlocked MedicShield
[12:193] Ascherit Placed/Upgraded HealingDrone
[14:616] Ascherit Unlocked CombatSuit
[14:617] Ascherit Unlocked AdvancedEnergySuit
[14:620] Ascherit Unlocked AdvancedCombatSuit
[17:355] Ascherit Unlocked Shotgun
[17:367] Ascherit Unlocked SpecOpsShotgun
[17:414] Ascherit Unlocked ConcussiveShot
[17:464] Ascherit Unlocked Shieldsiotunlocked
[17:472] Ascherit Unlocked AdvancedShieldSuit
[17:515] Ascherit Unlocked OverloadWeapon
[18:384] Ascherit Unlocked AutoTurret
[18:401] Ascherit Unlocked HeavyTurret
[18:470] Ascherit Placed/Upgraded AutoTurret
[18:679] Ascherit Placed/Upgraded AutoTurret
[18:851] Ascherit Placed/Upgraded AutoTurret
[19:099] Ascherit Placed/Upgraded AutoTurret
[19:331] Ascherit Placed/Upgraded AutoTurret
[21:426] Ascherit Placed/Upgraded HealingDrone
[23:090] Ascherit Unlocked HazmatSuit
[23:106] Ascherit Unlocked AdvancedHazmatSuit
[23:140] Ascherit Unlocked CombatShield
[25:858] Ascherit Placed/Upgraded HealingDrone
[29:144] Ascherit Unlocked AdvancedEnergySuit
[29:248] Ascherit Unlocked AIAssistant
[30:021] Ascherit Unlocked HellfireRocketLauncher
[30:090] Ascherit Unlocked SpecOpsHellfireRocketLauncher
[30:129] Ascherit Unlocked RocketLauncherMod3
[30:405] Ascherit Placed/Upgraded HealingDrone
[30:862] Ascherit Placed/Upgraded AutoTurret
[32:855] Ascherit Unlocked MotionSensor
[32:859] Ascherit Unlocked AdvancedMotionSensor
[33:138] Ascherit Placed/Upgraded SensorTower
[33:151] Ascherit Placed/Upgraded SensorTower
[33:165] Ascherit Placed/Upgraded SensorTower
[33:966] Ascherit Unlocked SpecOpsAssaultRifle
[34:017] Ascherit Unlocked TitaniumBulletCasings
[37:871] Ascherit Placed/Upgraded AutoTurret
[38:078] Ascherit Placed/Upgraded AutoTurret
[38:104] Ascherit Placed/Upgraded SensorTower
[38:143] Ascherit Placed/Upgraded SensorTower
[38:306] Ascherit Placed/Upgraded AutoTurret
[38:665] Ascherit Unlocked QuantumBackpack
[38:951] Ascherit Placed/Upgraded AutoTurret
[39:035] Ascherit Placed/Upgraded SensorTower
[39:037] Ascherit Placed/Upgraded SensorTower
[39:059] Ascherit Placed/Upgraded SensorTower
[39:148] Ascherit Placed/Upgraded AutoTurret
[39:346] Ascherit Placed/Upgraded AutoTurret
[39:583] Ascherit Placed/Upgraded HealingDrone
[39:793] Ascherit Placed/Upgraded HealingDrone
[00:572] Frosky Unlocked AssaultRifle
[00:680] Frosky Placed/Upgraded MiningDroid
[00:770] Frosky Unlocked AdvancedDroidEngines
[02:937] Frosky Unlocked TurboDroidEngines
[03:401] Frosky Unlocked AutoTurret
[03:415] Frosky Unlocked FlameTurret
[03:642] Frosky Placed/Upgraded AutoTurret
[03:846] Frosky Placed/Upgraded AutoTurret
[04:701] Frosky Placed/Upgraded AutoTurret
[04:901] Frosky Unlocked SpecOpsAssaultRifle
[05:420] Frosky Unlocked ArcWelder
[05:510] Frosky Unlocked Stimpack
[05:544] Frosky Unlocked BioMechanicalRepairDrone
[05:580] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[05:714] Frosky Placed/Upgraded HealingDrone
[07:368] Frosky Unlocked PsiDisrupter
[07:474] Frosky Placed/Upgraded PsiIndoctrinator
[07:560] Frosky Unlocked HeavyTurret
[09:953] Frosky Bought ShieldSuit
[09:953] Frosky Bought CombatSuit
[09:953] Frosky Bought HazmatSuit
[10:541] Frosky Unlocked ForceFieldGrenade
[10:548] Frosky Unlocked SpecOpsForcefieldGrenade
[11:971] Frosky Placed/Upgraded AutoTurret
[12:236] Frosky Placed/Upgraded AutoTurret
[12:604] Frosky Placed/Upgraded AutoTurret
[12:838] Frosky Placed/Upgraded AutoTurret
[13:097] Frosky Placed/Upgraded AutoTurret
[13:641] Frosky Unlocked SpecOpsArcWelder
[14:171] Frosky Placed/Upgraded AutoTurret
[14:384] Frosky Placed/Upgraded AutoTurret
[14:478] Frosky Unlocked QuantumBackpack
[14:486] Frosky Unlocked CombatShield
[14:492] Frosky Unlocked AIAssistant
[14:582] Frosky Placed/Upgraded AutoTurret
[14:617] Frosky Bought ShieldSuit
[14:617] Frosky Bought CombatSuit
[14:617] Frosky Bought HazmatSuit
[14:617] Frosky Bought CombatSuit
[14:621] Frosky Bought CombatSuit
[14:720] Frosky Placed/Upgraded HealingDrone
[14:874] Frosky Placed/Upgraded AutoTurret
[14:981] Frosky Placed/Upgraded AutoTurret
[15:079] Frosky Placed/Upgraded HealingDrone
[15:664] Frosky Unlocked ArcWelderMod1
[15:953] Frosky Placed/Upgraded AutoTurret
[16:270] Frosky Placed/Upgraded AutoTurret
[17:034] Frosky Placed/Upgraded AutoTurret
[17:197] Frosky Placed/Upgraded AutoTurret
[17:465] Frosky Bought ShieldSuit
[17:465] Frosky Bought CombatSuit
[17:465] Frosky Bought HazmatSuit
[17:465] Frosky Bought ShieldSuit
[17:473] Frosky Bought ShieldSuit
[17:698] Frosky Placed/Upgraded AutoTurret
[17:801] Frosky Placed/Upgraded AutoTurret
[17:916] Frosky Placed/Upgraded AutoTurret
[18:128] Frosky Placed/Upgraded PsiIndoctrinator
[18:362] Frosky Placed/Upgraded PsiIndoctrinator
[19:400] Frosky Unlocked CombatSuit
[19:408] Frosky Unlocked AdvancedCombatSuit
[19:491] Frosky Unlocked Shieldsiotunlocked
[19:507] Frosky Unlocked EnergySuit
[19:508] Frosky Unlocked EnergySuit
[19:513] Frosky Unlocked AdvancedEnergySuit
[19:514] Frosky Unlocked EnergySuit
