Analyzed: Oh No It's Zombies Arctic Map (236)

ID : 0 PlayerName: Toxicpanda Race: Zerg
ID : 1 PlayerName: MarFly Race: Terran
ID : 2 PlayerName: Ascherit Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Toxicpanda Zombie Win
Private Lobby

Game Length:[47:268]
Players ammount: 5
Marine rank avg: 10,166666666666666
GrandMaster ammount: 4
PURCHASES: 
[00:613] Toxicpanda Spawned MassiveCocoon
[01:380] Toxicpanda Spawned MassiveCocoon
[02:053] Toxicpanda Spawned InfestedAbomination
[02:820] Toxicpanda Spawned InfestedAbomination
[05:295] Toxicpanda Placed/Upgraded PrimalSunkenColony
[05:296] Toxicpanda Bought SunkenColony
[06:098] Toxicpanda Bought CreepSpeed
[06:111] Toxicpanda Bought SunkenColony
[06:125] Toxicpanda Bought VirulentCreep
[07:386] Toxicpanda Bought BuildExtractorProcessingFacilities
[07:386] Toxicpanda Placed/Upgraded AutomatedExtractor
[07:417] Toxicpanda Bought SiphonFuel
[07:503] Toxicpanda Bought BuildExtractorScienceLabs
[07:503] Toxicpanda Placed/Upgraded AutomatedExtractor
[09:993] Toxicpanda Bought StrainHealth
[09:995] Toxicpanda Bought StrainVolatile
[10:000] Toxicpanda Bought StrainHealth
[10:002] Toxicpanda Bought StrainVolatile
[10:133] Toxicpanda Placed/Upgraded LesserNydusWorm
[10:134] Toxicpanda Bought GreaterNydus
[10:182] Toxicpanda Bought ConstructiveCreep
[10:375] Toxicpanda Placed/Upgraded LesserNydusWorm
[10:376] Toxicpanda Bought GreaterNydus
[10:795] Toxicpanda Bought SiphonFuel
[11:782] Toxicpanda Bought AdvancedInfestationContainment
[13:329] Toxicpanda Placed/Upgraded PrimalSunkenColony
[13:330] Toxicpanda Bought SunkenColony
[13:590] Toxicpanda Bought BuildExtractorExcavationZone
[13:590] Toxicpanda Placed/Upgraded AutomatedExtractor
[14:721] Toxicpanda Placed/Upgraded LesserNydusWorm
[14:722] Toxicpanda Bought GreaterNydus
[15:056] Toxicpanda Bought GreaterNydus
[15:088] Toxicpanda Bought SunkenColony
[15:133] Toxicpanda Bought SiphonFuel
[15:998] Toxicpanda Placed/Upgraded LesserNydusWorm
[15:999] Toxicpanda Bought GreaterNydus
[16:381] Toxicpanda Spawned MassiveCocoon
[17:153] Toxicpanda Placed/Upgraded NydusCanalCreeper
[17:314] Toxicpanda Bought SunkenColony
[17:314] Toxicpanda Placed/Upgraded PrimalSunkenColony
[17:461] Toxicpanda Spawned Underseer
[17:752] Toxicpanda Bought UnlockDropPods
[17:756] Toxicpanda Bought EvolveDropPods
[17:759] Toxicpanda Bought EvolveDropPods
[17:760] Toxicpanda Bought EvolveDropPods
[17:921] Toxicpanda Placed/Upgraded PrimalSunkenColony
[17:922] Toxicpanda Bought SunkenColony
[18:088] Toxicpanda Placed/Upgraded PrimalSunkenColony
[18:089] Toxicpanda Bought SunkenColony
[18:610] Toxicpanda Bought SunkenColony
[18:653] Toxicpanda Placed/Upgraded LesserNydusWorm
[18:654] Toxicpanda Bought GreaterNydus
[18:868] Toxicpanda Bought SunkenColony
[19:129] Toxicpanda Bought SiphonFuel
[19:471] Toxicpanda Bought SunkenColony
[20:038] Toxicpanda Bought EvolveDropPods
[20:041] Toxicpanda Bought EvolveDropPods
[20:045] Toxicpanda Bought EvolveDropPods
[20:262] Toxicpanda Bought SpawnNydusWorm
[20:284] Toxicpanda Placed/Upgraded GreaterNydusWorm
[20:794] Toxicpanda Placed/Upgraded NydusCanalCreeper
[20:965] Toxicpanda Bought AdvancedPowerInfestation
[21:191] Toxicpanda Placed/Upgraded LesserNydusWorm
[21:192] Toxicpanda Bought GreaterNydus
[21:770] Toxicpanda Placed/Upgraded NydusCanalCreeper
[22:941] Toxicpanda Bought SiphonFuel
[23:092] Toxicpanda Spawned MassiveCocoon
[24:048] Toxicpanda Placed/Upgraded LesserNydusWorm
[24:049] Toxicpanda Bought GreaterNydus
[24:172] Toxicpanda Spawned Underseer
[24:789] Toxicpanda Bought AdvancedInfestationSecurity
[24:834] Toxicpanda Bought TrackHumans
[26:217] Toxicpanda Bought SiphonFuel
[26:353] Toxicpanda Placed/Upgraded PrimalSunkenColony
[26:354] Toxicpanda Bought SunkenColony
[26:799] Toxicpanda Placed/Upgraded NydusCanalCreeper
[27:425] Toxicpanda Placed/Upgraded GreaterNydusWorm
[27:673] Toxicpanda Bought VirulentCreep
[28:142] Toxicpanda Bought BuildExtractorManufacturingSector
[28:142] Toxicpanda Placed/Upgraded AutomatedExtractor
[28:188] Toxicpanda Placed/Upgraded LesserNydusWorm
[28:189] Toxicpanda Bought GreaterNydus
[28:349] Toxicpanda Bought SunkenColony
[28:349] Toxicpanda Placed/Upgraded PrimalSunkenColony
[28:665] Toxicpanda Placed/Upgraded NydusCanalCreeper
[28:863] Toxicpanda Placed/Upgraded NydusCanalCreeper
[29:379] Toxicpanda Placed/Upgraded LesserNydusWorm
[29:380] Toxicpanda Bought GreaterNydus
[29:539] Toxicpanda Placed/Upgraded NydusCanalCreeper
[29:897] Toxicpanda Bought SiphonFuel
[42:597] Toxicpanda Bought DropshipsFueled
[00:572] MarFly Unlocked AssaultRifle
[00:802] MarFly Placed/Upgraded MiningDroid
[01:186] MarFly Unlocked AdvancedDroidEngines
[02:124] MarFly Unlocked Stimpack
[03:328] MarFly Unlocked TurboDroidEngines
[03:489] MarFly Unlocked MedicShield
[06:202] MarFly Unlocked BeamRifle
[06:215] MarFly Unlocked SpecOpsPlasmaRifle
[06:247] MarFly Unlocked LongRangeScope
[06:322] MarFly Unlocked ExplorationDroid
[06:362] MarFly Unlocked AdvancedExplorationDroid
[06:484] MarFly Placed/Upgraded ExplorationDroid
[06:517] MarFly Placed/Upgraded ExplorationDroid
[06:606] MarFly Placed/Upgraded ExplorationDroid
[09:136] MarFly Unlocked EnergyPack
[09:162] MarFly Unlocked OpticalVisor
[09:383] MarFly Unlocked ForceFieldGrenade
[09:395] MarFly Unlocked SpecOpsForcefieldGrenade
[09:697] MarFly Unlocked PsiDisrupter
[09:758] MarFly Unlocked SpecOpsPsiDisruptor
[09:829] MarFly Placed/Upgraded PsiIndoctrinator
[10:112] MarFly Unlocked AutoTurret
[10:139] MarFly Unlocked FlameTurret
[10:327] MarFly Placed/Upgraded AutoTurret
[10:528] MarFly Placed/Upgraded AutoTurret
[10:736] MarFly Placed/Upgraded AutoTurret
[10:839] MarFly Unlocked BioMechanicalRepairDrone
[10:859] MarFly Unlocked SpecOpsBioMechanicalRepairDrone
[10:950] MarFly Placed/Upgraded HealingDrone
[11:399] MarFly Placed/Upgraded HealingDrone
[11:617] MarFly Placed/Upgraded PsiIndoctrinator
[11:882] MarFly Placed/Upgraded AutoTurret
[12:119] MarFly Placed/Upgraded AutoTurret
[12:715] MarFly Placed/Upgraded AutoTurret
[13:356] MarFly Placed/Upgraded PsiIndoctrinator
[13:878] MarFly Placed/Upgraded AutoTurret
[14:267] MarFly Placed/Upgraded HealingDrone
[14:732] MarFly Placed/Upgraded HealingDrone
