Analyzed: Oh No It's Zombies Arctic Map (237)

ID : 0 PlayerName: Tin Race: Terran
ID : 1 PlayerName: PartimeHero Race: Terran
ID : 2 PlayerName: BurtMacklin Race: Terran
ID : 3 PlayerName: DeATH Race: Terran
ID : 4 PlayerName: Frosky Race: Zerg
ID : 5 PlayerName: MarFly Race: Terran
ID : 6 PlayerName: csiz Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Win
Private Lobby

Game Length:[38:331]
Players ammount: 8
Marine rank avg: 25,333333333333332
GrandMaster ammount: 6
PURCHASES: 
[00:572] Tin Unlocked AssaultRifle
[00:671] Tin Placed/Upgraded MiningDroid
[01:374] Tin Unlocked ArcWelder
[03:071] Tin Unlocked ExplorationDroid
[03:100] Tin Placed/Upgraded ExplorationDroid
[03:112] Tin Placed/Upgraded ExplorationDroid
[04:109] Tin Unlocked BioMechanicalRepairDrone
[04:124] Tin Unlocked CombatAccelerationDrone
[04:177] Tin Placed/Upgraded HealingDrone
[04:309] Tin Placed/Upgraded HealingDrone
[05:235] Tin Placed/Upgraded HealingDrone
[05:595] Tin Placed/Upgraded ExplorationDroid
[05:999] Tin Unlocked AutoTurret
[06:242] Tin Placed/Upgraded AutoTurret
[06:441] Tin Placed/Upgraded AutoTurret
[06:604] Tin Placed/Upgraded AutoTurret
[07:601] Tin Unlocked AdvancedDroidEngines
[09:517] Tin Unlocked HeavyTurret
[09:668] Tin Placed/Upgraded AutoTurret
[10:145] Tin Unlocked Stimpack
[10:211] Tin Placed/Upgraded AutoTurret
[10:633] Tin Placed/Upgraded AutoTurret
[10:817] Tin Placed/Upgraded AutoTurret
[11:957] Tin Unlocked MiningCharge
[12:013] Tin Placed/Upgraded NukePack
[12:243] Tin Placed/Upgraded NukePack
[12:386] Tin Placed/Upgraded AutoTurret
[12:858] Tin Placed/Upgraded AutoTurret
[13:553] Tin Placed/Upgraded AutoTurret
[13:756] Tin Placed/Upgraded AutoTurret
[13:895] Tin Placed/Upgraded AutoTurret
[14:954] Tin Placed/Upgraded AutoTurret
[15:292] Tin Unlocked SpecOpsTurret
[15:460] Tin Placed/Upgraded NukePack
[15:687] Tin Placed/Upgraded AutoTurret
[16:038] Tin Placed/Upgraded NukePack
[17:549] Tin Placed/Upgraded HealingDrone
[17:762] Tin Placed/Upgraded HealingDrone
[18:399] Tin Placed/Upgraded AutoTurret
[18:555] Tin Placed/Upgraded AutoTurret
[18:823] Tin Placed/Upgraded AutoTurret
[20:667] Tin Placed/Upgraded AutoTurret
[20:893] Tin Placed/Upgraded AutoTurret
[21:598] Tin Unlocked PsiDisrupter
[21:785] Tin Placed/Upgraded PsiIndoctrinator
[22:125] Tin Placed/Upgraded AutoTurret
[23:170] Tin Placed/Upgraded MiningDroid
[23:639] Tin Placed/Upgraded NukePack
[24:302] Tin Placed/Upgraded NukePack
[26:872] Tin Placed/Upgraded AutoTurret
[27:017] Tin Placed/Upgraded AutoTurret
[28:810] Tin Placed/Upgraded AutoTurret
[29:115] Tin Placed/Upgraded AutoTurret
[29:500] Tin Unlocked SpecOpsArcWelder
[29:518] Tin Unlocked ArcWelderMod3
[29:575] Tin Unlocked ForceFieldGrenade
[29:583] Tin Unlocked SpecOpsForcefieldGrenade
[29:905] Tin Placed/Upgraded AutoTurret
[35:083] Tin Placed/Upgraded NukePack
[35:375] Tin Placed/Upgraded AutoTurret
[35:496] Tin Placed/Upgraded AutoTurret
[36:140] Tin Placed/Upgraded AutoTurret
[36:304] Tin Placed/Upgraded AutoTurret
[36:592] Tin Placed/Upgraded AutoTurret
[37:445] Tin Placed/Upgraded AutoTurret
[37:710] Tin Placed/Upgraded AutoTurret
[38:082] Tin Placed/Upgraded AutoTurret
[00:572] PartimeHero Unlocked AssaultRifle
[00:651] PartimeHero Placed/Upgraded MiningDroid
[01:684] PartimeHero Unlocked AdvancedDroidEngines
[04:784] PartimeHero Unlocked TurboDroidEngines
[07:093] PartimeHero Unlocked HellfireRocketLauncher
[08:118] PartimeHero Unlocked SpecOpsHellfireRocketLauncher
[10:470] PartimeHero Unlocked Stimpack
[11:083] PartimeHero Unlocked MedicShield
[11:269] PartimeHero Unlocked ShockwaveMissiles
[12:074] PartimeHero Unlocked HazmatSuit
[13:798] PartimeHero Unlocked ExplorationDroid
[13:824] PartimeHero Placed/Upgraded ExplorationDroid
[13:828] PartimeHero Placed/Upgraded ExplorationDroid
[14:069] PartimeHero Placed/Upgraded ExplorationDroid
[15:156] PartimeHero Unlocked BioMechanicalRepairDrone
[15:180] PartimeHero Unlocked SpecOpsBioMechanicalRepairDrone
[16:602] PartimeHero Unlocked AdvancedHazmatSuit
[17:962] PartimeHero Unlocked AutoTurret
[18:066] PartimeHero Placed/Upgraded AutoTurret
[19:865] PartimeHero Unlocked IncendiaryGrenade
[20:096] PartimeHero Placed/Upgraded HealingDrone
[20:847] PartimeHero Placed/Upgraded HealingDrone
[21:057] PartimeHero Unlocked SpecOpsIncendiaryGrenade
[23:896] PartimeHero Placed/Upgraded HealingDrone
[25:748] PartimeHero Placed/Upgraded AutoTurret
[25:814] PartimeHero Placed/Upgraded MiningDroid
[25:925] PartimeHero Placed/Upgraded AutoTurret
[26:772] PartimeHero Placed/Upgraded MiningDroid
[27:127] PartimeHero Unlocked CloakingDevice
[28:298] PartimeHero Placed/Upgraded HealingDrone
[28:568] PartimeHero Unlocked EnergySuit
[28:569] PartimeHero Unlocked EnergySuit
[29:409] PartimeHero Unlocked AdvancedEnergySuit
[29:410] PartimeHero Unlocked EnergySuit
[29:410] PartimeHero Unlocked AdvancedEnergySuit
[30:482] PartimeHero Unlocked AdvancedEnergySuit
[36:596] PartimeHero Placed/Upgraded HealingDrone
[36:901] PartimeHero Placed/Upgraded HealingDrone
[00:572] BurtMacklin Unlocked AssaultRifle
[00:651] BurtMacklin Placed/Upgraded MiningDroid
[01:891] BurtMacklin Unlocked FragGrenade
[02:362] BurtMacklin Unlocked SpecOpsFragGrenade
[05:173] BurtMacklin Placed/Upgraded MiningDroid
[10:473] BurtMacklin Unlocked Stimpack
[10:513] BurtMacklin Unlocked HellfireRocketLauncher
[11:026] BurtMacklin Unlocked MedicShield
[12:075] BurtMacklin Bought ShieldSuit
[12:075] BurtMacklin Bought CombatSuit
[12:075] BurtMacklin Bought HazmatSuit
[12:075] BurtMacklin Bought HazmatSuit
[12:195] BurtMacklin Unlocked SpecOpsHellfireRocketLauncher
[13:264] BurtMacklin Unlocked ShockwaveMissiles
[14:616] BurtMacklin Placed/Upgraded MiningDroid
[15:346] BurtMacklin Unlocked MiningCharge
[16:603] BurtMacklin Bought HazmatSuit
[18:751] BurtMacklin Placed/Upgraded NukePack
[18:951] BurtMacklin Placed/Upgraded NukePack
[20:831] BurtMacklin Unlocked Teleporter
