Analyzed: Oh No It's Zombies Arctic Map (242)

ID : 0 PlayerName: ReturnOffer Race: Terran
ID : 1 PlayerName: MarFly Race: Terran
ID : 2 PlayerName: Ahanax Race: Terran
ID : 3 PlayerName: Frosky Race: Zerg
ID : 4 PlayerName: Partisan Race: Terran
ID : 5 PlayerName: Tin Race: Terran
ID : 6 PlayerName: Toxicpanda Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
Frosky Zombie Win
Private Lobby

Game Length:[36:731]
Players ammount: 8
Marine rank avg: 18
GrandMaster ammount: 7
PURCHASES: 
[00:572] ReturnOffer Unlocked AssaultRifle
[00:752] ReturnOffer Unlocked HellfireRocketLauncher
[03:738] ReturnOffer Placed/Upgraded MiningDroid
[04:901] ReturnOffer Unlocked SpecOpsHellfireRocketLauncher
[07:676] ReturnOffer Unlocked Stimpack
[09:945] ReturnOffer Unlocked ShockwaveMissiles
[11:682] ReturnOffer Unlocked HazmatSuit
[12:256] ReturnOffer Unlocked AdvancedHazmatSuit
[14:187] ReturnOffer Unlocked MedicShield
[15:565] ReturnOffer Placed/Upgraded MiningDroid
[19:284] ReturnOffer Unlocked Teleporter
[00:572] MarFly Unlocked AssaultRifle
[01:021] MarFly Placed/Upgraded MiningDroid
[01:318] MarFly Unlocked AdvancedDroidEngines
[01:691] MarFly Unlocked IncendiaryGrenade
[03:661] MarFly Unlocked HellfireRocketLauncher
[06:717] MarFly Unlocked SpecOpsHellfireRocketLauncher
[08:202] MarFly Unlocked Stimpack
[11:683] MarFly Bought ShieldSuit
[11:683] MarFly Bought CombatSuit
[11:683] MarFly Bought HazmatSuit
[11:683] MarFly Bought HazmatSuit
[11:770] MarFly Unlocked BioMechanicalRepairDrone
[12:257] MarFly Bought HazmatSuit
[12:620] MarFly Placed/Upgraded HealingDrone
[12:836] MarFly Placed/Upgraded HealingDrone
[13:011] MarFly Unlocked SuperStimpack
[13:883] MarFly Placed/Upgraded HealingDrone
[14:886] MarFly Placed/Upgraded HealingDrone
[15:144] MarFly Unlocked AutoTurret
[15:236] MarFly Placed/Upgraded AutoTurret
[16:713] MarFly Unlocked ShockwaveMissiles
[17:306] MarFly Unlocked FlameTurret
[18:161] MarFly Placed/Upgraded HealingDrone
[18:357] MarFly Unlocked PsiDisrupter
[19:747] MarFly Placed/Upgraded HealingDrone
[20:137] MarFly Placed/Upgraded HealingDrone
[21:103] MarFly Placed/Upgraded HealingDrone
[24:667] MarFly Placed/Upgraded HealingDrone
[25:884] MarFly Placed/Upgraded HealingDrone
[28:898] MarFly Placed/Upgraded HealingDrone
[29:254] MarFly Placed/Upgraded HealingDrone
[29:893] MarFly Placed/Upgraded HealingDrone
[30:585] MarFly Placed/Upgraded AutoTurret
[30:799] MarFly Placed/Upgraded AutoTurret
[33:516] MarFly Unlocked ForceFieldGrenade
[33:536] MarFly Unlocked SpecOpsForcefieldGrenade
[34:083] MarFly Placed/Upgraded HealingDrone
[35:447] MarFly Placed/Upgraded HealingDrone
[35:623] MarFly Placed/Upgraded HealingDrone
[00:572] Ahanax Unlocked AssaultRifle
[00:660] Ahanax Placed MiningDroid
[00:950] Ahanax Unlocked AdvancedDroidEngines
[02:611] Ahanax Unlocked HellfireRocketLauncher
[04:934] Ahanax Unlocked SpecOpsHellfireRocketLauncher
[05:661] Ahanax Unlocked ExplorationDroid
[06:657] Ahanax Placed ExplorationDroid
[07:282] Ahanax Placed ExplorationDroid
[07:381] Ahanax Placed ExplorationDroid
[08:675] Ahanax Unlocked Stimpack
[10:705] Ahanax Unlocked SuperStimpack
[12:779] Ahanax Unlocked CombatSuit
[12:788] Ahanax Unlocked AdvancedCombatSuit
[13:889] Ahanax Unlocked BioMechanicalRepairDrone
[14:337] Ahanax Placed ExplorationDroid
[15:143] Ahanax Unlocked RocketLauncherMod1
[16:484] Ahanax Unlocked FragGrenade
[18:589] Ahanax Unlocked SpecOpsSuperStimpack
[20:080] Ahanax Placed MiningDroid
[20:864] Ahanax Unlocked MiningCharge
[21:062] Ahanax Placed NukePack
[22:068] Ahanax Placed HealingDrone
[23:228] Ahanax Placed NukePack
[27:863] Ahanax Placed NukePack
[29:082] Ahanax Placed HealingDrone
[31:329] Ahanax Placed HealingDrone
[31:951] Ahanax Placed NukePack
[33:435] Ahanax Placed HealingDrone
[00:568] Frosky Bought PlayerNumber
[00:629] Frosky Spawned MassiveCocoon
[02:069] Frosky Spawned Anubalisk
[02:699] Frosky Spawned MassiveCocoon
[04:139] Frosky Spawned Anubalisk
[04:788] Frosky Bought CreepSpeed
[07:436] Frosky Spawned MassiveCocoon
