Analyzed: Oh No It's Zombies Arctic Map (246)

ID : 0 PlayerName: Leviathan Race: Terran
ID : 1 PlayerName: KERRIGAN Race: Terran
ID : 2 PlayerName: tim Race: Terran
ID : 3 PlayerName: Otos Race: Terran
ID : 4 PlayerName: devidog Race: Terran
ID : 5 PlayerName: Frosky Race: Zerg
ID : 6 PlayerName: Semicedevine Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Frosky Zombie Win
Public Lobby

Game Length:[35:584]
Players ammount: 8
Marine rank avg: 8
GrandMaster ammount: 1
PURCHASES: 
[00:572] Leviathan Unlocked AssaultRifle
[00:739] Leviathan Placed/Upgraded MiningDroid
[00:834] Leviathan Unlocked AdvancedDroidEngines
[03:693] Leviathan Unlocked Flamethrower
[04:273] Leviathan Unlocked SpecOpsFlamethrower
[06:238] Leviathan Unlocked Shieldsiotunlocked
[08:223] Leviathan Unlocked OverloadWeapon
[10:552] Leviathan Unlocked MotionSensor
[10:708] Leviathan Placed/Upgraded SensorTower
[12:271] Leviathan Placed/Upgraded SensorTower
[13:104] Leviathan Unlocked AdvancedShieldSuit
[14:514] Leviathan Placed/Upgraded SensorTower
[14:914] Leviathan Unlocked PsiDisrupter
[15:624] Leviathan Placed/Upgraded PsiIndoctrinator
[17:411] Leviathan Placed/Upgraded SensorTower
[18:576] Leviathan Unlocked CombatShield
[21:187] Leviathan Placed/Upgraded PsiIndoctrinator
[21:588] Leviathan Unlocked ForceFieldGrenade
[21:600] Leviathan Unlocked SpecOpsForcefieldGrenade
[22:826] Leviathan Placed/Upgraded MiningDroid
[25:826] Leviathan Unlocked MiningCharge
[26:298] Leviathan Placed/Upgraded NukePack
[27:165] Leviathan Unlocked ThermiteFilaments
[27:985] Leviathan Placed/Upgraded NukePack
[29:490] Leviathan Unlocked PsiDepressor
[29:744] Leviathan Placed/Upgraded PsiIndoctrinator
[00:572] KERRIGAN Unlocked AssaultRifle
[00:673] KERRIGAN Placed/Upgraded MiningDroid
[00:860] KERRIGAN Unlocked Flamethrower
[03:482] KERRIGAN Unlocked AdvancedDroidEngines
[05:289] KERRIGAN Unlocked TurboDroidEngines
[06:239] KERRIGAN Bought ShieldSuit
[06:239] KERRIGAN Bought CombatSuit
[06:239] KERRIGAN Bought HazmatSuit
[06:239] KERRIGAN Bought ShieldSuit
[07:246] KERRIGAN Unlocked SpecOpsFlamethrower
[13:054] KERRIGAN Placed/Upgraded MiningDroid
[13:105] KERRIGAN Bought ShieldSuit
[13:483] KERRIGAN Unlocked Stimpack
[15:288] KERRIGAN Unlocked BioMechanicalRepairDrone
[15:356] KERRIGAN Unlocked SpecOpsBioMechanicalRepairDrone
[15:491] KERRIGAN Placed/Upgraded HealingDrone
[17:026] KERRIGAN Placed/Upgraded MiningDroid
[17:280] KERRIGAN Placed/Upgraded HealingDrone
[17:538] KERRIGAN Placed/Upgraded HealingDrone
[00:572] tim Unlocked AssaultRifle
[00:651] tim Placed/Upgraded MiningDroid
[00:713] tim Unlocked BeamRifle
[02:370] tim Unlocked AdvancedDroidEngines
[04:718] tim Unlocked Stimpack
[06:291] tim Unlocked BioMechanicalRepairDrone
[06:333] tim Unlocked IncendiaryGrenade
[07:891] tim Placed/Upgraded MiningDroid
[11:302] tim Placed/Upgraded HealingDrone
[11:918] tim Placed/Upgraded HealingDrone
[12:298] tim Unlocked Flamethrower
[12:313] tim Unlocked SpecOpsFlamethrower
[14:611] tim Placed/Upgraded HealingDrone
[15:150] tim Placed/Upgraded HealingDrone
[16:261] tim Unlocked TurboDroidEngines
[17:434] tim Unlocked Teleporter
[18:912] tim Unlocked LongRangeIncinerators
[19:929] tim Unlocked Shieldsiotunlocked
[20:044] tim Placed/Upgraded HealingDrone
[21:614] tim Placed/Upgraded HealingDrone
[21:847] tim Placed/Upgraded MiningDroid
[22:800] tim Placed/Upgraded HealingDrone
[23:006] tim Placed/Upgraded HealingDrone
[23:176] tim Placed/Upgraded HealingDrone
[28:147] tim Unlocked CombatShield
[28:216] tim Unlocked AdvancedShieldSuit
[28:329] tim Unlocked SpecOpsTeleporter
[28:686] tim Placed/Upgraded HealingDrone
[31:055] tim Placed/Upgraded HealingDrone
[31:332] tim Placed/Upgraded HealingDrone
[00:572] Otos Unlocked AssaultRifle
[00:651] Otos Placed/Upgraded MiningDroid
[02:783] Otos Unlocked SpecOpsAssaultRifle
[06:165] Otos Unlocked AdvancedDroidEngines
[08:173] Otos Unlocked TurboDroidEngines
[09:530] Otos Unlocked PsiDisrupter
[09:562] Otos Unlocked PsiDepressor
[10:022] Otos Placed/Upgraded PsiIndoctrinator
[12:759] Otos Unlocked AutoTargetingSystem
[14:429] Otos Unlocked Shieldsiotunlocked
[14:452] Otos Unlocked AdvancedShieldSuit
[15:749] Otos Unlocked AIAssistant
[15:862] Otos Unlocked CombatShield
[17:410] Otos Unlocked Stimpack
