Analyzed: Oh No It's Zombies Arctic Map (25)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 7 PlayerName: Security Race: Terran Mengsk
Frosky Zombie Loss
Public Lobby

Game Length:[44:862]
Players ammount: 2
Marine rank avg: 0,6666666666666666
GrandMaster ammount: 1
PURCHASES: 
[01:148] Frosky Bought ConstructiveCreep
[01:223] Frosky Placed/Upgraded NydusCanalCreeper
[02:471] Frosky Placed/Upgraded PrimalSunkenColony
[02:472] Frosky Bought SunkenColony
[02:886] Frosky Placed/Upgraded NydusCanalCreeper
[03:763] Frosky Bought ConstructiveCreep
[04:639] Frosky Placed/Upgraded PrimalSunkenColony
[04:640] Frosky Bought SunkenColony
[05:049] Frosky Placed/Upgraded NydusCanalCreeper
[05:703] Frosky Placed/Upgraded NydusCanalCreeper
[06:087] Frosky Placed/Upgraded NydusCanalCreeper
[06:743] Frosky Placed/Upgraded NydusCanalCreeper
[07:621] Frosky Placed/Upgraded NydusCanalCreeper
[08:138] Frosky Placed/Upgraded PrimalSunkenColony
[08:139] Frosky Bought SunkenColony
[08:298] Frosky Placed/Upgraded NydusCanalCreeper
[09:226] Frosky Placed/Upgraded NydusCanalCreeper
[09:528] Frosky Bought SunkenColony
[10:487] Frosky Bought RegenerativeCreep
[11:732] Frosky Placed/Upgraded PrimalSunkenColony
[11:733] Frosky Bought SunkenColony
[12:675] Frosky Bought BuildExtractorExcavationZone
[12:675] Frosky Placed/Upgraded AutomatedExtractor
[16:898] Frosky Spawned MassiveCocoon
[17:978] Frosky Spawned Underseer
[18:262] Frosky Placed/Upgraded PrimalSunkenColony
[18:263] Frosky Bought SunkenColony
[23:741] Frosky Bought VirulentCreep
[28:043] Frosky Placed/Upgraded NydusCanalCreeper
[28:255] Frosky Placed/Upgraded NydusCanalCreeper
[28:522] Frosky Placed/Upgraded NydusCanalCreeper
[35:614] Frosky Bought DropshipsFueled
[36:104] Frosky Placed/Upgraded NydusCanalCreeper
[36:721] Frosky Placed/Upgraded NydusCanalCreeper
[37:341] Frosky Placed/Upgraded NydusCanalCreeper
[38:413] Frosky Placed/Upgraded NydusCanalCreeper
[38:693] Frosky Placed/Upgraded NydusCanalCreeper
[39:577] Frosky Placed/Upgraded PrimalSunkenColony
[39:578] Frosky Bought SunkenColony
[39:715] Frosky Bought SunkenColony
[39:935] Frosky Placed/Upgraded NydusCanalCreeper
[40:559] Frosky Placed/Upgraded PrimalSunkenColony
[40:560] Frosky Bought SunkenColony
[40:677] Frosky Placed/Upgraded PrimalSunkenColony
[40:678] Frosky Bought SunkenColony
[41:056] Frosky Bought SunkenColony
[41:075] Frosky Placed/Upgraded NydusCanalCreeper
[41:384] Frosky Placed/Upgraded PrimalSunkenColony
[41:385] Frosky Bought SunkenColony
[41:761] Frosky Bought UnlockDropPods
[41:765] Frosky Bought EvolveDropPods
[41:768] Frosky Bought EvolveDropPods
[41:771] Frosky Bought EvolveDropPods
[41:774] Frosky Bought EvolveDropPods
[41:778] Frosky Bought EvolveDropPods
[41:780] Frosky Bought EvolveDropPods
[41:896] Frosky Bought SunkenColony
[42:154] Frosky Bought SunkenColony
[42:251] Frosky Placed/Upgraded NydusCanalCreeper
[44:368] Frosky Placed/Upgraded PrimalSunkenColony
[44:369] Frosky Bought SunkenColony
Frosky First Alpha Underseer |  Loss

Frosky Placed 0 Greaters.
--------------------------------
