Analyzed: Oh No It's Zombies Arctic Map (250)

ID : 0 PlayerName: ReturnOffer Race: Terran
ID : 1 PlayerName: Roxadar Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: Ehrling Race: Terran
ID : 4 PlayerName: Semicedevine Race: Terran
ID : 5 PlayerName: AIzombie Race: Zerg
ID : 6 PlayerName: Zomana Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
AIzombie Zombie Win
Public Lobby

Game Length:[32:199]
Players ammount: 8
Marine rank avg: 12,666666666666666
GrandMaster ammount: 2
PURCHASES: 
[00:572] ReturnOffer Unlocked AssaultRifle
[00:651] ReturnOffer Placed/Upgraded MiningDroid
[00:690] ReturnOffer Unlocked Shotgun
[03:388] ReturnOffer Unlocked SuperStimpack
[06:120] ReturnOffer Placed/Upgraded MiningDroid
[07:801] ReturnOffer Unlocked SpecOpsShotgun
[10:428] ReturnOffer Unlocked HighPrecisionBeams
[15:105] ReturnOffer Unlocked BioMechanicalRepairDrone
[17:271] ReturnOffer Unlocked Stimpack
[18:485] ReturnOffer Placed/Upgraded HealingDrone
[18:845] ReturnOffer Placed/Upgraded HealingDrone
[20:397] ReturnOffer Unlocked HazmatSuit
[20:401] ReturnOffer Unlocked AdvancedHazmatSuit
[22:328] ReturnOffer Unlocked MedicShield
[22:874] ReturnOffer Placed/Upgraded HealingDrone
[28:242] ReturnOffer Placed/Upgraded MiningDroid
[30:591] ReturnOffer Placed/Upgraded HealingDrone
[31:856] ReturnOffer Placed/Upgraded HealingDrone
[00:572] Roxadar Unlocked AssaultRifle
[00:651] Roxadar Placed/Upgraded MiningDroid
[00:708] Roxadar Unlocked BeamRifle
[06:615] Roxadar Unlocked SuperStimpack
[06:658] Roxadar Unlocked SpecOpsPlasmaRifle
[08:024] Roxadar Unlocked Stimpack
[09:258] Roxadar Unlocked ExplorationDroid
[09:363] Roxadar Placed/Upgraded ExplorationDroid
[10:466] Roxadar Placed/Upgraded ExplorationDroid
[11:295] Roxadar Placed/Upgraded ExplorationDroid
[17:211] Roxadar Unlocked HazmatSuit
[17:246] Roxadar Unlocked BioMechanicalRepairDrone
[17:541] Roxadar Unlocked OpticalVisor
[20:068] Roxadar Placed/Upgraded MiningDroid
[20:398] Roxadar Bought ShieldSuit
[20:398] Roxadar Bought CombatSuit
[20:398] Roxadar Bought HazmatSuit
[20:398] Roxadar Bought HazmatSuit
[20:402] Roxadar Bought HazmatSuit
[23:755] Roxadar Placed/Upgraded HealingDrone
[26:216] Roxadar Unlocked SpecOpsSuperStimpack
[27:125] Roxadar Unlocked EnergyPack
[27:284] Roxadar Placed/Upgraded MiningDroid
[00:572] Frosky Unlocked AssaultRifle
[00:724] Frosky Placed/Upgraded MiningDroid
[00:758] Frosky Unlocked Shotgun
[03:918] Frosky Unlocked SpecOpsShotgun
[07:725] Frosky Unlocked Stimpack
[10:699] Frosky Unlocked SuperStimpack
[13:732] Frosky Unlocked HazmatSuit
[15:210] Frosky Unlocked BioMechanicalRepairDrone
[16:828] Frosky Placed/Upgraded HealingDrone
[17:212] Frosky Bought ShieldSuit
[17:212] Frosky Bought CombatSuit
[17:212] Frosky Bought HazmatSuit
[17:212] Frosky Bought HazmatSuit
[17:415] Frosky Placed/Upgraded HealingDrone
[17:603] Frosky Unlocked AutoTurret
[22:099] Frosky Unlocked AIAssistant
[22:105] Frosky Unlocked CombatShield
[22:923] Frosky Placed/Upgraded HealingDrone
[23:144] Frosky Placed/Upgraded HealingDrone
[24:496] Frosky Placed/Upgraded HealingDrone
[25:194] Frosky Placed/Upgraded MiningDroid
[25:368] Frosky Placed/Upgraded HealingDrone
[26:849] Frosky Placed/Upgraded HealingDrone
[27:030] Frosky Placed/Upgraded HealingDrone
[00:572] Ehrling Unlocked AssaultRifle
[00:654] Ehrling Placed/Upgraded MiningDroid
[00:895] Ehrling Unlocked ArcWelder
[02:314] Ehrling Unlocked AutoTurret
[03:292] Ehrling Unlocked MotionSensor
