Analyzed: Oh No It's Zombies Arctic Map (251)

ID : 0 PlayerName: ReturnOffer Race: Terran
ID : 1 PlayerName: Ehrling Race: Terran
ID : 2 PlayerName: Semicedevine Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: PVG Race: Terran
ID : 5 PlayerName: AIzombie Race: Zerg
ID : 6 PlayerName: BardBard Race: Terran
ID : 7 PlayerName: Security Race: Protoss
AIzombie Zombie Win
Public Lobby

Game Length:[28:534]
Players ammount: 8
Marine rank avg: 8,833333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:572] ReturnOffer Unlocked AssaultRifle
[00:653] ReturnOffer Placed/Upgraded MiningDroid
[00:811] ReturnOffer Unlocked ArcWelder
[01:535] ReturnOffer Unlocked AutoTurret
[02:451] ReturnOffer Unlocked HeavyTurret
[02:933] ReturnOffer Placed/Upgraded AutoTurret
[03:605] ReturnOffer Unlocked ExplorationDroid
[03:744] ReturnOffer Placed/Upgraded ExplorationDroid
[03:762] ReturnOffer Placed/Upgraded ExplorationDroid
[04:145] ReturnOffer Placed/Upgraded ExplorationDroid
[05:151] ReturnOffer Placed/Upgraded AutoTurret
[05:432] ReturnOffer Placed/Upgraded AutoTurret
[06:476] ReturnOffer Unlocked BioMechanicalRepairDrone
[06:486] ReturnOffer Unlocked CombatAccelerationDrone
[06:670] ReturnOffer Placed/Upgraded HealingDrone
[06:805] ReturnOffer Placed/Upgraded HealingDrone
[07:175] ReturnOffer Placed/Upgraded HealingDrone
[08:360] ReturnOffer Placed/Upgraded AutoTurret
[08:785] ReturnOffer Placed/Upgraded AutoTurret
[09:170] ReturnOffer Placed/Upgraded AutoTurret
[09:500] ReturnOffer Placed/Upgraded AutoTurret
[10:089] ReturnOffer Placed/Upgraded AutoTurret
[10:320] ReturnOffer Placed/Upgraded AutoTurret
[14:205] ReturnOffer Placed/Upgraded ExplorationDroid
[14:616] ReturnOffer Placed/Upgraded HealingDrone
[14:748] ReturnOffer Placed/Upgraded HealingDrone
[15:289] ReturnOffer Unlocked FlameTurret
[15:781] ReturnOffer Placed/Upgraded AutoTurret
[17:690] ReturnOffer Placed/Upgraded AutoTurret
[17:847] ReturnOffer Placed/Upgraded AutoTurret
[20:739] ReturnOffer Unlocked ForceFieldGrenade
[20:743] ReturnOffer Unlocked SpecOpsForcefieldGrenade
[20:787] ReturnOffer Unlocked Stimpack
[21:899] ReturnOffer Placed/Upgraded AutoTurret
[22:040] ReturnOffer Placed/Upgraded ExplorationDroid
[22:972] ReturnOffer Placed/Upgraded AutoTurret
[23:108] ReturnOffer Placed/Upgraded AutoTurret
[23:387] ReturnOffer Placed/Upgraded AutoTurret
[24:608] ReturnOffer Placed/Upgraded AutoTurret
[24:934] ReturnOffer Placed/Upgraded AutoTurret
[25:489] ReturnOffer Placed/Upgraded AutoTurret
[00:572] Ehrling Unlocked AssaultRifle
[00:691] Ehrling Placed/Upgraded MiningDroid
[00:741] Ehrling Unlocked AdvancedDroidEngines
[02:959] Ehrling Unlocked HellfireRocketLauncher
[04:629] Ehrling Unlocked SpecOpsHellfireRocketLauncher
[08:553] Ehrling Placed/Upgraded MiningDroid
[09:228] Ehrling Unlocked MedicShield
[12:563] Ehrling Unlocked ExplorationDroid
[12:720] Ehrling Placed/Upgraded ExplorationDroid
[12:866] Ehrling Placed/Upgraded ExplorationDroid
[13:078] Ehrling Placed/Upgraded MiningDroid
[13:664] Ehrling Unlocked ShockwaveMissiles
[15:322] Ehrling Unlocked Stimpack
[16:558] Ehrling Unlocked CombatSuit
[16:563] Ehrling Unlocked AdvancedCombatSuit
[20:585] Ehrling Unlocked PsiDisrupter
[20:627] Ehrling Unlocked SpecOpsPsiDisruptor
[20:663] Ehrling Placed/Upgraded PsiIndoctrinator
[00:572] Semicedevine Unlocked AssaultRifle
[00:651] Semicedevine Placed/Upgraded MiningDroid
