Analyzed: Oh No It's Zombies Arctic Map (252)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: Gxz Race: Terran
ID : 2 PlayerName: Empada Race: Terran
ID : 3 PlayerName: xoaiuot Race: Terran
ID : 4 PlayerName: CrazyCat Race: Terran
ID : 5 PlayerName: gujiu Race: Terran
ID : 6 PlayerName: Roxadar Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Frosky Zombie Win
Public Lobby

Game Length:[37:217]
Players ammount: 8
Marine rank avg: 8
GrandMaster ammount: 1
PURCHASES: 
[01:347] Frosky Spawned MassiveCocoon
[02:787] Frosky Spawned Hunter
[06:497] Frosky Bought CreepSpeed
[08:662] Frosky Bought UnlockDropPods
[09:451] Frosky Bought EvolveDropPods
[10:188] Frosky Bought EvolveDropPods
[10:901] Frosky Bought EvolveDropPods
[10:903] Frosky Bought EvolveDropPods
[10:907] Frosky Bought EvolveDropPods
[12:730] Frosky Bought BuildExtractorExcavationZone
[12:730] Frosky Placed/Upgraded AutomatedExtractor
[15:537] Frosky Bought StrainHealth
[17:000] Frosky Bought BuildExtractorExcavationZone
[17:215] Frosky Placed/Upgraded LocustNest
[17:389] Frosky Bought VirulentCreep
[18:454] Frosky Bought BuildExtractorManufacturingSector
[18:454] Frosky Placed/Upgraded AutomatedExtractor
[19:060] Frosky Placed/Upgraded Virophage
[20:241] Frosky Bought StrainVolatile
[20:364] Frosky Bought AdvancedInfestationContainment
[21:076] Frosky Bought EvolveDropPods
[21:756] Frosky Bought StrainHealth
[21:759] Frosky Bought StrainHealth
[22:810] Frosky Spawned MassiveCocoon
[22:943] Frosky Bought BuildExtractorExcavationZone
[22:943] Frosky Placed/Upgraded AutomatedExtractor
[23:277] Frosky Spawned MassiveCocoon
[23:890] Frosky Spawned Underseer
[24:429] Frosky Bought SiphonFuel
[24:555] Frosky Placed/Upgraded Virophage
[24:717] Frosky Spawned InfestedAbomination
[24:767] Frosky Placed/Upgraded PrimalSunkenColony
[24:768] Frosky Bought SunkenColony
[25:731] Frosky Bought PureStrainHealth
[26:111] Frosky Bought BuildExtractorProcessingFacilities
[26:111] Frosky Placed/Upgraded AutomatedExtractor
[26:773] Frosky Placed/Upgraded LocustNest
[27:713] Frosky Bought SiphonFuel
[27:766] Frosky Bought StrainHealth
[29:207] Frosky Bought SpawnNydusWorm
[29:233] Frosky Placed/Upgraded GreaterNydusWorm
[30:057] Frosky Placed/Upgraded NydusCanalCreeper
[30:298] Frosky Bought SunkenColony
[30:298] Frosky Placed/Upgraded PrimalSunkenColony
[30:599] Frosky Bought SiphonFuel
[31:116] Frosky Placed/Upgraded NydusCanalCreeper
[31:833] Frosky Bought PureStrainHealth
[31:850] Frosky Bought TankStrain
[32:161] Frosky Bought DropshipsFueled
[32:557] Frosky Bought SweepingInfestation
[32:557] Frosky Bought UltimateInfestationResearched
[32:783] Frosky Bought PureStrainHealth
[34:805] Frosky Bought PureStrainHealth
[34:821] Frosky Bought TankStrain
[34:824] Frosky Bought TankStrain
[00:572] Gxz Unlocked AssaultRifle
[00:651] Gxz Placed/Upgraded MiningDroid
[00:922] Gxz Unlocked AdvancedDroidEngines
[02:061] Gxz Unlocked IncendiaryGrenade
[04:256] Gxz Unlocked ArcWelder
[05:511] Gxz Unlocked TurboDroidEngines
[06:343] Gxz Unlocked ExplorationDroid
[06:435] Gxz Placed/Upgraded ExplorationDroid
[06:530] Gxz Placed/Upgraded ExplorationDroid
[07:968] Gxz Unlocked Stimpack
[09:661] Gxz Unlocked Shotgun
[09:671] Gxz Unlocked SpecOpsShotgun
[10:944] Gxz Placed/Upgraded ExplorationDroid
[11:390] Gxz Unlocked HighPrecisionBeams
[13:702] Gxz Unlocked Shieldsiotunlocked
[13:703] Gxz Unlocked ShieldSuit
[13:703] Gxz Unlocked AdvancedShieldSuit
[13:703] Gxz Unlocked CombatSuit
[13:703] Gxz Unlocked AdvancedCombatSuit
[13:703] Gxz Unlocked HazmatSuit
[13:703] Gxz Unlocked AdvancedHazmatSuit
[13:703] Gxz Unlocked ShieldSuit
[13:742] Gxz Unlocked BioMechanicalRepairDrone
[13:755] Gxz Unlocked SpecOpsBioMechanicalRepairDrone
[13:899] Gxz Unlocked AIAssistant
[13:905] Gxz Unlocked CombatShield
[17:759] Gxz Unlocked AutoTurret
[17:784] Gxz Unlocked HeavyTurret
[17:910] Gxz Placed/Upgraded AutoTurret
[18:515] Gxz Placed/Upgraded AutoTurret
[18:708] Gxz Placed/Upgraded AutoTurret
[18:953] Gxz Unlocked RechargeDrone
[19:197] Gxz Placed/Upgraded HealingDrone
[19:796] Gxz Placed/Upgraded AutoTurret
[19:965] Gxz Placed/Upgraded AutoTurret
[20:100] Gxz Placed/Upgraded AutoTurret
[20:277] Gxz Placed/Upgraded HealingDrone
[23:203] Gxz Placed/Upgraded HealingDrone
