Analyzed: Oh No It's Zombies Arctic Map (256)

ID : 0 PlayerName: ReturnOffer Race: Zerg
ID : 1 PlayerName: Toxicpanda Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: MarFly Race: Terran
ID : 4 PlayerName: csiz Race: Terran
ID : 5 PlayerName: RedReaperz Race: Terran
ID : 6 PlayerName: dathong Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
ReturnOffer Zombie Loss
Private Lobby

Game Length:[36:324]
Players ammount: 8
Marine rank avg: 19
GrandMaster ammount: 7
PURCHASES: 
[00:649] ReturnOffer Spawned MassiveCocoon
[01:037] ReturnOffer Placed/Upgraded NydusCanalCreeper
[01:652] ReturnOffer Placed/Upgraded LocustNest
[02:089] ReturnOffer Spawned Hunter
[02:218] ReturnOffer Placed/Upgraded LocustNest
[02:495] ReturnOffer Placed/Upgraded ToxicNest
[02:591] ReturnOffer Placed/Upgraded ToxicNest
[02:609] ReturnOffer Placed/Upgraded ToxicNest
[03:433] ReturnOffer Spawned MassiveCocoon
[04:873] ReturnOffer Spawned InfestedAbomination
[04:941] ReturnOffer Placed/Upgraded ToxicNest
[07:099] ReturnOffer Placed/Upgraded ToxicNest
[07:113] ReturnOffer Placed/Upgraded ToxicNest
[07:125] ReturnOffer Placed/Upgraded ToxicNest
[07:300] ReturnOffer Spawned MassiveCocoon
[07:562] ReturnOffer Placed/Upgraded LocustNest
[07:762] ReturnOffer Placed/Upgraded ToxicNest
[08:166] ReturnOffer Placed/Upgraded ToxicNest
[08:740] ReturnOffer Spawned InfestedAbomination
[08:862] ReturnOffer Bought AdvancedInfestationContainment
[11:487] ReturnOffer Bought SpawnNydusWorm
[11:682] ReturnOffer Placed/Upgraded NydusCanalCreeper
[12:284] ReturnOffer Spawned MassiveCocoon
[12:649] ReturnOffer Placed/Upgraded GreaterNydusWorm
[13:104] ReturnOffer Placed/Upgraded PrimalSunkenColony
[13:105] ReturnOffer Bought SunkenColony
[13:565] ReturnOffer Placed/Upgraded LesserNydusWorm
[13:566] ReturnOffer Bought GreaterNydus
[13:634] ReturnOffer Bought SunkenColony
[13:839] ReturnOffer Spawned MassiveCocoon
[14:018] ReturnOffer Bought GreaterNydus
[14:506] ReturnOffer Bought VirulentCreep
[14:530] ReturnOffer Bought ConstructiveCreep
[14:905] ReturnOffer Placed/Upgraded LesserNydusWorm
[14:906] ReturnOffer Bought GreaterNydus
[15:279] ReturnOffer Spawned Anubalisk
[15:732] ReturnOffer Bought GreaterNydus
[16:105] ReturnOffer Bought AdvancedInfestationSecurity
[16:147] ReturnOffer Bought TrackHumans
[16:313] ReturnOffer Placed/Upgraded PrimalSunkenColony
[16:314] ReturnOffer Bought SunkenColony
[16:870] ReturnOffer Spawned MassiveCocoon
[17:115] ReturnOffer Bought SunkenColony
[17:874] ReturnOffer Placed/Upgraded Virophage
[17:910] ReturnOffer Bought BuildExtractorExcavationZone
[17:910] ReturnOffer Placed/Upgraded AutomatedExtractor
[17:936] ReturnOffer Bought BuildExtractorManufacturingSector
[17:936] ReturnOffer Placed/Upgraded AutomatedExtractor
[18:098] ReturnOffer Spawned MassiveCocoon
[18:178] ReturnOffer Bought TrackHumans
[18:310] ReturnOffer Spawned InfestedAbomination
[19:178] ReturnOffer Spawned Underseer
[19:649] ReturnOffer Placed/Upgraded GreaterNydusWorm
