Analyzed: Oh No It's Zombies Arctic Map (261)

ID : 0 PlayerName: Toxicpanda Race: Terran
ID : 0 PlayerName: ReturnOffer Race: Zerg
ID : 0 PlayerName: Ascherit Race: Terran
ID : 0 PlayerName: Frosky Race: Terran
ID : 0 PlayerName: MarFly Race: Terran
ID : 0 PlayerName: Security Race: Terran Mengsk
Toxicpanda Zombie Loss
Public Lobby

Game Length:[49:943]
Players ammount: 6
Marine rank avg: 0
GrandMaster ammount: 0
PURCHASES: 
[00:572] Toxicpanda Unlocked AssaultRifle
[00:633] Toxicpanda Spawned MassiveCocoon
[00:651] Toxicpanda Placed/Upgraded MiningDroid
[00:831] Toxicpanda Bought UnlockDropPods
[00:835] Toxicpanda Bought EvolveDropPods
[00:888] Toxicpanda Unlocked ArcWelder
[01:517] Toxicpanda Unlocked Stimpack
[01:602] Toxicpanda Unlocked BioMechanicalRepairDrone
[01:713] Toxicpanda Spawned Underseer
[02:881] Toxicpanda Bought EvolveDropPods
[02:884] Toxicpanda Bought EvolveDropPods
[02:888] Toxicpanda Bought EvolveDropPods
[03:189] Toxicpanda Unlocked PsiDisrupter
[03:296] Toxicpanda Unlocked PsiDepressor
[03:517] Toxicpanda Bought EvolveDropPods
[04:326] Toxicpanda Bought EvolveDropPods
[04:517] Toxicpanda Placed/Upgraded PsiIndoctrinator
[04:707] Toxicpanda Placed/Upgraded PsiIndoctrinator
[04:872] Toxicpanda Placed/Upgraded PsiIndoctrinator
[04:895] Toxicpanda Placed/Upgraded PsiIndoctrinator
[04:904] Toxicpanda Placed/Upgraded PsiIndoctrinator
[04:908] Toxicpanda Placed/Upgraded PsiIndoctrinator
[04:912] Toxicpanda Placed/Upgraded PsiIndoctrinator
[04:918] Toxicpanda Placed/Upgraded PsiIndoctrinator
[04:922] Toxicpanda Placed/Upgraded PsiIndoctrinator
[04:927] Toxicpanda Placed/Upgraded PsiIndoctrinator
[04:931] Toxicpanda Placed/Upgraded PsiIndoctrinator
[05:144] Toxicpanda Placed/Upgraded HealingDrone
[05:414] Toxicpanda Bought StrainVolatile
[05:707] Toxicpanda Spawned MassiveCocoon
[06:418] Toxicpanda Unlocked QuantumBackpack
[06:673] Toxicpanda Placed/Upgraded PsiIndoctrinator
[06:787] Toxicpanda Spawned Underseer
[06:805] Toxicpanda Placed/Upgraded PsiIndoctrinator
[06:808] Toxicpanda Bought StrainVolatile
[06:812] Toxicpanda Placed/Upgraded PsiIndoctrinator
[06:817] Toxicpanda Placed/Upgraded PsiIndoctrinator
[06:821] Toxicpanda Placed/Upgraded PsiIndoctrinator
[06:824] Toxicpanda Placed/Upgraded PsiIndoctrinator
[06:828] Toxicpanda Placed/Upgraded PsiIndoctrinator
[06:831] Toxicpanda Placed/Upgraded PsiIndoctrinator
[07:089] Toxicpanda Placed/Upgraded PsiIndoctrinator
[07:092] Toxicpanda Placed/Upgraded PsiIndoctrinator
[07:096] Toxicpanda Placed/Upgraded PsiIndoctrinator
[07:099] Toxicpanda Placed/Upgraded PsiIndoctrinator
[07:103] Toxicpanda Placed/Upgraded PsiIndoctrinator
[07:274] Toxicpanda Placed/Upgraded PsiIndoctrinator
[07:279] Toxicpanda Placed/Upgraded PsiIndoctrinator
[07:283] Toxicpanda Placed/Upgraded PsiIndoctrinator
[07:678] Toxicpanda Placed/Upgraded PsiIndoctrinator
[08:999] Toxicpanda Placed/Upgraded HealingDrone
[09:625] Toxicpanda Unlocked MiningCharge
[09:628] Toxicpanda Unlocked ExplorationDroid
[09:650] Toxicpanda Placed/Upgraded ExplorationDroid
[09:656] Toxicpanda Placed/Upgraded ExplorationDroid
[10:011] Toxicpanda Placed/Upgraded ExplorationDroid
[10:072] Toxicpanda Bought StrainVolatile
[10:081] Toxicpanda Bought StrainVolatile
[10:972] Toxicpanda Bought StrainVolatile
[13:029] Toxicpanda Bought PureStrainVolatile
[13:618] Toxicpanda Bought BuildExtractorExcavationZone
