Analyzed: Oh No It's Zombies Arctic Map (265)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: meTT Race: Terran
ID : 2 PlayerName: CTbone Race: Terran
ID : 3 PlayerName: jaximuspax Race: Terran
ID : 4 PlayerName: ClydeBOT Race: Terran
ID : 5 PlayerName: Panda Race: Terran
ID : 6 PlayerName: Kira Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Frosky Zombie Win
Public Lobby

Game Length:[45:095]
Players ammount: 8
Marine rank avg: 14
GrandMaster ammount: 3
PURCHASES: 
[00:868] Frosky Spawned MassiveCocoon
[02:308] Frosky Spawned Hunter
[04:630] Frosky Placed/Upgraded LocustNest
[04:802] Frosky Placed/Upgraded LocustNest
[06:367] Frosky Bought CreepSpeed
[09:813] Frosky Bought CreepSpeed
[11:070] Frosky Placed/Upgraded PrimalSunkenColony
[11:071] Frosky Bought SunkenColony
[11:349] Frosky Placed/Upgraded ToxicNest
[11:361] Frosky Placed/Upgraded ToxicNest
[12:800] Frosky Bought StrainHealth
[13:772] Frosky Bought StrainVolatile
[15:737] Frosky Placed/Upgraded ToxicNest
[15:746] Frosky Placed/Upgraded ToxicNest
[15:799] Frosky Placed/Upgraded LocustNest
[15:905] Frosky Bought StrainHealth
[16:547] Frosky Placed/Upgraded ToxicNest
[16:555] Frosky Placed/Upgraded ToxicNest
[18:197] Frosky Placed/Upgraded NydusCanalCreeper
[18:438] Frosky Spawned MassiveCocoon
[19:534] Frosky Bought VirulentCreep
[19:878] Frosky Spawned Anubalisk
[20:999] Frosky Bought UnlockDropPods
[21:005] Frosky Bought EvolveDropPods
[22:260] Frosky Bought EvolveDropPods
[22:263] Frosky Bought EvolveDropPods
[22:266] Frosky Bought EvolveDropPods
[22:267] Frosky Bought EvolveDropPods
[22:701] Frosky Placed/Upgraded NydusCanalCreeper
[23:271] Frosky Bought AdvancedInfestationContainment
[24:614] Frosky Bought BuildExtractorProcessingFacilities
[24:614] Frosky Placed/Upgraded AutomatedExtractor
[24:731] Frosky Placed/Upgraded NydusCanalCreeper
[27:012] Frosky Bought StrainHealth
[27:648] Frosky Bought SiphonFuel
[27:820] Frosky Placed/Upgraded PrimalSunkenColony
[27:821] Frosky Bought SunkenColony
[28:061] Frosky Spawned MassiveCocoon
