Analyzed: Oh No It's Zombies Arctic Map (266)

ID : 0 PlayerName: UwU Race: Terran
ID : 1 PlayerName: ProDem Race: Zerg
ID : 2 PlayerName: marekow Race: Terran
ID : 3 PlayerName: Zakhara Race: Terran
ID : 4 PlayerName: LordMyPuta Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: aussiepup Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
ProDem Zombie Loss
Public Lobby

Game Length:[32:184]
Players ammount: 8
Marine rank avg: 10,666666666666666
GrandMaster ammount: 3
PURCHASES: 
[00:572] UwU Unlocked AssaultRifle
[00:651] UwU Placed MiningDroid
[00:713] UwU Unlocked FragGrenade
[00:716] UwU Unlocked SpecOpsFragGrenade
[03:127] UwU Unlocked SpecOpsAssaultRifle
[04:578] UwU Unlocked AutoTargetingSystem
[08:511] UwU Unlocked CombatSuit
[08:515] UwU Unlocked AdvancedCombatSuit
[08:556] UwU Unlocked OverloadWeapon
[09:914] UwU Unlocked MedicShield
[10:254] UwU Unlocked PowerConverter
[13:661] UwU Unlocked AutoTurret
[13:699] UwU Unlocked HeavyTurret
[18:358] UwU Unlocked ExplorationDroid
[18:393] UwU Placed ExplorationDroid
[18:399] UwU Placed ExplorationDroid
[18:466] UwU Placed ExplorationDroid
[19:602] UwU Placed AutoTurret
[19:946] UwU Placed AutoTurret
[21:318] UwU Placed AutoTurret
[22:527] UwU Placed AutoTurret
[23:026] UwU Placed AutoTurret
[24:313] UwU Placed AutoTurret
[24:495] UwU Placed AutoTurret
[24:686] UwU Placed AutoTurret
[25:055] UwU Placed AutoTurret
[25:352] UwU Placed AutoTurret
[26:268] UwU Placed AutoTurret
[29:214] UwU Placed AutoTurret
[29:559] UwU Placed AutoTurret
[29:792] UwU Placed AutoTurret
[30:020] UwU Placed AutoTurret
[30:296] UwU Placed AutoTurret
[00:568] ProDem Bought PlayerNumber
[01:362] ProDem Spawned MassiveCocoon
[02:130] ProDem Placed/Upgraded PrimalSunkenColony
[02:131] ProDem Bought SunkenColony
[02:802] ProDem Spawned InfestedAbomination
[03:462] ProDem Bought SunkenColony
[04:610] ProDem Bought SunkenColony
[04:610] ProDem Placed/Upgraded PrimalSunkenColony
[05:465] ProDem Bought SunkenColony
[05:536] ProDem Spawned MassiveCocoon
[06:606] ProDem Spawned MassiveCocoon
[06:756] ProDem Placed/Upgraded NydusCanalCreeper
[06:997] ProDem Placed/Upgraded LocustNest
[08:046] ProDem Spawned Hunter
[08:512] ProDem Bought ShieldSuit
[08:512] ProDem Bought CombatSuit
[08:512] ProDem Bought HazmatSuit
[08:512] ProDem Bought CombatSuit
[08:516] ProDem Bought CombatSuit
