Analyzed: Oh No It's Zombies Arctic Map (268)

ID : 0 PlayerName: WildMutant Race: Terran
ID : 1 PlayerName: Wooky Race: Terran
ID : 2 PlayerName: AIzombie Race: Zerg
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: Ahanax Race: Terran
ID : 5 PlayerName: Cruel Race: Terran
ID : 6 PlayerName: Toxicpanda Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
AIzombie Zombie Loss
Private Lobby

Game Length:[47:572]
Players ammount: 8
Marine rank avg: 12,833333333333334
GrandMaster ammount: 6
PURCHASES: 
[00:572] WildMutant Unlocked AssaultRifle
[00:651] WildMutant Placed/Upgraded MiningDroid
[00:708] WildMutant Unlocked AdvancedDroidEngines
[03:636] WildMutant Unlocked TurboDroidEngines
[08:353] WildMutant Unlocked SpecOpsAssaultRifle
[09:655] WildMutant Unlocked ExplorationDroid
[09:690] WildMutant Placed/Upgraded ExplorationDroid
[09:701] WildMutant Placed/Upgraded ExplorationDroid
[12:874] WildMutant Unlocked TitaniumBulletCasings
[12:929] WildMutant Unlocked Stimpack
[12:975] WildMutant Placed/Upgraded ExplorationDroid
[13:001] WildMutant Placed/Upgraded ExplorationDroid
[14:408] WildMutant Placed/Upgraded MiningDroid
[17:620] WildMutant Unlocked AutoTurret
[17:663] WildMutant Unlocked HeavyTurret
[17:963] WildMutant Placed/Upgraded AutoTurret
[18:213] WildMutant Placed/Upgraded AutoTurret
[19:831] WildMutant Placed/Upgraded AutoTurret
[20:536] WildMutant Placed/Upgraded ExplorationDroid
[20:670] WildMutant Placed/Upgraded MiningDroid
[21:692] WildMutant Placed/Upgraded AutoTurret
[22:510] WildMutant Unlocked BioMechanicalRepairDrone
[22:534] WildMutant Unlocked SpecOpsBioMechanicalRepairDrone
[27:181] WildMutant Placed/Upgraded MiningDroid
[28:106] WildMutant Placed/Upgraded HealingDrone
[28:696] WildMutant Placed/Upgraded HealingDrone
[29:841] WildMutant Unlocked MiningCharge
[29:849] WildMutant Unlocked AdvancedMiningCharge
[29:893] WildMutant Placed/Upgraded NukePack
[30:569] WildMutant Placed/Upgraded HealingDrone
[33:854] WildMutant Placed/Upgraded HealingDrone
[33:886] WildMutant Placed/Upgraded NukePack
[35:161] WildMutant Unlocked BeamRifle
[35:170] WildMutant Unlocked SpecOpsPlasmaRifle
[35:233] WildMutant Unlocked LongRangeScope
[36:035] WildMutant Placed/Upgraded NukePack
[36:485] WildMutant Placed/Upgraded HealingDrone
[37:969] WildMutant Placed/Upgraded HealingDrone
[00:572] Wooky Unlocked AssaultRifle
[00:921] Wooky Placed MiningDroid
[01:000] Wooky Unlocked AdvancedDroidEngines
[05:858] Wooky Unlocked SpecOpsAssaultRifle
[05:877] Wooky Unlocked AutoTargetingSystem
[08:273] Wooky Unlocked Shieldsiotunlocked
[09:622] Wooky Unlocked Stimpack
[12:808] Wooky Unlocked MiningCharge
[13:155] Wooky Placed NukePack
[13:443] Wooky Placed NukePack
[13:607] Wooky Unlocked PowerConverter
[15:177] Wooky Placed NukePack
[15:790] Wooky Unlocked SpecOpsPowerConverter
[16:822] Wooky Unlocked FragGrenade
[19:205] Wooky Unlocked SpecOpsFragGrenade
[20:299] Wooky Placed NukePack
[29:108] Wooky Placed NukePack
[34:408] Wooky Placed NukePack
[36:564] Wooky Placed NukePack
[00:568] AIzombie Bought PlayerNumber
[00:652] AIzombie Spawned MassiveCocoon
[00:997] AIzombie Placed/Upgraded NydusCanalCreeper
[02:092] AIzombie Spawned Hunter
[03:666] AIzombie Placed/Upgraded NydusCanalCreeper
[04:874] AIzombie Spawned MassiveCocoon
[05:598] AIzombie Spawned MassiveCocoon
[06:314] AIzombie Spawned InfestedAbomination
[06:430] AIzombie Placed/Upgraded NydusCanalCreeper
[06:678] AIzombie Spawned Underseer
[08:274] AIzombie Bought ShieldSuit
[08:274] AIzombie Bought CombatSuit
[08:274] AIzombie Bought HazmatSuit
[08:274] AIzombie Bought ShieldSuit
[08:572] AIzombie Bought UnlockDropPods
[08:583] AIzombie Bought EvolveDropPods
[09:176] AIzombie Bought EvolveDropPods
[09:553] AIzombie Bought EvolveDropPods
[11:273] AIzombie Bought VirulentCreep
[11:273] AIzombie Bought VirulentCreep
[12:195] AIzombie Spawned MassiveCocoon
[12:744] AIzombie Spawned MassiveCocoon
[13:635] AIzombie Spawned InfestedAbomination
[13:824] AIzombie Spawned Underseer
[14:044] AIzombie Placed/Upgraded PrimalSunkenColony
[14:045] AIzombie Bought SunkenColony
[14:344] AIzombie Bought SunkenColony
[14:395] AIzombie Placed/Upgraded ToxicNest
[14:395] AIzombie Placed/Upgraded ToxicNest
[14:400] AIzombie Placed/Upgraded ToxicNest
[14:578] AIzombie Bought EvolveDropPods
[14:581] AIzombie Bought EvolveDropPods
[14:585] AIzombie Bought EvolveDropPods
[15:218] AIzombie Spawned MassiveCocoon
[15:754] AIzombie Bought AdvancedPowerInfestation
[16:658] AIzombie Spawned Hunter
[17:500] AIzombie Bought BuildExtractorScienceLabs
[17:500] AIzombie Placed/Upgraded AutomatedExtractor
[18:190] AIzombie Placed/Upgraded NydusCanalCreeper
[19:483] AIzombie Bought BuildExtractorExcavationZone
[19:483] AIzombie Placed/Upgraded AutomatedExtractor
[19:535] AIzombie Placed/Upgraded Virophage
[19:559] AIzombie Spawned MassiveCocoon
[20:657] AIzombie Placed/Upgraded Virophage
[20:999] AIzombie Spawned InfestedAbomination
[21:568] AIzombie Bought AdvancedInfestationContainment
[23:086] AIzombie Bought BuildExtractorProcessingFacilities
[23:086] AIzombie Placed/Upgraded AutomatedExtractor
[23:319] AIzombie Placed/Upgraded NydusCanalCreeper
[23:798] AIzombie Bought SiphonFuel
[23:893] AIzombie Placed/Upgraded NydusCanalCreeper
[25:393] AIzombie Placed/Upgraded NydusCanalCreeper
[25:800] AIzombie Bought CreepSpeed
[25:847] AIzombie Spawned MassiveCocoon
[25:854] AIzombie Spawned MassiveCocoon
[26:285] AIzombie Placed/Upgraded NydusCanalCreeper
[27:019] AIzombie Spawned MassiveCocoon
[27:212] AIzombie Bought SpawnNydusWorm
[27:257] AIzombie Placed/Upgraded GreaterNydusWorm
[27:287] AIzombie Spawned Anubalisk
[27:294] AIzombie Spawned Anubalisk
[27:438] AIzombie Bought SiphonFuel
[27:602] AIzombie Bought StrainHealth
[28:099] AIzombie Spawned Underseer
[28:722] AIzombie Bought StrainHealth
[28:744] AIzombie Bought StrainVolatile
[28:748] AIzombie Bought StrainVolatile
[29:176] AIzombie Spawned MassiveCocoon
[29:680] AIzombie Placed/Upgraded LesserNydusWorm
[29:681] AIzombie Bought GreaterNydus
[29:984] AIzombie Bought DropshipsFueled
[30:616] AIzombie Spawned Anubalisk
[31:005] AIzombie Spawned RoyalCocoon
[31:005] AIzombie Bought SpawnHiveQueen
[31:005] AIzombie Bought UltimateInfestationResearched
[31:416] AIzombie Placed/Upgraded NydusCanalCreeper
[31:724] AIzombie Spawned QueenCoop
[33:101] AIzombie Placed/Upgraded NydusCanalCreeper
[34:109] AIzombie Placed/Upgraded GreaterNydusWorm
[34:167] AIzombie Bought PureStrainHealth
[34:182] AIzombie Bought TankStrain
[34:202] AIzombie Bought PureStrainVolatile
[34:215] AIzombie Bought KaboomerStrain
[34:287] AIzombie Bought PureStrainVolatile
[34:303] AIzombie Bought KaboomerStrain
[34:379] AIzombie Placed/Upgraded LesserNydusWorm
[34:380] AIzombie Bought GreaterNydus
[35:862] AIzombie Placed/Upgraded NydusCanalCreeper
[36:835] AIzombie Bought CreepSpeed
[38:402] AIzombie Bought PureStrainHealth
[38:414] AIzombie Bought TankStrain
[38:422] AIzombie Bought StrainSpeed
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed/Upgraded MiningDroid
[00:708] Frosky Unlocked Shotgun
[03:620] Frosky Unlocked SpecOpsShotgun
[05:472] Frosky Unlocked Stimpack
[06:562] Frosky Unlocked ExplorationDroid
[07:441] Frosky Placed/Upgraded ExplorationDroid
[07:552] Frosky Placed/Upgraded ExplorationDroid
[09:493] Frosky Unlocked SuperStimpack
[11:623] Frosky Unlocked HazmatSuit
[13:181] Frosky Unlocked AdvancedHazmatSuit
[13:230] Frosky Unlocked AIAssistant
[13:941] Frosky Unlocked BioMechanicalRepairDrone
[13:974] Frosky Placed/Upgraded HealingDrone
[15:731] Frosky Placed/Upgraded ExplorationDroid
[16:030] Frosky Placed/Upgraded HealingDrone
[17:717] Frosky Placed/Upgraded HealingDrone
[18:233] Frosky Placed/Upgraded HealingDrone
[19:511] Frosky Placed/Upgraded ExplorationDroid
[19:651] Frosky Unlocked CombatShield
[20:322] Frosky Unlocked PsiDisrupter
[20:981] Frosky Placed/Upgraded PsiIndoctrinator
[21:359] Frosky Placed/Upgraded PsiIndoctrinator
[22:158] Frosky Unlocked FlashBang
[22:164] Frosky Unlocked SpecOpsFlashbang
[22:233] Frosky Placed/Upgraded ExplorationDroid
[23:193] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[23:274] Frosky Placed/Upgraded HealingDrone
[24:356] Frosky Placed/Upgraded HealingDrone
[26:677] Frosky Placed/Upgraded HealingDrone
[27:820] Frosky Placed/Upgraded HealingDrone
[28:207] Frosky Unlocked HighPrecisionBeams
[28:458] Frosky Placed/Upgraded HealingDrone
[28:662] Frosky Placed/Upgraded HealingDrone
[29:088] Frosky Placed/Upgraded HealingDrone
[29:739] Frosky Unlocked PsiDepressor
[31:845] Frosky Placed/Upgraded HealingDrone
[32:291] Frosky Unlocked AutoTurret
