Analyzed: Oh No It's Zombies Arctic Map (269)

ID : 0 PlayerName: Cruel Race: Terran
ID : 1 PlayerName: marekow Race: Terran
ID : 2 PlayerName: Tin Race: Terran
ID : 3 PlayerName: ReturnOffer Race: Terran
ID : 4 PlayerName: SkyJio Race: Terran
ID : 5 PlayerName: Frosky Race: Zerg
ID : 6 PlayerName: BaoJio Race: Terran
ID : 7 PlayerName: Security Race: 
Frosky Zombie Win
Private Lobby

Game Length:[38:142]
Players ammount: 8
Marine rank avg: 20,5
GrandMaster ammount: 6
PURCHASES: 
[00:572] Cruel Unlocked AssaultRifle
[00:651] Cruel Placed/Upgraded MiningDroid
[06:360] Cruel Unlocked SpecOpsAssaultRifle
[06:382] Cruel Unlocked SuperStimpack
[08:770] Cruel Unlocked SpecOpsSuperStimpack
[10:938] Cruel Unlocked AdvancedDroidEngines
[13:376] Cruel Unlocked TitaniumBulletCasings
[14:927] Cruel Unlocked EnergySuit
[14:928] Cruel Unlocked EnergySuit
[17:639] Cruel Unlocked AdvancedEnergySuit
[17:640] Cruel Unlocked EnergySuit
[17:640] Cruel Unlocked AdvancedEnergySuit
[17:872] Cruel Unlocked ExplorationDroid
[17:911] Cruel Placed/Upgraded ExplorationDroid
[17:937] Cruel Placed/Upgraded ExplorationDroid
[21:854] Cruel Placed/Upgraded ExplorationDroid
[22:101] Cruel Unlocked MiningCharge
[22:108] Cruel Unlocked AdvancedMiningCharge
[22:198] Cruel Placed/Upgraded NukePack
[22:913] Cruel Placed/Upgraded NukePack
[24:372] Cruel Placed/Upgraded NukePack
[30:698] Cruel Placed/Upgraded NukePack
[30:740] Cruel Unlocked AutoTurret
[30:758] Cruel Unlocked HeavyTurret
[30:837] Cruel Placed/Upgraded NukePack
[31:192] Cruel Placed/Upgraded NukePack
[31:559] Cruel Placed/Upgraded AutoTurret
[31:746] Cruel Placed/Upgraded AutoTurret
[37:116] Cruel Placed/Upgraded AutoTurret
[00:572] marekow Unlocked AssaultRifle
[00:651] marekow Placed/Upgraded MiningDroid
[02:341] marekow Unlocked BeamRifle
[03:604] marekow Unlocked SpecOpsPlasmaRifle
[06:489] marekow Unlocked AdvancedDroidEngines
[08:527] marekow Unlocked Stimpack
[11:139] marekow Placed/Upgraded MiningDroid
[14:207] marekow Placed/Upgraded MiningDroid
[14:928] marekow Bought ShieldSuit
[14:928] marekow Bought CombatSuit
[14:928] marekow Bought HazmatSuit
[15:943] marekow Unlocked MiningCharge
[16:241] marekow Placed/Upgraded NukePack
[17:318] marekow Placed/Upgraded NukePack
