Analyzed: Oh No It's Zombies Arctic Map (273)

ID : 0 PlayerName: Theda Race: Terran
ID : 1 PlayerName: BlakA Race: Terran
ID : 2 PlayerName: Frosky Race: Zerg
ID : 3 PlayerName: DeATH Race: Terran
ID : 4 PlayerName: Timujin Race: Terran
ID : 5 PlayerName: Deweyoxberg Race: Terran
ID : 6 PlayerName: Bioshock Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
Frosky Zombie Win
Public Lobby

Game Length:[40:843]
Players ammount: 8
Marine rank avg: 11,833333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:572] Theda Unlocked AssaultRifle
[00:652] Theda Placed/Upgraded MiningDroid
[01:360] Theda Unlocked AdvancedDroidEngines
[04:095] Theda Unlocked Shotgun
[05:229] Theda Unlocked SpecOpsShotgun
[07:272] Theda Unlocked Stimpack
[09:542] Theda Unlocked SuperStimpack
[10:732] Theda Unlocked OpticalVisor
[12:418] Theda Unlocked HazmatSuit
[13:479] Theda Unlocked ConcussiveShot
[15:259] Theda Unlocked BioMechanicalRepairDrone
[15:294] Theda Unlocked SpecOpsBioMechanicalRepairDrone
[16:160] Theda Placed/Upgraded HealingDrone
[17:364] Theda Placed/Upgraded HealingDrone
[18:335] Theda Unlocked PsiDisrupter
[19:105] Theda Placed/Upgraded PsiIndoctrinator
[20:992] Theda Unlocked PsiDepressor
[22:271] Theda Placed/Upgraded PsiIndoctrinator
[23:801] Theda Placed/Upgraded PsiIndoctrinator
[25:001] Theda Placed/Upgraded PsiIndoctrinator
[25:521] Theda Unlocked AdvancedHazmatSuit
[25:737] Theda Unlocked CombatShield
[28:933] Theda Unlocked ForceFieldGrenade
[28:941] Theda Unlocked SpecOpsForcefieldGrenade
[29:555] Theda Placed/Upgraded PsiIndoctrinator
[35:748] Theda Unlocked SpecOpsSuperStimpack
[00:572] BlakA Unlocked AssaultRifle
[00:655] BlakA Placed MiningDroid
[00:811] BlakA Unlocked AdvancedDroidEngines
[03:900] BlakA Unlocked TurboDroidEngines
[06:466] BlakA Unlocked Stimpack
[08:665] BlakA Unlocked Flamethrower
[08:681] BlakA Unlocked SpecOpsFlamethrower
[10:961] BlakA Unlocked Teleporter
[12:419] BlakA Bought ShieldSuit
[12:419] BlakA Bought CombatSuit
[12:419] BlakA Bought HazmatSuit
[12:419] BlakA Bought HazmatSuit
[13:342] BlakA Unlocked Shieldsiotunlocked
