Analyzed: Oh No It's Zombies Arctic Map (275)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: dazcros Race: Terran
ID : 2 PlayerName: Ascherit Race: Terran
ID : 3 PlayerName: ReturnOffer Race: Zerg
ID : 4 PlayerName: MacNCheese Race: Terran
ID : 5 PlayerName: Zerat Race: Terran
ID : 6 PlayerName: yadro Race: Terran
ID : 7 PlayerName: Security Race: Protoss
ReturnOffer Zombie Loss
Private Lobby

Game Length:[38:279]
Players ammount: 8
Marine rank avg: 12,666666666666666
GrandMaster ammount: 4
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed/Upgraded MiningDroid
[00:826] Frosky Unlocked ArcWelder
[01:561] Frosky Unlocked Stimpack
[02:284] Frosky Unlocked BioMechanicalRepairDrone
[02:924] Frosky Unlocked CombatAccelerationDrone
[03:049] Frosky Placed/Upgraded HealingDrone
[03:192] Frosky Placed/Upgraded HealingDrone
[03:335] Frosky Placed/Upgraded HealingDrone
[03:964] Frosky Unlocked AdvancedDroidEngines
[05:084] Frosky Unlocked TurboDroidEngines
[05:812] Frosky Unlocked PsiDisrupter
[06:231] Frosky Placed/Upgraded PsiIndoctrinator
[06:761] Frosky Placed/Upgraded PsiIndoctrinator
[07:365] Frosky Unlocked ExplorationDroid
[07:404] Frosky Placed/Upgraded ExplorationDroid
[07:411] Frosky Placed/Upgraded ExplorationDroid
[07:545] Frosky Placed/Upgraded ExplorationDroid
[07:957] Frosky Placed/Upgraded PsiIndoctrinator
[08:583] Frosky Unlocked AIAssistant
[08:607] Frosky Unlocked HazmatSuit
[09:618] Frosky Unlocked AutoTurret
[09:794] Frosky Placed/Upgraded AutoTurret
[10:418] Frosky Unlocked SpecOpsPsiDisruptor
[10:479] Frosky Unlocked AdvancedHazmatSuit
[10:877] Frosky Placed/Upgraded ExplorationDroid
[11:115] Frosky Unlocked FlameTurret
[12:112] Frosky Placed/Upgraded AutoTurret
[12:280] Frosky Placed/Upgraded AutoTurret
[12:687] Frosky Unlocked SpecOpsArcWelder
[13:427] Frosky Unlocked ArcWelderMod3
[13:629] Frosky Placed/Upgraded HealingDrone
[14:275] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[15:167] Frosky Placed/Upgraded HealingDrone
[16:055] Frosky Placed/Upgraded PsiIndoctrinator
[16:144] Frosky Unlocked ForceFieldGrenade
[16:152] Frosky Unlocked SpecOpsForcefieldGrenade
[16:294] Frosky Placed/Upgraded AutoTurret
[17:212] Frosky Placed/Upgraded MiningDroid
[17:911] Frosky Placed/Upgraded AutoTurret
[18:092] Frosky Unlocked MotionSensor
[18:325] Frosky Placed/Upgraded SensorTower
[18:449] Frosky Placed/Upgraded SensorTower
[18:612] Frosky Placed/Upgraded SensorTower
[18:705] Frosky Placed/Upgraded SensorTower
[18:840] Frosky Placed/Upgraded SensorTower
[19:687] Frosky Placed/Upgraded SensorTower
[19:990] Frosky Placed/Upgraded AutoTurret
[20:166] Frosky Placed/Upgraded AutoTurret
[20:340] Frosky Placed/Upgraded HealingDrone
[20:673] Frosky Placed/Upgraded AutoTurret
[21:862] Frosky Placed/Upgraded AutoTurret
[22:232] Frosky Unlocked RechargeDrone
[22:688] Frosky Placed/Upgraded HealingDrone
[24:758] Frosky Unlocked HeavyTurret
[24:912] Frosky Placed/Upgraded AutoTurret
[25:266] Frosky Unlocked MiningCharge
[25:272] Frosky Unlocked AdvancedMiningCharge
[25:642] Frosky Placed/Upgraded NukePack
[25:940] Frosky Placed/Upgraded NukePack
[26:084] Frosky Unlocked QuantumBackpack
[26:100] Frosky Unlocked CombatShield
[26:347] Frosky Placed/Upgraded MiningDroid
[27:462] Frosky Placed/Upgraded AutoTurret
[28:205] Frosky Placed/Upgraded MiningDroid
[29:502] Frosky Placed/Upgraded AutoTurret
[29:929] Frosky Placed/Upgraded AutoTurret
[30:989] Frosky Unlocked BeamRifle
[31:008] Frosky Unlocked SpecOpsPlasmaRifle
[31:050] Frosky Unlocked LongRangeScope
[33:968] Frosky Placed/Upgraded HealingDrone
[34:367] Frosky Placed/Upgraded AutoTurret
[34:544] Frosky Placed/Upgraded AutoTurret
[35:266] Frosky Placed/Upgraded AutoTurret
[35:716] Frosky Placed/Upgraded AutoTurret
[36:487] Frosky Placed/Upgraded NukePack
[36:583] Frosky Placed/Upgraded NukePack
[36:914] Frosky Placed/Upgraded NukePack
[00:572] dazcros Unlocked AssaultRifle
[00:742] dazcros Placed/Upgraded MiningDroid
[01:171] dazcros Unlocked Stimpack
[03:733] dazcros Unlocked AdvancedDroidEngines
[05:890] dazcros Unlocked TurboDroidEngines
[06:847] dazcros Unlocked IncendiaryGrenade
[06:871] dazcros Unlocked SpecOpsIncendiaryGrenade
[07:788] dazcros Unlocked CombatSuit
