Analyzed: Oh No It's Zombies Arctic Map (278)

ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: CrzyZeo Race: Terran
ID : 3 PlayerName: DrLoaf Race: Zerg
ID : 4 PlayerName: Theda Race: Terran
ID : 5 PlayerName: Kocke Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
DrLoaf Zombie Win
Public Lobby

Game Length:[22:475]
Players ammount: 6
Marine rank avg: 0,8333333333333334
GrandMaster ammount: 1
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed/Upgraded MiningDroid
[00:827] Frosky Unlocked ArcWelder
[00:869] Frosky Unlocked BioMechanicalRepairDrone
[01:607] Frosky Unlocked CombatAccelerationDrone
[01:706] Frosky Placed/Upgraded HealingDrone
[01:843] Frosky Placed/Upgraded HealingDrone
[02:224] Frosky Placed/Upgraded HealingDrone
[03:099] Frosky Unlocked AdvancedDroidEngines
[03:155] Frosky Unlocked AIAssistant
[04:456] Frosky Unlocked TurboDroidEngines
[05:194] Frosky Unlocked AutoTurret
[05:354] Frosky Unlocked Stimpack
[05:648] Frosky Placed/Upgraded AutoTurret
[05:916] Frosky Unlocked FlameTurret
[06:071] Frosky Placed/Upgraded AutoTurret
[06:291] Frosky Placed/Upgraded AutoTurret
[06:988] Frosky Unlocked ExplorationDroid
[07:011] Frosky Placed/Upgraded ExplorationDroid
[07:036] Frosky Placed/Upgraded ExplorationDroid
[07:434] Frosky Placed/Upgraded AutoTurret
[07:473] Frosky Unlocked PsiDisrupter
[08:448] Frosky Placed/Upgraded PsiIndoctrinator
[08:884] Frosky Unlocked HazmatSuit
[08:891] Frosky Unlocked AdvancedHazmatSuit
[09:583] Frosky Placed/Upgraded AutoTurret
[10:264] Frosky Placed/Upgraded PsiIndoctrinator
[10:894] Frosky Placed/Upgraded AutoTurret
[10:961] Frosky Unlocked HeavyTurret
[11:253] Frosky Placed/Upgraded AutoTurret
[11:396] Frosky Placed/Upgraded AutoTurret
[12:034] Frosky Placed/Upgraded AutoTurret
[12:230] Frosky Placed/Upgraded AutoTurret
[13:365] Frosky Unlocked SpecOpsPsiDisruptor
[13:491] Frosky Placed/Upgraded AutoTurret
[13:556] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[13:633] Frosky Placed/Upgraded HealingDrone
[14:002] Frosky Placed/Upgraded HealingDrone
[14:339] Frosky Placed/Upgraded AutoTurret
[14:555] Frosky Unlocked QuantumBackpack
[14:562] Frosky Unlocked CombatShield
[14:878] Frosky Placed/Upgraded AutoTurret
[15:193] Frosky Placed/Upgraded AutoTurret
[15:272] Frosky Placed/Upgraded ExplorationDroid
[15:348] Frosky Placed/Upgraded AutoTurret
[15:759] Frosky Placed/Upgraded AutoTurret
[16:155] Frosky Placed/Upgraded HealingDrone
[16:942] Frosky Unlocked SpecOpsArcWelder
[17:749] Frosky Unlocked ArcWelderMod3
[18:735] Frosky Placed/Upgraded AutoTurret
[18:968] Frosky Placed/Upgraded PsiIndoctrinator
[19:432] Frosky Placed/Upgraded AutoTurret
[19:545] Frosky Placed/Upgraded ExplorationDroid
[00:572] CrzyZeo Unlocked AssaultRifle
[00:679] CrzyZeo Placed MiningDroid
[00:885] CrzyZeo Unlocked SpecOpsAssaultRifle
[02:321] CrzyZeo Unlocked AdvancedDroidEngines
