Analyzed: Oh No It's Zombies Arctic Map (28)

ID : 0 PlayerName: GreyWanderer Race: Terran
ID : 1 PlayerName: Zepherd Race: Zerg
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: Joebillybob Race: Terran
ID : 4 PlayerName: Jules Race: Terran
ID : 5 PlayerName: Snap Race: Terran
ID : 6 PlayerName: Renduras Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Zepherd Zombie Loss
Public Lobby

Game Length:[32:572]
Players ammount: 8
Marine rank avg: 11,166666666666666
GrandMaster ammount: 2
PURCHASES: 
[00:572] GreyWanderer Unlocked AssaultRifle
[00:715] GreyWanderer Placed MiningDroid
[00:791] GreyWanderer Unlocked Stimpack
[04:096] GreyWanderer Unlocked AdvancedDroidEngines
[06:457] GreyWanderer Unlocked MotionSensor
[06:559] GreyWanderer Placed SensorTower
[06:891] GreyWanderer Placed SensorTower
[07:922] GreyWanderer Unlocked Shotgun
[11:555] GreyWanderer Unlocked TurboDroidEngines
[14:145] GreyWanderer Unlocked Shieldsiotunlocked
[15:542] GreyWanderer Placed MiningDroid
[17:860] GreyWanderer Unlocked SpecOpsShotgun
[20:640] GreyWanderer Unlocked SuperStimpack
[20:732] GreyWanderer Unlocked BioMechanicalRepairDrone
[20:742] GreyWanderer Unlocked SpecOpsBioMechanicalRepairDrone
[20:996] GreyWanderer Placed HealingDrone
[21:581] GreyWanderer Placed HealingDrone
[22:282] GreyWanderer Placed HealingDrone
[00:568] Zepherd Bought PlayerNumber
[03:288] Zepherd Bought CreepSpeed
[07:835] Zepherd Spawned MassiveCocoon
[09:275] Zepherd Spawned InfestedAbomination
[11:577] Zepherd Bought CreepSpeed
[13:099] Zepherd Placed/Upgraded LesserNydusWorm
[13:100] Zepherd Bought GreaterNydus
[13:373] Zepherd Bought StrainVolatile
[13:726] Zepherd Placed/Upgraded PrimalSunkenColony
[13:727] Zepherd Bought SunkenColony
[13:764] Zepherd Bought SunkenColony
[13:989] Zepherd Bought GreaterNydus
[14:146] Zepherd Bought ShieldSuit
[14:146] Zepherd Bought CombatSuit
[14:146] Zepherd Bought HazmatSuit
[14:146] Zepherd Bought ShieldSuit
[15:639] Zepherd Bought BuildExtractorManufacturingSector
[15:639] Zepherd Placed/Upgraded AutomatedExtractor
[16:003] Zepherd Bought BuildExtractorExcavationZone
[16:003] Zepherd Placed/Upgraded AutomatedExtractor
[16:162] Zepherd Placed/Upgraded LesserNydusWorm
[16:163] Zepherd Bought GreaterNydus
[16:461] Zepherd Bought BuildExtractorExcavationZone
[16:525] Zepherd Bought ConstructiveCreep
[16:779] Zepherd Placed/Upgraded LesserNydusWorm
[16:780] Zepherd Bought GreaterNydus
[17:166] Zepherd Placed/Upgraded NydusCanalCreeper
[17:644] Zepherd Bought GreaterNydus
[17:840] Zepherd Bought GreaterNydus
[18:205] Zepherd Bought SunkenColony
[18:205] Zepherd Placed/Upgraded PrimalSunkenColony
[18:636] Zepherd Placed/Upgraded PrimalSunkenColony
[18:637] Zepherd Bought SunkenColony
[18:746] Zepherd Bought StrainHealth
[18:771] Zepherd Bought SunkenColony
[18:811] Zepherd Bought SunkenColony
[20:102] Zepherd Bought PureStrainVolatile
[20:144] Zepherd Bought KaboomerStrain
[20:537] Zepherd Bought PureStrainHealth
[21:041] Zepherd Placed/Upgraded LesserNydusWorm
[21:042] Zepherd Bought GreaterNydus
[21:168] Zepherd Bought TankStrain
[22:084] Zepherd Bought ExtractorCostReductionManufacturingSector
[22:084] Zepherd Bought BuildExtractorManufacturingSector
[22:162] Zepherd Bought BuildExtractorScienceLabs
[22:162] Zepherd Placed/Upgraded AutomatedExtractor
[22:233] Zepherd Placed/Upgraded LesserNydusWorm
[22:234] Zepherd Bought GreaterNydus
[23:006] Zepherd Placed/Upgraded PrimalSunkenColony
[23:007] Zepherd Bought SunkenColony
[23:677] Zepherd Bought DropshipsFueled
[23:911] Zepherd Bought SweepingInfestation
[23:911] Zepherd Bought UltimateInfestationResearched
[24:040] Zepherd Placed/Upgraded NydusCanalCreeper
[25:086] Zepherd Bought StrainSpeed
[25:217] Zepherd Bought StrainSpeed
[26:219] Zepherd Placed/Upgraded LesserNydusWorm
[26:220] Zepherd Bought GreaterNydus
[26:464] Zepherd Placed/Upgraded PrimalSunkenColony
[26:465] Zepherd Bought SunkenColony
[26:632] Zepherd Bought GreaterNydus
[26:701] Zepherd Bought SunkenColony
[26:990] Zepherd Bought BuildExtractorManufacturingSector
[26:990] Zepherd Placed/Upgraded AutomatedExtractor
[27:862] Zepherd Placed/Upgraded LesserNydusWorm
[27:863] Zepherd Bought GreaterNydus
[28:100] Zepherd Bought PureStrainSpeed
[28:109] Zepherd Bought HunterlingStrain
[28:296] Zepherd Bought StrainDamage
[28:573] Zepherd Placed/Upgraded NydusCanalCreeper
[28:601] Zepherd Bought SunkenColony
[28:922] Zepherd Placed/Upgraded NydusCanalCreeper
[29:471] Zepherd Placed/Upgraded NydusCanalCreeper
[31:062] Zepherd Bought PureStrainDamage
[31:078] Zepherd Bought PureStrainSpeed
[31:085] Zepherd Bought HunterlingStrain
[31:096] Zepherd Bought DefilerStrain
[31:281] Zepherd Bought SunkenColony
[31:281] Zepherd Placed/Upgraded PrimalSunkenColony
[00:572] Frosky Unlocked AssaultRifle
[00:765] Frosky Placed/Upgraded MiningDroid
[01:174] Frosky Unlocked Flamethrower
[02:379] Frosky Unlocked SpecOpsFlamethrower
[05:108] Frosky Unlocked AdvancedDroidEngines
[06:106] Frosky Unlocked BioMechanicalRepairDrone
[06:536] Frosky Placed/Upgraded HealingDrone
[06:883] Frosky Unlocked CombatShield
[09:644] Frosky Unlocked HazmatSuit
[09:652] Frosky Unlocked AdvancedHazmatSuit
[10:691] Frosky Placed/Upgraded HealingDrone
[11:314] Frosky Placed/Upgraded HealingDrone
[13:422] Frosky Unlocked ThermiteFilaments
[13:807] Frosky Placed/Upgraded HealingDrone
[17:761] Frosky Unlocked Stimpack
[18:228] Frosky Placed/Upgraded HealingDrone
[20:103] Frosky Placed/Upgraded HealingDrone
[24:595] Frosky Placed/Upgraded HealingDrone
[27:192] Frosky Placed/Upgraded HealingDrone
[28:263] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[29:235] Frosky Placed/Upgraded HealingDrone
[30:171] Frosky Placed/Upgraded HealingDrone
[30:897] Frosky Placed/Upgraded HealingDrone
[31:980] Frosky Placed/Upgraded HealingDrone
[00:572] Joebillybob Unlocked AssaultRifle
[00:651] Joebillybob Placed/Upgraded MiningDroid
[01:108] Joebillybob Unlocked AdvancedDroidEngines
[04:160] Joebillybob Unlocked TurboDroidEngines
[05:815] Joebillybob Unlocked MotionSensor
[06:265] Joebillybob Placed/Upgraded SensorTower
[06:487] Joebillybob Unlocked HellfireRocketLauncher
[07:816] Joebillybob Unlocked Stimpack
[09:645] Joebillybob Bought ShieldSuit
