Analyzed: Oh No It's Zombies Arctic Map (283)

ID : 0 PlayerName: Toxicpanda Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: Psinobious Race: Zerg
ID : 3 PlayerName: MstislavII Race: Terran
ID : 4 PlayerName: DictatorKue Race: Terran
ID : 5 PlayerName: Unknown Race: Terran
ID : 6 PlayerName: Moscowabunga Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Psinobious Zombie Loss
Public Lobby

Game Length:[40:880]
Players ammount: 8
Marine rank avg: 9,5
GrandMaster ammount: 2
PURCHASES: 
[00:572] Toxicpanda Unlocked AssaultRifle
[00:651] Toxicpanda Placed/Upgraded MiningDroid
[00:810] Toxicpanda Unlocked ArcWelder
[02:367] Toxicpanda Unlocked Stimpack
[03:889] Toxicpanda Unlocked AutoTurret
[03:905] Toxicpanda Unlocked FlameTurret
[04:026] Toxicpanda Placed/Upgraded AutoTurret
[04:943] Toxicpanda Placed/Upgraded AutoTurret
[05:888] Toxicpanda Unlocked BioMechanicalRepairDrone
[05:970] Toxicpanda Placed/Upgraded HealingDrone
[06:349] Toxicpanda Placed/Upgraded HealingDrone
[07:087] Toxicpanda Unlocked CombatAccelerationDrone
[07:115] Toxicpanda Placed/Upgraded HealingDrone
[07:247] Toxicpanda Placed/Upgraded HealingDrone
[07:539] Toxicpanda Placed/Upgraded HealingDrone
[08:399] Toxicpanda Unlocked ExplorationDroid
[08:409] Toxicpanda Placed/Upgraded ExplorationDroid
[08:412] Toxicpanda Placed/Upgraded ExplorationDroid
[08:475] Toxicpanda Placed/Upgraded ExplorationDroid
[10:313] Toxicpanda Unlocked PsiDisrupter
[10:359] Toxicpanda Unlocked QuantumBackpack
[10:474] Toxicpanda Placed/Upgraded PsiIndoctrinator
[10:666] Toxicpanda Placed/Upgraded AutoTurret
[12:556] Toxicpanda Placed/Upgraded AutoTurret
[12:756] Toxicpanda Unlocked SpecOpsPsiDisruptor
[12:897] Toxicpanda Placed/Upgraded ExplorationDroid
[13:574] Toxicpanda Placed/Upgraded HealingDrone
[13:935] Toxicpanda Placed/Upgraded HealingDrone
[15:233] Toxicpanda Placed/Upgraded PsiIndoctrinator
[15:890] Toxicpanda Placed/Upgraded PsiIndoctrinator
[16:933] Toxicpanda Unlocked SpecOpsTurret
[17:088] Toxicpanda Placed/Upgraded AutoTurret
[17:227] Toxicpanda Placed/Upgraded AutoTurret
[17:928] Toxicpanda Unlocked PsiDepressor
[21:830] Toxicpanda Unlocked HeavyTurret
[21:885] Toxicpanda Unlocked SpecOpsArcWelder
[22:529] Toxicpanda Placed/Upgraded AutoTurret
[22:654] Toxicpanda Unlocked RechargeDrone
[22:824] Toxicpanda Placed/Upgraded AutoTurret
[22:911] Toxicpanda Unlocked SpecOpsBioMechanicalRepairDrone
[23:273] Toxicpanda Placed/Upgraded HealingDrone
[23:829] Toxicpanda Placed/Upgraded AutoTurret
[24:195] Toxicpanda Placed/Upgraded AutoTurret
[24:331] Toxicpanda Placed/Upgraded AutoTurret
[24:424] Toxicpanda Placed/Upgraded AutoTurret
[24:764] Toxicpanda Placed/Upgraded AutoTurret
[25:501] Toxicpanda Placed/Upgraded AutoTurret
[26:191] Toxicpanda Placed/Upgraded AutoTurret
[26:470] Toxicpanda Placed/Upgraded AutoTurret
[26:637] Toxicpanda Unlocked MiningCharge
[26:697] Toxicpanda Unlocked AdvancedMiningCharge
[26:755] Toxicpanda Placed/Upgraded NukePack
[26:903] Toxicpanda Placed/Upgraded AutoTurret
[27:562] Toxicpanda Placed/Upgraded PsiIndoctrinator
[27:802] Toxicpanda Placed/Upgraded PsiIndoctrinator
[28:741] Toxicpanda Placed/Upgraded AutoTurret
[33:017] Toxicpanda Placed/Upgraded NukePack
[33:152] Toxicpanda Placed/Upgraded PsiIndoctrinator
[33:527] Toxicpanda Placed/Upgraded AutoTurret
[33:632] Toxicpanda Placed/Upgraded AutoTurret
[33:888] Toxicpanda Placed/Upgraded AutoTurret
[34:003] Toxicpanda Placed/Upgraded AutoTurret
[35:266] Toxicpanda Placed/Upgraded HealingDrone
[36:177] Toxicpanda Placed/Upgraded AutoTurret
[36:311] Toxicpanda Placed/Upgraded AutoTurret
[36:360] Toxicpanda Placed/Upgraded NukePack
[39:906] Toxicpanda Placed/Upgraded HealingDrone
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed MiningDroid
[00:705] Frosky Unlocked AdvancedDroidEngines
[03:163] Frosky Unlocked Stimpack
[05:331] Frosky Unlocked Flamethrower
[07:185] Frosky Unlocked SpecOpsFlamethrower
[08:846] Frosky Unlocked BioMechanicalRepairDrone
[09:969] Frosky Placed HealingDrone
[10:269] Frosky Unlocked CombatShield
[10:277] Frosky Unlocked AIAssistant
[11:150] Frosky Placed HealingDrone
[11:787] Frosky Unlocked HazmatSuit
[13:064] Frosky Unlocked AdvancedHazmatSuit
[13:541] Frosky Placed HealingDrone
[13:880] Frosky Placed HealingDrone
[14:452] Frosky Unlocked CryoFreeze
[14:531] Frosky Placed HealingDrone
[15:917] Frosky Unlocked ForceFieldGrenade
[15:926] Frosky Unlocked SpecOpsForcefieldGrenade
[16:064] Frosky Placed HealingDrone
[17:518] Frosky Unlocked Teleporter
[20:378] Frosky Placed HealingDrone
[20:656] Frosky Unlocked MiningCharge
[20:680] Frosky Unlocked AdvancedMiningCharge
[21:108] Frosky Placed HealingDrone
[25:302] Frosky Placed HealingDrone
[25:613] Frosky Placed HealingDrone
[25:918] Frosky Unlocked ExplorationDroid
[25:948] Frosky Placed ExplorationDroid
[26:124] Frosky Placed NukePack
[26:462] Frosky Placed HealingDrone
[26:667] Frosky Placed NukePack
[27:097] Frosky Placed HealingDrone
[27:710] Frosky Placed HealingDrone
[29:734] Frosky Placed NukePack
[30:625] Frosky Placed HealingDrone
[32:145] Frosky Placed NukePack
[32:922] Frosky Placed NukePack
[33:397] Frosky Placed HealingDrone
[34:318] Frosky Placed NukePack
[35:390] Frosky Placed HealingDrone
[35:769] Frosky Placed HealingDrone
[38:867] Frosky Placed NukePack
[39:584] Frosky Placed HealingDrone
[00:568] Psinobious Bought PlayerNumber
[01:165] Psinobious Placed/Upgraded PrimalSunkenColony
[01:166] Psinobious Bought SunkenColony
[03:216] Psinobious Bought StrainVolatile
[05:540] Psinobious Spawned MassiveCocoon
[06:241] Psinobious Bought SunkenColony
[06:327] Psinobious Bought VirulentCreep
[06:327] Psinobious Bought VirulentCreep
[06:979] Psinobious Spawned Anubalisk
[07:739] Psinobious Placed/Upgraded LocustNest
[08:073] Psinobious Placed/Upgraded NydusCanalCreeper
[08:796] Psinobious Bought RegenerativeCreep
[10:168] Psinobious Placed/Upgraded NydusCanalCreeper
[11:463] Psinobious Placed/Upgraded LesserNydusWorm
[11:464] Psinobious Bought GreaterNydus
[11:788] Psinobious Bought ShieldSuit
[11:788] Psinobious Bought CombatSuit
[11:788] Psinobious Bought HazmatSuit
[11:788] Psinobious Bought HazmatSuit
[13:065] Psinobious Bought HazmatSuit
[13:513] Psinobious Bought CreepSpeed
[14:920] Psinobious Bought BuildExtractorExcavationZone
[14:920] Psinobious Placed/Upgraded AutomatedExtractor
[15:050] Psinobious Placed/Upgraded LocustNest
[15:980] Psinobious Bought GreaterNydus
[17:357] Psinobious Placed/Upgraded LocustNest
[17:513] Psinobious Bought CreepSpeed
[17:692] Psinobious Placed/Upgraded NydusCanalCreeper
[18:466] Psinobious Bought AdvancedInfestationContainment
[19:750] Psinobious Placed/Upgraded NydusCanalCreeper
[20:514] Psinobious Bought UnlockDropPods
[20:517] Psinobious Bought EvolveDropPods
[20:518] Psinobious Bought EvolveDropPods
[21:437] Psinobious Bought SiphonFuel
[21:474] Psinobious Bought BuildExtractorProcessingFacilities
[21:474] Psinobious Placed/Upgraded AutomatedExtractor
[21:727] Psinobious Placed/Upgraded LocustNest
[23:543] Psinobious Placed/Upgraded LesserNydusWorm
[23:544] Psinobious Bought GreaterNydus
[24:415] Psinobious Bought SiphonFuel
[24:509] Psinobious Bought StrainDamage
[24:516] Psinobious Bought PureStrainDamage
[25:679] Psinobious Placed/Upgraded NydusCanalCreeper
[27:688] Psinobious Bought SiphonFuel
[27:813] Psinobious Spawned MassiveCocoon
[28:631] Psinobious Bought DefilerStrain
[28:774] Psinobious Bought EvolveDropPods
[29:172] Psinobious Placed/Upgraded Virophage
[29:253] Psinobious Spawned Hunter
[29:819] Psinobious Bought ExtractorCostReductionProcessingFacilities
[29:819] Psinobious Bought BuildExtractorProcessingFacilities
[31:300] Psinobious Bought DropshipsFueled
[31:700] Psinobious Bought UltimateInfestationResearched
[32:009] Psinobious Bought GreaterNydus
[32:471] Psinobious Bought GreaterNydus
[32:790] Psinobious Bought GreaterNydus
[33:116] Psinobious Bought GreaterNydus
[33:498] Psinobious Bought GreaterNydus
[33:828] Psinobious Bought GreaterNydus
[34:038] Psinobious Bought GreaterNydus
[34:898] Psinobious Bought GreaterNydus
[35:578] Psinobious Bought StrainSpeed
[35:584] Psinobious Bought PureStrainSpeed
[35:592] Psinobious Bought HunterlingStrain
[35:602] Psinobious Bought StrainSpeed
[35:608] Psinobious Bought PureStrainSpeed
[35:612] Psinobious Bought GreaterNydus
[35:615] Psinobious Bought HunterlingStrain
[35:634] Psinobious Bought PureStrainVolatile
[35:641] Psinobious Bought KaboomerStrain
[35:667] Psinobious Bought StrainVolatile
[35:680] Psinobious Bought PureStrainVolatile
[36:604] Psinobious Bought GreaterNydus
[37:687] Psinobious Bought GreaterNydus
[38:165] Psinobious Bought SpawnNydusWorm
[38:197] Psinobious Placed/Upgraded GreaterNydusWorm
[39:538] Psinobious Bought GreaterNydus
[00:572] MstislavII Unlocked AssaultRifle
[00:667] MstislavII Placed/Upgraded MiningDroid
[01:384] MstislavII Unlocked AdvancedDroidEngines
[03:795] MstislavII Unlocked TurboDroidEngines
[05:351] MstislavII Unlocked BeamRifle
[07:289] MstislavII Unlocked SpecOpsPlasmaRifle
[08:757] MstislavII Unlocked CombatSuit
[09:370] MstislavII Unlocked PsiDisrupter
[10:134] MstislavII Placed/Upgraded PsiIndoctrinator
