Analyzed: Oh No It's Zombies Arctic Map (284)

ID : 0 PlayerName: Toxicpanda Race: Zerg
ID : 1 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: 
Toxicpanda Zombie Loss
Public Lobby

Game Length:[51:233]
Players ammount: 3
Marine rank avg: 4,166666666666667
GrandMaster ammount: 2
PURCHASES: 
[01:911] Toxicpanda Placed/Upgraded NydusCanalCreeper
[02:168] Toxicpanda Bought SunkenColony
[02:168] Toxicpanda Placed/Upgraded PrimalSunkenColony
[02:716] Toxicpanda Placed/Upgraded NydusCanalCreeper
[03:415] Toxicpanda Placed/Upgraded NydusCanalCreeper
[05:032] Toxicpanda Placed/Upgraded NydusCanalCreeper
[05:273] Toxicpanda Spawned MassiveCocoon
[06:713] Toxicpanda Spawned Anubalisk
[07:397] Toxicpanda Spawned MassiveCocoon
[08:253] Toxicpanda Placed/Upgraded NydusCanalCreeper
[08:459] Toxicpanda Bought SunkenColony
[08:477] Toxicpanda Spawned Underseer
[08:501] Toxicpanda Bought SunkenColony
[08:501] Toxicpanda Placed/Upgraded PrimalSunkenColony
[08:934] Toxicpanda Placed/Upgraded NydusCanalCreeper
[09:636] Toxicpanda Bought SunkenColony
[09:757] Toxicpanda Bought SunkenColony
[09:757] Toxicpanda Placed/Upgraded PrimalSunkenColony
[10:005] Toxicpanda Placed/Upgraded LocustNest
[10:245] Toxicpanda Placed/Upgraded LocustNest
[11:003] Toxicpanda Placed/Upgraded PrimalSunkenColony
[11:004] Toxicpanda Bought SunkenColony
[11:128] Toxicpanda Bought SunkenColony
[11:705] Toxicpanda Placed/Upgraded PrimalSunkenColony
[11:706] Toxicpanda Bought SunkenColony
[11:946] Toxicpanda Placed/Upgraded LocustNest
[12:186] Toxicpanda Bought GreaterNydus
[12:186] Toxicpanda Placed/Upgraded LesserNydusWorm
[12:426] Toxicpanda Placed/Upgraded NydusCanalCreeper
[13:338] Toxicpanda Bought SunkenColony
[13:338] Toxicpanda Placed/Upgraded PrimalSunkenColony
[13:664] Toxicpanda Bought SunkenColony
[15:988] Toxicpanda Bought GreaterNydus
