Analyzed: Oh No It's Zombies Arctic Map (285)

ID : 0 PlayerName: BurtMacklin Race: Terran
ID : 1 PlayerName: Ahanax Race: Terran
ID : 2 PlayerName: Cruel Race: Terran
ID : 3 PlayerName: Frosky Race: Zerg
ID : 4 PlayerName: MarFly Race: Terran
ID : 5 PlayerName: dathong Race: Terran
ID : 6 PlayerName: ArrImapirate Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Frosky Zombie Loss
Private Lobby

Game Length:[41:454]
Players ammount: 8
Marine rank avg: 15,5
GrandMaster ammount: 6
PURCHASES: 
[00:572] BurtMacklin Unlocked AssaultRifle
[00:733] BurtMacklin Placed/Upgraded MiningDroid
[00:803] BurtMacklin Unlocked FragGrenade
[03:017] BurtMacklin Unlocked Stimpack
[05:847] BurtMacklin Unlocked BeamRifle
[08:030] BurtMacklin Unlocked SpecOpsPlasmaRifle
[08:544] BurtMacklin Placed/Upgraded MiningDroid
[10:613] BurtMacklin Unlocked SuperStimpack
[12:206] BurtMacklin Unlocked MiningCharge
[14:811] BurtMacklin Unlocked SpecOpsFragGrenade
[14:849] BurtMacklin Unlocked EnergySuit
[14:850] BurtMacklin Unlocked EnergySuit
[19:651] BurtMacklin Placed/Upgraded NukePack
[25:819] BurtMacklin Placed/Upgraded MiningDroid
[27:348] BurtMacklin Unlocked AdvancedEnergySuit
[27:349] BurtMacklin Unlocked EnergySuit
[27:349] BurtMacklin Unlocked AdvancedEnergySuit
[27:418] BurtMacklin Unlocked MedicShield
[29:097] BurtMacklin Unlocked AutoTurret
[29:141] BurtMacklin Placed/Upgraded AutoTurret
[29:314] BurtMacklin Placed/Upgraded AutoTurret
[29:526] BurtMacklin Placed/Upgraded AutoTurret
[30:461] BurtMacklin Unlocked SpecOpsSuperStimpack
[30:948] BurtMacklin Placed/Upgraded NukePack
[31:006] BurtMacklin Placed/Upgraded AutoTurret
[31:257] BurtMacklin Placed/Upgraded AutoTurret
[31:450] BurtMacklin Placed/Upgraded AutoTurret
[33:209] BurtMacklin Placed/Upgraded AutoTurret
[33:388] BurtMacklin Placed/Upgraded AutoTurret
[33:736] BurtMacklin Unlocked QuantumBackpack
[34:225] BurtMacklin Unlocked ForceFieldGrenade
[34:230] BurtMacklin Unlocked SpecOpsForcefieldGrenade
[34:777] BurtMacklin Unlocked PlasmaRifleMod3
[35:442] BurtMacklin Placed/Upgraded NukePack
[36:987] BurtMacklin Placed/Upgraded NukePack
[37:995] BurtMacklin Placed/Upgraded NukePack
[38:856] BurtMacklin Placed/Upgraded NukePack
[00:572] Ahanax Unlocked AssaultRifle
[00:727] Ahanax Placed/Upgraded MiningDroid
[00:817] Ahanax Unlocked AdvancedDroidEngines
[02:917] Ahanax Unlocked Flamethrower
[05:138] Ahanax Unlocked ExplorationDroid
[05:169] Ahanax Placed/Upgraded ExplorationDroid
[05:176] Ahanax Placed/Upgraded ExplorationDroid
[06:081] Ahanax Unlocked SpecOpsFlamethrower
[06:923] Ahanax Unlocked LongRangeIncinerators
[07:492] Ahanax Placed/Upgraded ExplorationDroid
[09:251] Ahanax Placed/Upgraded ExplorationDroid
[09:403] Ahanax Unlocked Stimpack
[10:391] Ahanax Unlocked BioMechanicalRepairDrone
[10:514] Ahanax Placed/Upgraded HealingDrone
[10:814] Ahanax Placed/Upgraded HealingDrone
[12:039] Ahanax Placed/Upgraded HealingDrone
[13:035] Ahanax Unlocked AutoTurret
[13:058] Ahanax Unlocked SpecOpsTurret
[13:154] Ahanax Placed/Upgraded AutoTurret
[13:688] Ahanax Placed/Upgraded AutoTurret
[14:577] Ahanax Placed/Upgraded AutoTurret
[14:850] Ahanax Bought ShieldSuit
[14:850] Ahanax Bought CombatSuit
[14:850] Ahanax Bought HazmatSuit
[15:125] Ahanax Placed/Upgraded AutoTurret
[18:953] Ahanax Unlocked HazmatSuit
[19:696] Ahanax Unlocked AdvancedHazmatSuit
[20:673] Ahanax Placed/Upgraded AutoTurret
[21:581] Ahanax Placed/Upgraded HealingDrone
[22:636] Ahanax Placed/Upgraded HealingDrone
[23:108] Ahanax Placed/Upgraded HealingDrone
[24:089] Ahanax Unlocked FlameTurret
[24:138] Ahanax Unlocked FragGrenade
[24:146] Ahanax Unlocked SpecOpsFragGrenade
[24:289] Ahanax Placed/Upgraded AutoTurret
[24:553] Ahanax Placed/Upgraded AutoTurret
[25:046] Ahanax Placed/Upgraded HealingDrone
[26:317] Ahanax Placed/Upgraded HealingDrone
[26:501] Ahanax Placed/Upgraded HealingDrone
[27:843] Ahanax Placed/Upgraded AutoTurret
[28:024] Ahanax Placed/Upgraded AutoTurret
[28:212] Ahanax Placed/Upgraded AutoTurret
[28:280] Ahanax Unlocked SpecOpsBioMechanicalRepairDrone
[28:289] Ahanax Unlocked RechargeDrone
[28:397] Ahanax Placed/Upgraded HealingDrone
[28:597] Ahanax Placed/Upgraded HealingDrone
[28:776] Ahanax Placed/Upgraded HealingDrone
[29:175] Ahanax Placed/Upgraded AutoTurret
[30:478] Ahanax Placed/Upgraded AutoTurret
[30:738] Ahanax Placed/Upgraded HealingDrone
[30:912] Ahanax Placed/Upgraded HealingDrone
[32:189] Ahanax Placed/Upgraded HealingDrone
[33:568] Ahanax Placed/Upgraded AutoTurret
[33:796] Ahanax Placed/Upgraded AutoTurret
[33:985] Ahanax Placed/Upgraded AutoTurret
[34:103] Ahanax Unlocked PowerConverter
[34:112] Ahanax Unlocked SpecOpsPowerConverter
[34:342] Ahanax Placed/Upgraded AutoTurret
[34:588] Ahanax Placed/Upgraded AutoTurret
[34:780] Ahanax Unlocked CombatShield
[34:892] Ahanax Placed/Upgraded HealingDrone
[35:164] Ahanax Placed/Upgraded HealingDrone
[35:832] Ahanax Placed/Upgraded HealingDrone
[36:271] Ahanax Placed/Upgraded AutoTurret
[36:573] Ahanax Placed/Upgraded AutoTurret
[37:214] Ahanax Placed/Upgraded HealingDrone
[38:159] Ahanax Unlocked QuantumBackpack
[38:620] Ahanax Placed/Upgraded HealingDrone
[39:801] Ahanax Placed/Upgraded HealingDrone
[40:072] Ahanax Placed/Upgraded HealingDrone
[00:572] Cruel Unlocked AssaultRifle
[00:651] Cruel Placed MiningDroid
[00:813] Cruel Unlocked ArcWelder
[01:560] Cruel Unlocked BioMechanicalRepairDrone
[01:567] Cruel Unlocked CombatAccelerationDrone
[02:877] Cruel Placed HealingDrone
[03:007] Cruel Placed HealingDrone
[03:136] Cruel Placed HealingDrone
[03:778] Cruel Placed HealingDrone
[05:176] Cruel Unlocked Stimpack
[05:836] Cruel Unlocked AdvancedDroidEngines
[07:050] Cruel Unlocked PsiDisrupter
[07:150] Cruel Placed PsiIndoctrinator
[07:765] Cruel Unlocked MotionSensor
[07:963] Cruel Placed SensorTower
[08:059] Cruel Placed SensorTower
[09:015] Cruel Unlocked SpecOpsPsiDisruptor
[09:048] Cruel Unlocked MiningCharge
[09:274] Cruel Placed NukePack
[10:061] Cruel Placed PsiIndoctrinator
[11:512] Cruel Placed HealingDrone
[11:682] Cruel Placed HealingDrone
[12:028] Cruel Unlocked AdvancedMotionSensor
[12:264] Cruel Placed SensorTower
[12:330] Cruel Placed SensorTower
[12:500] Cruel Placed SensorTower
[12:718] Cruel Placed SensorTower
[12:794] Cruel Placed SensorTower
[13:448] Cruel Placed SensorTower
[14:514] Cruel Placed PsiIndoctrinator
[14:698] Cruel Placed HealingDrone
[15:464] Cruel Unlocked ForceFieldGrenade
[16:799] Cruel Unlocked TurboDroidEngines
[18:306] Cruel Placed NukePack
[18:361] Cruel Unlocked ExplorationDroid
[18:389] Cruel Placed ExplorationDroid
[18:399] Cruel Placed ExplorationDroid
[18:616] Cruel Placed ExplorationDroid
[18:954] Cruel Bought ShieldSuit
[18:954] Cruel Bought CombatSuit
[18:954] Cruel Bought HazmatSuit
[18:954] Cruel Bought HazmatSuit
[19:697] Cruel Bought HazmatSuit
[20:269] Cruel Placed NukePack
[20:585] Cruel Unlocked AutoTurret
[20:597] Cruel Unlocked HeavyTurret
[20:794] Cruel Placed AutoTurret
[21:036] Cruel Placed AutoTurret
[21:165] Cruel Placed AutoTurret
[22:036] Cruel Unlocked BeamRifle
[23:499] Cruel Placed NukePack
[23:797] Cruel Unlocked FragGrenade
[23:804] Cruel Unlocked SpecOpsFragGrenade
[25:239] Cruel Placed AutoTurret
[25:426] Cruel Placed AutoTurret
[25:558] Cruel Placed AutoTurret
[29:506] Cruel Placed NukePack
[30:925] Cruel Unlocked SpecOpsPlasmaRifle
[30:971] Cruel Unlocked LongRangeScope
[32:541] Cruel Unlocked HazmatSuit
[32:547] Cruel Unlocked AdvancedHazmatSuit
[34:252] Cruel Placed PsiIndoctrinator
[35:274] Cruel Placed NukePack
[35:324] Cruel Unlocked PsiDepressor
[35:470] Cruel Placed NukePack
[35:885] Cruel Placed NukePack
[36:111] Cruel Placed AutoTurret
[36:283] Cruel Placed AutoTurret
[36:378] Cruel Placed SensorTower
[36:385] Cruel Placed SensorTower
[36:470] Cruel Placed AutoTurret
[36:840] Cruel Placed AutoTurret
[37:168] Cruel Unlocked SpecOpsBioMechanicalRepairDrone
[37:328] Cruel Placed HealingDrone
[37:667] Cruel Placed HealingDrone
[37:833] Cruel Placed HealingDrone
[37:897] Cruel Placed SensorTower
[37:907] Cruel Placed SensorTower
[38:050] Cruel Placed HealingDrone
[00:568] Frosky Bought PlayerNumber
[00:669] Frosky Spawned MassiveCocoon
[01:007] Frosky Placed/Upgraded NydusCanalCreeper
[02:109] Frosky Spawned Hunter
[02:115] Frosky Placed/Upgraded LocustNest
[03:584] Frosky Placed/Upgraded PrimalSunkenColony
[03:585] Frosky Bought SunkenColony
[03:939] Frosky Placed/Upgraded LocustNest
[04:193] Frosky Placed/Upgraded PrimalSunkenColony
[04:194] Frosky Bought SunkenColony
[05:816] Frosky Placed/Upgraded NydusCanalCreeper
[06:972] Frosky Bought VirulentCreep
[06:972] Frosky Bought VirulentCreep
[07:791] Frosky Bought SunkenColony
[08:137] Frosky Bought SunkenColony
[08:799] Frosky Placed/Upgraded PrimalSunkenColony
[08:800] Frosky Bought SunkenColony
[09:039] Frosky Bought SunkenColony
[09:039] Frosky Placed/Upgraded PrimalSunkenColony
[10:209] Frosky Bought SunkenColony
[10:242] Frosky Bought CreepSpeed
[10:552] Frosky Bought SunkenColony
[12:006] Frosky Placed/Upgraded PrimalSunkenColony
[12:007] Frosky Bought SunkenColony
