Analyzed: Oh No It's Zombies Arctic Map (291)

ID : 0 PlayerName: Toxicpanda Race: Zerg
ID : 1 PlayerName: SAPA Race: Terran
ID : 2 PlayerName: gujiu Race: Terran
ID : 3 PlayerName: DeATH Race: Terran
ID : 4 PlayerName: PartimeHero Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: AICOB Race: Terran
ID : 7 PlayerName: Security Race: 
Toxicpanda Zombie Loss
Public Lobby

Game Length:[38:902]
Players ammount: 8
Marine rank avg: 11,666666666666666
GrandMaster ammount: 3
PURCHASES: 
[02:020] Toxicpanda Bought UnlockDropPods
[04:245] Toxicpanda Bought StrainHealth
[06:569] Toxicpanda Bought EvolveDropPods
[07:393] Toxicpanda Spawned MassiveCocoon
[08:473] Toxicpanda Spawned Underseer
[10:074] Toxicpanda Placed/Upgraded NydusCanalCreeper
[10:972] Toxicpanda Bought SpawnNydusWorm
[11:164] Toxicpanda Placed/Upgraded GreaterNydusWorm
[12:855] Toxicpanda Bought StrainVolatile
[17:902] Toxicpanda Placed/Upgraded GreaterNydusWorm
[18:099] Toxicpanda Bought CreepSpeed
[18:675] Toxicpanda Bought EvolveDropPods
[20:080] Toxicpanda Placed/Upgraded LesserNydusWorm
[20:081] Toxicpanda Bought GreaterNydus
[20:655] Toxicpanda Bought EvolveDropPods
[21:254] Toxicpanda Bought SiphonFuel
[21:591] Toxicpanda Bought GreaterNydus
[24:317] Toxicpanda Bought SiphonFuel
[24:711] Toxicpanda Placed/Upgraded GreaterNydusWorm
[25:838] Toxicpanda Placed/Upgraded LesserNydusWorm
[25:839] Toxicpanda Bought GreaterNydus
[26:164] Toxicpanda Bought GreaterNydus
[26:815] Toxicpanda Bought StrainHealth
[26:815] Toxicpanda Bought StrainVolatile
[27:681] Toxicpanda Bought SiphonFuel
[28:153] Toxicpanda Spawned MassiveCocoon
[28:410] Toxicpanda Bought StrainHealth
[28:974] Toxicpanda Bought EvolveDropPods
[29:233] Toxicpanda Spawned Underseer
[30:145] Toxicpanda Bought DropshipsFueled
[31:465] Toxicpanda Placed/Upgraded GreaterNydusWorm
[31:930] Toxicpanda Bought AdvancedPowerInfestation
[32:555] Toxicpanda Bought EvolveDropPods
[32:559] Toxicpanda Bought EvolveDropPods
[33:045] Toxicpanda Placed/Upgraded LesserNydusWorm
[33:046] Toxicpanda Bought GreaterNydus
[33:111] Toxicpanda Bought SweepingInfestation
[33:111] Toxicpanda Bought UltimateInfestationResearched
[33:243] Toxicpanda Bought VirulentCreep
[34:276] Toxicpanda Placed/Upgraded NydusCanalCreeper
[35:053] Toxicpanda Bought AdvancedInfestationContainment
[35:532] Toxicpanda Bought ConstructiveCreep
[36:121] Toxicpanda Placed/Upgraded LesserNydusWorm
[36:122] Toxicpanda Bought GreaterNydus
[36:839] Toxicpanda Placed/Upgraded LesserNydusWorm
[36:840] Toxicpanda Bought GreaterNydus
[38:660] Toxicpanda Placed/Upgraded GreaterNydusWorm
[00:572] SAPA Unlocked AssaultRifle
[00:730] SAPA Placed/Upgraded MiningDroid
[00:784] SAPA Unlocked AdvancedDroidEngines
[01:590] SAPA Unlocked FragGrenade
[03:577] SAPA Unlocked Stimpack
[04:866] SAPA Unlocked SpecOpsFragGrenade
[08:037] SAPA Unlocked TurboDroidEngines
[08:140] SAPA Unlocked MedicShield
[09:146] SAPA Unlocked BioMechanicalRepairDrone
[10:125] SAPA Unlocked Flamethrower
[10:984] SAPA Placed/Upgraded HealingDrone
[12:638] SAPA Unlocked SpecOpsFlamethrower
