Analyzed: Oh No It's Zombies Arctic Map (292)

ID : 0 PlayerName: Toxicpanda Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: gujiu Race: Terran
ID : 3 PlayerName: AICOB Race: Zerg
ID : 4 PlayerName: DeATH Race: Terran
ID : 5 PlayerName: Krispy Race: Terran
ID : 6 PlayerName: RedReaperz Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
AICOB Zombie Loss
Public Lobby

Game Length:[40:164]
Players ammount: 8
Marine rank avg: 13,166666666666666
GrandMaster ammount: 3
PURCHASES: 
[00:572] Toxicpanda Unlocked AssaultRifle
[00:651] Toxicpanda Placed/Upgraded MiningDroid
[01:537] Toxicpanda Unlocked ArcWelder
[05:606] Toxicpanda Unlocked Stimpack
[27:313] Toxicpanda Unlocked SpecOpsArcWelder
[27:373] Toxicpanda Unlocked FlashBang
[27:376] Toxicpanda Unlocked SpecOpsFlashbang
[27:404] Toxicpanda Unlocked AutoTurret
[27:414] Toxicpanda Unlocked FlameTurret
[27:425] Toxicpanda Unlocked HeavyTurret
[27:432] Toxicpanda Unlocked SpecOpsTurret
[27:458] Toxicpanda Unlocked EnergySuit
[27:459] Toxicpanda Unlocked EnergySuit
[27:463] Toxicpanda Unlocked AdvancedEnergySuit
[27:464] Toxicpanda Unlocked EnergySuit
[27:464] Toxicpanda Unlocked AdvancedEnergySuit
[27:746] Toxicpanda Placed/Upgraded AutoTurret
[28:054] Toxicpanda Placed/Upgraded AutoTurret
[28:152] Toxicpanda Placed/Upgraded AutoTurret
[28:262] Toxicpanda Unlocked QuantumBackpack
[28:293] Toxicpanda Unlocked MedicShield
[28:361] Toxicpanda Placed/Upgraded AutoTurret
[28:464] Toxicpanda Placed/Upgraded AutoTurret
[30:230] Toxicpanda Placed/Upgraded AutoTurret
[30:354] Toxicpanda Placed/Upgraded AutoTurret
[30:473] Toxicpanda Placed/Upgraded AutoTurret
[30:574] Toxicpanda Placed/Upgraded AutoTurret
[30:665] Toxicpanda Placed/Upgraded AutoTurret
[30:709] Toxicpanda Unlocked MiningCharge
[30:713] Toxicpanda Unlocked AdvancedMiningCharge
[30:742] Toxicpanda Placed/Upgraded NukePack
[30:784] Toxicpanda Placed/Upgraded NukePack
[30:804] Toxicpanda Unlocked PsiDisrupter
[30:876] Toxicpanda Placed/Upgraded PsiIndoctrinator
[30:969] Toxicpanda Unlocked ArcWelderMod3
[31:263] Toxicpanda Placed/Upgraded AutoTurret
[31:784] Toxicpanda Placed/Upgraded PsiIndoctrinator
[31:955] Toxicpanda Placed/Upgraded PsiIndoctrinator
[31:987] Toxicpanda Unlocked MotionSensor
[32:055] Toxicpanda Placed/Upgraded SensorTower
[32:102] Toxicpanda Placed/Upgraded SensorTower
[32:109] Toxicpanda Placed/Upgraded SensorTower
[32:137] Toxicpanda Placed/Upgraded SensorTower
[32:294] Toxicpanda Placed/Upgraded SensorTower
[32:294] Toxicpanda Placed/Upgraded SensorTower
[32:467] Toxicpanda Placed/Upgraded SensorTower
[32:575] Toxicpanda Placed/Upgraded SensorTower
[33:314] Toxicpanda Placed/Upgraded NukePack
[33:427] Toxicpanda Placed/Upgraded AutoTurret
[33:533] Toxicpanda Placed/Upgraded AutoTurret
[33:632] Toxicpanda Placed/Upgraded AutoTurret
[33:742] Toxicpanda Placed/Upgraded AutoTurret
[33:847] Toxicpanda Placed/Upgraded AutoTurret
[34:404] Toxicpanda Placed/Upgraded AutoTurret
[36:823] Toxicpanda Placed/Upgraded AutoTurret
[36:943] Toxicpanda Placed/Upgraded AutoTurret
[38:865] Toxicpanda Placed/Upgraded NukePack
[00:572] Frosky Unlocked AssaultRifle
[01:741] Frosky Unlocked ArcWelder
[02:501] Frosky Unlocked BioMechanicalRepairDrone
[04:056] Frosky Placed/Upgraded MiningDroid
[04:145] Frosky Unlocked CombatAccelerationDrone
[04:709] Frosky Placed/Upgraded HealingDrone
[05:229] Frosky Placed/Upgraded HealingDrone
[05:366] Frosky Placed/Upgraded HealingDrone
[06:075] Frosky Unlocked PsiDisrupter
[07:010] Frosky Placed/Upgraded PsiIndoctrinator
[07:877] Frosky Unlocked Stimpack
[08:966] Frosky Placed/Upgraded PsiIndoctrinator
[09:716] Frosky Unlocked AdvancedDroidEngines
[10:147] Frosky Placed/Upgraded PsiIndoctrinator
[11:125] Frosky Unlocked SpecOpsPsiDisruptor
[13:333] Frosky Unlocked AutoTurret
[13:346] Frosky Unlocked FlameTurret
[13:509] Frosky Placed/Upgraded AutoTurret
[14:250] Frosky Placed/Upgraded HealingDrone
[14:706] Frosky Placed/Upgraded AutoTurret
[16:040] Frosky Placed/Upgraded PsiIndoctrinator
[16:295] Frosky Placed/Upgraded AutoTurret
[17:156] Frosky Unlocked HeavyTurret
[17:371] Frosky Placed/Upgraded AutoTurret
[17:858] Frosky Placed/Upgraded AutoTurret
[18:306] Frosky Placed/Upgraded AutoTurret
[19:918] Frosky Placed/Upgraded AutoTurret
[20:179] Frosky Placed/Upgraded AutoTurret
[21:447] Frosky Placed/Upgraded AutoTurret
[21:812] Frosky Placed/Upgraded AutoTurret
[23:639] Frosky Placed/Upgraded PsiIndoctrinator
[23:936] Frosky Placed/Upgraded AutoTurret
[24:810] Frosky Unlocked HazmatSuit
[25:882] Frosky Unlocked ExplorationDroid
[25:899] Frosky Placed/Upgraded ExplorationDroid
[26:884] Frosky Placed/Upgraded AutoTurret
[27:459] Frosky Bought ShieldSuit
[27:459] Frosky Bought CombatSuit
[27:459] Frosky Bought HazmatSuit
[30:472] Frosky Placed/Upgraded AutoTurret
[30:921] Frosky Placed/Upgraded AutoTurret
[31:277] Frosky Placed/Upgraded AutoTurret
[33:039] Frosky Placed/Upgraded AutoTurret
[34:029] Frosky Placed/Upgraded ExplorationDroid
[34:553] Frosky Placed/Upgraded AutoTurret
[37:072] Frosky Unlocked MiningCharge
[00:572] gujiu Unlocked AssaultRifle
[00:696] gujiu Placed MiningDroid
[02:284] gujiu Unlocked AdvancedDroidEngines
[04:154] gujiu Unlocked FragGrenade
[07:831] gujiu Placed MiningDroid
[10:630] gujiu Unlocked Stimpack
[11:826] gujiu Unlocked MedicShield
[11:860] gujiu Unlocked AIAssistant
[13:137] gujiu Unlocked SpecOpsFragGrenade
[16:956] gujiu Unlocked TurboDroidEngines
[19:118] gujiu Unlocked Shieldsiotunlocked
[19:133] gujiu Unlocked AdvancedShieldSuit
[20:278] gujiu Unlocked Flamethrower
[22:294] gujiu Unlocked SpecOpsFlamethrower
[22:325] gujiu Unlocked ThermiteFilaments
[23:886] gujiu Unlocked BioMechanicalRepairDrone
[24:110] gujiu Placed HealingDrone
[24:559] gujiu Placed HealingDrone
[24:811] gujiu Bought ShieldSuit
[24:811] gujiu Bought CombatSuit
[24:811] gujiu Bought HazmatSuit
[24:811] gujiu Bought HazmatSuit
[28:917] gujiu Placed HealingDrone
[31:945] gujiu Unlocked SpecOpsBioMechanicalRepairDrone
[31:967] gujiu Unlocked RechargeDrone
[32:074] gujiu Placed HealingDrone
[32:466] gujiu Placed HealingDrone
[33:096] gujiu Placed HealingDrone
[33:482] gujiu Placed HealingDrone
[34:570] gujiu Placed HealingDrone
[36:326] gujiu Placed HealingDrone
[36:808] gujiu Placed HealingDrone
[37:458] gujiu Placed HealingDrone
[00:568] AICOB Bought PlayerNumber
[00:770] AICOB Spawned MassiveCocoon
[02:210] AICOB Spawned InfestedAbomination
[02:789] AICOB Bought StrainHealth
[03:861] AICOB Spawned MassiveCocoon
[03:909] AICOB Spawned MassiveCocoon
[04:941] AICOB Spawned Underseer
[05:349] AICOB Spawned InfestedAbomination
[05:755] AICOB Bought StrainHealth
[06:674] AICOB Bought StrainHealth
[07:915] AICOB Placed/Upgraded LesserNydusWorm
[07:916] AICOB Bought GreaterNydus
[08:706] AICOB Spawned MassiveCocoon
[09:532] AICOB Bought BuildExtractorScienceLabs
[09:532] AICOB Placed/Upgraded AutomatedExtractor
[10:094] AICOB Bought UnlockDropPods
[10:146] AICOB Spawned Anubalisk
[10:937] AICOB Bought StrainVolatile
[11:658] AICOB Bought SiphonFuel
[12:539] AICOB Spawned MassiveCocoon
[13:979] AICOB Spawned InfestedAbomination
[14:395] AICOB Bought EvolveDropPods
[14:578] AICOB Bought SiphonFuel
[15:764] AICOB Bought CreepSpeed
[16:639] AICOB Bought BuildExtractorProcessingFacilities
[16:639] AICOB Placed/Upgraded AutomatedExtractor
[17:736] AICOB Bought SiphonFuel
[18:922] AICOB Bought AdvancedInfestationContainment
[18:980] AICOB Bought BuildExtractorExcavationZone
[18:980] AICOB Placed/Upgraded AutomatedExtractor
[19:119] AICOB Bought ShieldSuit
[19:119] AICOB Bought CombatSuit
[19:119] AICOB Bought HazmatSuit
[19:119] AICOB Bought ShieldSuit
[19:134] AICOB Bought ShieldSuit
[20:785] AICOB Bought SiphonFuel
[20:841] AICOB Bought StrainHealth
[20:852] AICOB Bought PureStrainHealth
[21:337] AICOB Bought PureStrainHealth
[22:656] AICOB Bought SpawnNydusWorm
[23:002] AICOB Placed/Upgraded GreaterNydusWorm
[24:003] AICOB Bought SiphonFuel
[24:406] AICOB Bought CreepSpeed
[26:475] AICOB Placed/Upgraded LesserNydusWorm
[26:476] AICOB Bought GreaterNydus
[26:545] AICOB Bought VirulentCreep
[26:545] AICOB Bought VirulentCreep
[26:737] AICOB Bought RegenerativeCreep
[26:882] AICOB Bought GreaterNydus
[27:877] AICOB Bought SiphonFuel
[27:995] AICOB Bought EvolveDropPods
[28:009] AICOB Bought EvolveDropPods
[29:085] AICOB Bought AdvancedPowerInfestation
[29:916] AICOB Placed/Upgraded GreaterNydusWorm
[30:092] AICOB Bought PureStrainHealth
[30:101] AICOB Bought PureStrainHealth
[30:386] AICOB Bought DropshipsFueled
[31:609] AICOB Spawned RoyalCocoon
[31:609] AICOB Bought SpawnHiveQueen
[31:609] AICOB Bought UltimateInfestationResearched
[31:936] AICOB Bought GreaterNydus
[32:328] AICOB Spawned QueenCoop
[32:896] AICOB Bought ConstructiveCreep
[32:921] AICOB Bought EvolveDropPods
[32:935] AICOB Bought EvolveDropPods
[32:938] AICOB Bought EvolveDropPods
[36:092] AICOB Bought AdvancedInfestationGateControl
[36:818] AICOB Placed/Upgraded GreaterNydusWorm
[00:572] DeATH Unlocked AssaultRifle
[00:653] DeATH Placed/Upgraded MiningDroid
[02:228] DeATH Unlocked FragGrenade
[02:239] DeATH Unlocked SpecOpsFragGrenade
[04:718] DeATH Unlocked ExplorationDroid
[04:738] DeATH Placed/Upgraded ExplorationDroid
[04:742] DeATH Placed/Upgraded ExplorationDroid
[06:046] DeATH Placed/Upgraded ExplorationDroid
[08:089] DeATH Unlocked BeamRifle
[09:114] DeATH Unlocked Stimpack
[10:972] DeATH Unlocked AdvancedDroidEngines
[11:866] DeATH Unlocked SuperStimpack
[13:061] DeATH Unlocked SpecOpsPlasmaRifle
[14:823] DeATH Unlocked LongRangeScope
[15:600] DeATH Unlocked BioMechanicalRepairDrone
[15:700] DeATH Placed/Upgraded HealingDrone
[15:943] DeATH Unlocked CombatShield
[16:726] DeATH Placed/Upgraded HealingDrone
[17:376] DeATH Placed/Upgraded HealingDrone
[18:715] DeATH Placed/Upgraded HealingDrone
[18:848] DeATH Unlocked SpecOpsSuperStimpack
[19:194] DeATH Unlocked OverloadWeapon
[19:926] DeATH Placed/Upgraded HealingDrone
[20:622] DeATH Placed/Upgraded HealingDrone
[21:699] DeATH Unlocked HazmatSuit
[22:102] DeATH Placed/Upgraded HealingDrone
[22:741] DeATH Unlocked AdvancedHazmatSuit
[23:701] DeATH Unlocked OpticalVisor
[24:302] DeATH Unlocked EnergyPack
[25:709] DeATH Placed/Upgraded HealingDrone
[26:097] DeATH Placed/Upgraded HealingDrone
[28:971] DeATH Placed/Upgraded HealingDrone
