Analyzed: Oh No It's Zombies Arctic Map (293)

ID : 0 PlayerName: Spoderman Race: Terran
ID : 1 PlayerName: Terranmark Race: Terran
ID : 2 PlayerName: KOHOUTEK Race: Zerg
ID : 3 PlayerName: LazyRivers Race: Terran
ID : 4 PlayerName: Ascherit Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: DeATH Race: Terran
ID : 7 PlayerName: Security Race: 
KOHOUTEK Zombie Loss
Public Lobby

Game Length:[47:079]
Players ammount: 8
Marine rank avg: 9,5
GrandMaster ammount: 2
PURCHASES: 
[00:572] Spoderman Unlocked AssaultRifle
[06:062] Spoderman Unlocked IncendiaryGrenade
[07:871] Spoderman Placed/Upgraded MiningDroid
[08:258] Spoderman Unlocked AdvancedDroidEngines
[08:388] Spoderman Unlocked TurboDroidEngines
[12:886] Spoderman Placed/Upgraded MiningDroid
[14:241] Spoderman Unlocked SpecOpsIncendiaryGrenade
[15:610] Spoderman Unlocked AutoTurret
[15:853] Spoderman Unlocked Stimpack
[16:381] Spoderman Unlocked SpecOpsAssaultRifle
[19:453] Spoderman Unlocked CombatShield
[20:418] Spoderman Unlocked CloakingDevice
[20:808] Spoderman Unlocked Shieldsiotunlocked
[21:130] Spoderman Placed/Upgraded AutoTurret
[23:635] Spoderman Unlocked AutoTargetingSystem
[24:311] Spoderman Unlocked AdvancedShieldSuit
[25:389] Spoderman Unlocked PsiDisrupter
[25:578] Spoderman Unlocked SpecOpsPsiDisruptor
[36:210] Spoderman Unlocked HeavyTurret
[36:454] Spoderman Placed/Upgraded AutoTurret
[37:461] Spoderman Placed/Upgraded AutoTurret
[38:909] Spoderman Unlocked TitaniumBulletCasings
[39:077] Spoderman Unlocked EnergyPack
[39:194] Spoderman Unlocked OpticalVisor
[39:839] Spoderman Unlocked OverloadWeapon
[40:551] Spoderman Unlocked MiningCharge
[40:600] Spoderman Unlocked AdvancedMiningCharge
[41:321] Spoderman Placed/Upgraded NukePack
[42:260] Spoderman Placed/Upgraded AutoTurret
[42:747] Spoderman Placed/Upgraded AutoTurret
[43:076] Spoderman Placed/Upgraded AutoTurret
[45:713] Spoderman Placed/Upgraded AutoTurret
[46:502] Spoderman Placed/Upgraded AutoTurret
[00:572] Terranmark Unlocked AssaultRifle
[00:719] Terranmark Placed MiningDroid
[03:160] Terranmark Unlocked AdvancedDroidEngines
[04:178] Terranmark Unlocked BeamRifle
[07:422] Terranmark Unlocked TurboDroidEngines
[07:494] Terranmark Unlocked SpecOpsPlasmaRifle
[08:434] Terranmark Unlocked CorrosivePlasma
[09:289] Terranmark Unlocked BioMechanicalRepairDrone
[09:861] Terranmark Placed HealingDrone
[10:392] Terranmark Placed HealingDrone
[13:914] Terranmark Unlocked EnergySuit
[13:915] Terranmark Unlocked EnergySuit
[13:944] Terranmark Unlocked AdvancedEnergySuit
[13:945] Terranmark Unlocked EnergySuit
[13:945] Terranmark Unlocked AdvancedEnergySuit
[14:166] Terranmark Unlocked CombatShield
[14:231] Terranmark Unlocked QuantumBackpack
[14:313] Terranmark Unlocked AIAssistant
[14:729] Terranmark Unlocked DefensiveMatrix
[16:819] Terranmark Unlocked AutoTurret
[16:871] Terranmark Unlocked SpecOpsTurret
[17:156] Terranmark Unlocked CombatAccelerationDrone
[17:482] Terranmark Placed AutoTurret
[17:685] Terranmark Placed AutoTurret
[18:021] Terranmark Placed HealingDrone
[19:402] Terranmark Placed AutoTurret
[20:471] Terranmark Placed HealingDrone
[20:809] Terranmark Bought ShieldSuit
[20:809] Terranmark Bought CombatSuit
[20:809] Terranmark Bought HazmatSuit
[20:809] Terranmark Bought ShieldSuit
[21:050] Terranmark Placed HealingDrone
[21:700] Terranmark Unlocked SpecOpsBioMechanicalRepairDrone
[23:262] Terranmark Unlocked IncendiaryGrenade
[23:281] Terranmark Unlocked SpecOpsIncendiaryGrenade
[24:312] Terranmark Bought ShieldSuit
[24:506] Terranmark Placed AutoTurret
[24:750] Terranmark Placed HealingDrone
[25:477] Terranmark Placed HealingDrone
[27:347] Terranmark Placed HealingDrone
[28:921] Terranmark Placed AutoTurret
[29:821] Terranmark Unlocked FlashBang
[29:842] Terranmark Unlocked FragGrenade
[29:860] Terranmark Unlocked SpecOpsFlashbang
[29:876] Terranmark Unlocked SpecOpsFragGrenade
[31:100] Terranmark Placed AutoTurret
[33:637] Terranmark Placed AutoTurret
[35:249] Terranmark Placed AutoTurret
[36:509] Terranmark Unlocked Shieldsiotunlocked
[36:510] Terranmark Unlocked AdvancedEnergySuit
[36:521] Terranmark Unlocked AdvancedShieldSuit
[36:970] Terranmark Placed AutoTurret
[41:260] Terranmark Placed MiningDroid
[42:873] Terranmark Unlocked ForceFieldGrenade
[42:893] Terranmark Unlocked SpecOpsForcefieldGrenade
[00:568] KOHOUTEK Bought PlayerNumber
[03:193] KOHOUTEK Bought StrainVolatile
[03:976] KOHOUTEK Bought StrainHealth
[05:800] KOHOUTEK Spawned MassiveCocoon
[07:240] KOHOUTEK Spawned Hunter
[07:822] KOHOUTEK Bought CreepSpeed
[09:823] KOHOUTEK Bought PureStrainVolatile
[10:894] KOHOUTEK Bought BuildExtractorProcessingFacilities
[10:894] KOHOUTEK Placed/Upgraded AutomatedExtractor
[10:963] KOHOUTEK Bought SiphonFuel
[13:915] KOHOUTEK Bought ShieldSuit
[13:915] KOHOUTEK Bought CombatSuit
[13:915] KOHOUTEK Bought HazmatSuit
[14:376] KOHOUTEK Bought SiphonFuel
[14:580] KOHOUTEK Unlocked Infestationfinishedemerging
[15:219] KOHOUTEK Bought StrainSpeed
[17:596] KOHOUTEK Bought BuildExtractorScienceLabs
[17:596] KOHOUTEK Placed/Upgraded AutomatedExtractor
[17:686] KOHOUTEK Bought SiphonFuel
[17:930] KOHOUTEK Placed/Upgraded LocustNest
[19:728] KOHOUTEK Bought UnlockDropPods
[19:764] KOHOUTEK Bought EvolveDropPods
[19:777] KOHOUTEK Bought EvolveDropPods
[19:787] KOHOUTEK Bought EvolveDropPods
[19:801] KOHOUTEK Bought EvolveDropPods
[20:362] KOHOUTEK Bought EvolveDropPods
[20:413] KOHOUTEK Bought EvolveDropPods
[20:918] KOHOUTEK Bought SiphonFuel
[22:132] KOHOUTEK Bought BuildExtractorScienceLabs
[22:357] KOHOUTEK Bought PureStrainHealth
[22:542] KOHOUTEK Bought TankStrain
[24:301] KOHOUTEK Bought SiphonFuel
[24:341] KOHOUTEK Bought PureStrainSpeed
[25:460] KOHOUTEK Bought HunterlingStrain
[27:206] KOHOUTEK Bought SiphonFuel
[28:764] KOHOUTEK Bought KaboomerStrain
[28:818] KOHOUTEK Bought StrainDamage
[30:502] KOHOUTEK Bought SiphonFuel
[31:417] KOHOUTEK Bought BuildExtractorScienceLabs
[31:417] KOHOUTEK Placed/Upgraded AutomatedExtractor
[31:531] KOHOUTEK Placed/Upgraded LocustNest
[31:979] KOHOUTEK Bought AdvancedPowerInfestation
[33:175] KOHOUTEK Placed/Upgraded PrimalSunkenColony
[33:176] KOHOUTEK Bought SunkenColony
[33:405] KOHOUTEK Bought SiphonFuel
[33:415] KOHOUTEK Placed/Upgraded LocustNest
[33:638] KOHOUTEK Bought SunkenColony
[34:155] KOHOUTEK Placed/Upgraded LocustNest
[34:660] KOHOUTEK Bought CreepSpeed
[36:510] KOHOUTEK Bought ShieldSuit
[36:510] KOHOUTEK Bought CombatSuit
[36:510] KOHOUTEK Bought HazmatSuit
[36:510] KOHOUTEK Bought ShieldSuit
[36:522] KOHOUTEK Bought ShieldSuit
[36:692] KOHOUTEK Bought SiphonFuel
[38:000] KOHOUTEK Placed/Upgraded NydusCanalCreeper
[38:069] KOHOUTEK Bought DropshipsFueled
[38:143] KOHOUTEK Bought UltimateInfestationResearched
[38:984] KOHOUTEK Placed/Upgraded LocustNest
[39:269] KOHOUTEK Placed/Upgraded PrimalSunkenColony
[39:270] KOHOUTEK Bought SunkenColony
[39:640] KOHOUTEK Bought SunkenColony
[40:900] KOHOUTEK Placed/Upgraded LocustNest
[41:283] KOHOUTEK Spawned MassiveCocoon
[41:290] KOHOUTEK Spawned MassiveCocoon
[41:299] KOHOUTEK Spawned MassiveCocoon
[42:440] KOHOUTEK Placed/Upgraded PrimalSunkenColony
[42:441] KOHOUTEK Bought SunkenColony
[42:584] KOHOUTEK Bought SunkenColony
[42:723] KOHOUTEK Spawned Anubalisk
[42:730] KOHOUTEK Spawned Anubalisk
[42:739] KOHOUTEK Spawned Anubalisk
[44:805] KOHOUTEK Spawned MassiveCocoon
[44:810] KOHOUTEK Spawned MassiveCocoon
[44:814] KOHOUTEK Spawned MassiveCocoon
[46:245] KOHOUTEK Spawned InfestedAbomination
[46:250] KOHOUTEK Spawned InfestedAbomination
[46:254] KOHOUTEK Spawned InfestedAbomination
[00:572] LazyRivers Unlocked AssaultRifle
[00:651] LazyRivers Placed/Upgraded MiningDroid
[04:201] LazyRivers Unlocked Ares
[06:569] LazyRivers Unlocked SpecOpsAres
[06:618] LazyRivers Placed/Upgraded PrototypeAresTankMode
[09:030] LazyRivers Unlocked BioMechanicalRepairDrone
[09:066] LazyRivers Unlocked RechargeDrone
[09:270] LazyRivers Placed/Upgraded HealingDrone
[12:266] LazyRivers Placed/Upgraded HealingDrone
[13:052] LazyRivers Unlocked AresMod2
[14:609] LazyRivers Unlocked AresMod1
[14:610] LazyRivers Unlocked AresMod9HostileEnvironmentTreads
[15:450] LazyRivers Placed/Upgraded HealingDrone
[18:939] LazyRivers Unlocked AresMod5
[19:511] LazyRivers Unlocked AresMod3
[21:388] LazyRivers Unlocked OpticalVisor
[25:043] LazyRivers Unlocked AresMod4
[27:350] LazyRivers Placed/Upgraded HealingDrone
[30:926] LazyRivers Placed/Upgraded PrototypeAresTankMode
[31:188] LazyRivers Placed/Upgraded HealingDrone
[32:716] LazyRivers Placed/Upgraded HealingDrone
[37:204] LazyRivers Unlocked EnergySuit
[37:205] LazyRivers Unlocked EnergySuit
[37:210] LazyRivers Unlocked AdvancedEnergySuit
[37:211] LazyRivers Unlocked EnergySuit
[37:211] LazyRivers Unlocked AdvancedEnergySuit
[37:302] LazyRivers Unlocked ForceFieldGrenade
