Analyzed: Oh No It's Zombies Arctic Map (32)

ID : 0 PlayerName: Isoton Race: Terran
ID : 1 PlayerName: valkarian Race: Zerg
ID : 2 PlayerName: Ting Race: Terran
ID : 3 PlayerName: Dylan Race: Terran
ID : 4 PlayerName: Frosky Race: Terran
ID : 5 PlayerName: SkyJio Race: Terran
ID : 6 PlayerName: John Race: Terran
ID : 7 PlayerName: Security Race: Zerg
valkarian Zombie Win
Public Lobby

Game Length:[37:182]
Players ammount: 8
Marine rank avg: 8,166666666666666
GrandMaster ammount: 2
PURCHASES: 
[00:572] Isoton Unlocked AssaultRifle
[00:651] Isoton Placed MiningDroid
[01:000] Isoton Unlocked Stimpack
[03:493] Isoton Unlocked ForceFieldGrenade
[07:080] Isoton Unlocked MedicShield
[07:172] Isoton Unlocked EnergySuit
[07:173] Isoton Unlocked EnergySuit
[07:285] Isoton Unlocked AdvancedDroidEngines
[13:004] Isoton Placed MiningDroid
[15:229] Isoton Unlocked TurboDroidEngines
[17:675] Isoton Unlocked PowerConverter
[17:865] Isoton Unlocked SpecOpsForcefieldGrenade
[18:923] Isoton Unlocked PsiDisrupter
[19:529] Isoton Placed PsiIndoctrinator
[21:931] Isoton Placed PsiIndoctrinator
[22:540] Isoton Unlocked SpecOpsAssaultRifle
[23:794] Isoton Placed MiningDroid
[24:480] Isoton Placed PsiIndoctrinator
[29:433] Isoton Unlocked TitaniumBulletCasings
[29:562] Isoton Unlocked SpecOpsPowerConverter
[29:629] Isoton Unlocked AdvancedEnergySuit
[29:630] Isoton Unlocked EnergySuit
[29:630] Isoton Unlocked AdvancedEnergySuit
[00:568] valkarian Bought PlayerNumber
[00:698] valkarian Spawned MassiveCocoon
[02:138] valkarian Spawned Hunter
[03:190] valkarian Bought StrainVolatile
[05:141] valkarian Bought UnlockDropPods
[05:390] valkarian Placed/Upgraded ToxicNest
[05:401] valkarian Placed/Upgraded ToxicNest
[05:419] valkarian Placed/Upgraded ToxicNest
[05:719] valkarian Bought EvolveDropPods
[06:800] valkarian Bought EvolveDropPods
[07:021] valkarian Bought EvolveDropPods
[07:024] valkarian Bought EvolveDropPods
[07:173] valkarian Bought ShieldSuit
[07:173] valkarian Bought CombatSuit
[07:173] valkarian Bought HazmatSuit
[08:480] valkarian Bought EvolveDropPods
[08:485] valkarian Bought EvolveDropPods
[10:573] valkarian Bought PureStrainVolatile
[15:213] valkarian Bought StrainDamage
[16:191] valkarian Bought BuildExtractorManufacturingSector
[16:191] valkarian Placed/Upgraded AutomatedExtractor
[17:093] valkarian Bought CreepSpeed
[18:608] valkarian Bought PureStrainDamage
[19:263] valkarian Bought ExtractorCostReductionManufacturingSector
[19:263] valkarian Bought BuildExtractorManufacturingSector
[19:748] valkarian Bought AdvancedPowerInfestation
[20:138] valkarian Bought StrainHealth
[21:085] valkarian Placed/Upgraded LesserNydusWorm
[21:086] valkarian Bought GreaterNydus
[21:428] valkarian Bought ConstructiveCreep
[22:229] valkarian Bought PureStrainHealth
[22:678] valkarian Placed/Upgraded LesserNydusWorm
[22:679] valkarian Bought GreaterNydus
[23:664] valkarian Placed/Upgraded Virophage
[23:985] valkarian Placed/Upgraded LesserNydusWorm
[23:986] valkarian Bought GreaterNydus
[24:897] valkarian Spawned MassiveCocoon
[25:059] valkarian Bought GreaterNydus
[25:977] valkarian Spawned Underseer
[27:018] valkarian Placed/Upgraded LesserNydusWorm
[27:019] valkarian Bought GreaterNydus
[28:280] valkarian Bought DropshipsFueled
[28:329] valkarian Bought SweepingInfestation
[28:329] valkarian Bought UltimateInfestationResearched
[29:461] valkarian Placed/Upgraded LesserNydusWorm
[29:462] valkarian Bought GreaterNydus
[30:222] valkarian Bought GreaterNydus
[30:285] valkarian Bought SpawnNydusWorm
[30:327] valkarian Placed/Upgraded GreaterNydusWorm
[31:132] valkarian Bought StrainSpeed
[32:888] valkarian Placed/Upgraded LesserNydusWorm
[32:889] valkarian Bought GreaterNydus
[33:558] valkarian Bought VirulentCreep
[33:558] valkarian Bought VirulentCreep
[33:630] valkarian Bought PureStrainSpeed
[34:737] valkarian Bought ConstructiveCreep
[35:458] valkarian Placed/Upgraded LesserNydusWorm
[35:459] valkarian Bought GreaterNydus
[00:572] Ting Unlocked AssaultRifle
[00:668] Ting Placed/Upgraded MiningDroid
[01:037] Ting Unlocked BeamRifle
[03:768] Ting Unlocked Shieldsiotunlocked
[07:182] Ting Unlocked MedicShield
[07:253] Ting Unlocked EnergyPack
[07:296] Ting Unlocked ForceFieldGrenade
[08:399] Ting Unlocked SpecOpsPlasmaRifle
[09:464] Ting Unlocked SpecOpsForcefieldGrenade
[12:366] Ting Unlocked LongRangeScope
[12:429] Ting Unlocked OpticalVisor
[15:651] Ting Unlocked Stimpack
[17:580] Ting Unlocked SuperStimpack
[19:056] Ting Unlocked AdvancedShieldSuit
[21:325] Ting Placed/Upgraded MiningDroid
[24:945] Ting Unlocked SpecOpsSuperStimpack
[28:427] Ting Unlocked BioMechanicalRepairDrone
[28:456] Ting Unlocked RechargeDrone
[28:462] Ting Unlocked SpecOpsBioMechanicalRepairDrone
[31:287] Ting Placed/Upgraded HealingDrone
[31:833] Ting Placed/Upgraded HealingDrone
[32:039] Ting Placed/Upgraded HealingDrone
[00:572] Dylan Unlocked AssaultRifle
[00:740] Dylan Placed/Upgraded MiningDroid
[00:823] Dylan Unlocked BeamRifle
[03:716] Dylan Unlocked SuperStimpack
[03:769] Dylan Bought ShieldSuit
[03:769] Dylan Bought CombatSuit
[03:769] Dylan Bought HazmatSuit
[03:769] Dylan Bought ShieldSuit
[06:615] Dylan Unlocked MedicShield
[06:699] Dylan Unlocked SpecOpsPlasmaRifle
[07:306] Dylan Unlocked OpticalVisor
[10:431] Dylan Unlocked CombatSuit
