Analyzed: Oh No It's Zombies Arctic Map (34)

ID : 0 PlayerName: Ascherit Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: valkarian Race: Terran
ID : 3 PlayerName: Chickenkub Race: Terran
ID : 5 PlayerName: Zepherd Race: Zerg
ID : 6 PlayerName: JuiceNugget Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Zepherd Zombie Loss
Private Lobby

Game Length:[38:004]
Players ammount: 7
Marine rank avg: 8,833333333333334
GrandMaster ammount: 4
PURCHASES: 
[00:572] Ascherit Unlocked AssaultRifle
[00:651] Ascherit Placed/Upgraded MiningDroid
[00:696] Ascherit Unlocked AdvancedDroidEngines
[00:754] Ascherit Unlocked IncendiaryGrenade
[02:478] Ascherit Unlocked TurboDroidEngines
[03:625] Ascherit Unlocked HellfireRocketLauncher
[06:620] Ascherit Unlocked Stimpack
[06:680] Ascherit Unlocked MotionSensor
[06:850] Ascherit Placed/Upgraded MiningDroid
[07:837] Ascherit Unlocked SpecOpsHellfireRocketLauncher
[09:326] Ascherit Unlocked PsiDisrupter
[09:462] Ascherit Placed/Upgraded PsiIndoctrinator
[09:589] Ascherit Placed/Upgraded SensorTower
[10:446] Ascherit Unlocked OpticalVisor
[10:529] Ascherit Unlocked EnergyPack
[10:854] Ascherit Placed/Upgraded PsiIndoctrinator
[12:308] Ascherit Placed/Upgraded PsiIndoctrinator
[12:406] Ascherit Unlocked BioMechanicalRepairDrone
[12:904] Ascherit Placed/Upgraded HealingDrone
[13:521] Ascherit Placed/Upgraded HealingDrone
[13:958] Ascherit Unlocked ShockwaveMissiles
[14:164] Ascherit Placed/Upgraded HealingDrone
[14:585] Ascherit Placed/Upgraded HealingDrone
[14:754] Ascherit Placed/Upgraded HealingDrone
[14:947] Ascherit Unlocked PsiDepressor
[16:587] Ascherit Placed/Upgraded SensorTower
[17:384] Ascherit Placed/Upgraded SensorTower
[18:494] Ascherit Placed/Upgraded HealingDrone
[19:182] Ascherit Placed/Upgraded HealingDrone
[19:865] Ascherit Unlocked CloakingDevice
[19:875] Ascherit Unlocked SpecOpsCloakingDevice
[20:630] Ascherit Placed/Upgraded HealingDrone
[22:333] Ascherit Unlocked RocketLauncherMod1
[22:395] Ascherit Unlocked MedicShield
[23:556] Ascherit Placed/Upgraded PsiIndoctrinator
[26:269] Ascherit Placed/Upgraded PsiIndoctrinator
[26:773] Ascherit Placed/Upgraded PsiIndoctrinator
[27:461] Ascherit Placed/Upgraded SensorTower
[31:631] Ascherit Placed/Upgraded MiningDroid
[31:685] Ascherit Unlocked MiningCharge
[32:660] Ascherit Placed/Upgraded PsiIndoctrinator
[32:969] Ascherit Placed/Upgraded NukePack
[33:670] Ascherit Placed/Upgraded HealingDrone
[34:063] Ascherit Placed/Upgraded NukePack
[34:980] Ascherit Unlocked AdvancedMiningCharge
[35:311] Ascherit Placed/Upgraded NukePack
[37:801] Ascherit Placed/Upgraded HealingDrone
[00:572] Frosky Unlocked AssaultRifle
[00:692] Frosky Placed/Upgraded MiningDroid
[00:757] Frosky Unlocked Shotgun
