Analyzed: Oh No It's Zombies Arctic Map (37)

ID : 0 PlayerName: Partisan Race: Terran
ID : 1 PlayerName: stevo Race: Zerg
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: Yello Race: Terran
ID : 4 PlayerName: WildMutant Race: Terran
ID : 5 PlayerName: Hasten Race: Terran
ID : 6 PlayerName: Tin Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
stevo Zombie Loss
Private Lobby

Game Length:[31:650]
Players ammount: 8
Marine rank avg: 10,333333333333334
GrandMaster ammount: 5
PURCHASES: 
[00:572] Partisan Unlocked AssaultRifle
[00:680] Partisan Placed MiningDroid
[01:016] Partisan Unlocked ArcWelder
[02:127] Partisan Unlocked BioMechanicalRepairDrone
[02:139] Partisan Unlocked CombatAccelerationDrone
[02:255] Partisan Placed HealingDrone
[03:012] Partisan Placed HealingDrone
[03:181] Partisan Placed HealingDrone
[03:928] Partisan Unlocked MedicShield
[04:160] Partisan Placed HealingDrone
[05:114] Partisan Unlocked Stimpack
[06:070] Partisan Unlocked AdvancedDroidEngines
[07:467] Partisan Unlocked TurboDroidEngines
[08:839] Partisan Unlocked MotionSensor
[08:859] Partisan Unlocked AdvancedMotionSensor
[09:180] Partisan Placed SensorTower
[09:485] Partisan Placed SensorTower
[10:114] Partisan Placed SensorTower
[11:014] Partisan Placed SensorTower
[18:146] Partisan Placed MiningDroid
[18:459] Partisan Unlocked AutoTurret
[18:469] Partisan Unlocked HeavyTurret
[19:986] Partisan Unlocked QuantumBackpack
[19:996] Partisan Unlocked AIAssistant
[20:034] Partisan Unlocked EnergySuit
[20:035] Partisan Unlocked EnergySuit
[20:045] Partisan Unlocked AdvancedEnergySuit
[20:046] Partisan Unlocked EnergySuit
[20:046] Partisan Unlocked AdvancedEnergySuit
[23:904] Partisan Unlocked MiningCharge
[23:912] Partisan Unlocked AdvancedMiningCharge
[23:976] Partisan Placed NukePack
[24:024] Partisan Placed NukePack
[24:141] Partisan Unlocked PsiDisrupter
[24:156] Partisan Unlocked PsiDepressor
[24:271] Partisan Placed NukePack
[24:331] Partisan Placed PsiIndoctrinator
[24:717] Partisan Placed AutoTurret
[24:866] Partisan Placed AutoTurret
[26:157] Partisan Placed AutoTurret
[27:876] Partisan Placed NukePack
[27:892] Partisan Placed AutoTurret
[28:702] Partisan Placed AutoTurret
[28:880] Partisan Placed AutoTurret
[29:146] Partisan Placed AutoTurret
[29:302] Partisan Placed NukePack
[30:311] Partisan Placed AutoTurret
[00:568] stevo Bought PlayerNumber
[00:622] stevo Bought StrainHealth
[03:279] stevo Spawned MassiveCocoon
[04:719] stevo Spawned Hunter
[04:806] stevo Placed/Upgraded ToxicNest
[05:879] stevo Bought CreepSpeed
[09:001] stevo Spawned MassiveCocoon
[10:441] stevo Spawned Hunter
[10:565] stevo Bought VirulentCreep
[10:565] stevo Bought VirulentCreep
[11:496] stevo Placed/Upgraded PrimalSunkenColony
[11:497] stevo Bought SunkenColony
[11:736] stevo Bought SunkenColony
[11:736] stevo Placed/Upgraded PrimalSunkenColony
[12:001] stevo Bought SunkenColony
[12:109] stevo Bought SunkenColony
[12:188] stevo Bought BuildExtractorScienceLabs
[12:188] stevo Placed/Upgraded AutomatedExtractor
[12:910] stevo Placed/Upgraded Virophage
[12:969] stevo Placed/Upgraded PrimalSunkenColony
[12:970] stevo Bought SunkenColony
[13:449] stevo Bought ConstructiveCreep
[13:818] stevo Bought AdvancedPowerInfestation
[14:328] stevo Placed/Upgraded PrimalSunkenColony
[14:329] stevo Bought SunkenColony
[14:718] stevo Placed/Upgraded PrimalSunkenColony
[14:719] stevo Bought SunkenColony
[15:066] stevo Placed/Upgraded LesserNydusWorm
[15:067] stevo Bought GreaterNydus
[15:752] stevo Bought SunkenColony
[15:831] stevo Placed/Upgraded PrimalSunkenColony
[15:832] stevo Bought SunkenColony
[16:923] stevo Placed/Upgraded LesserNydusWorm
[16:924] stevo Bought GreaterNydus
[17:019] stevo Bought StrainHealth
[17:710] stevo Placed/Upgraded Virophage
[17:827] stevo Placed/Upgraded LesserNydusWorm
