Analyzed: Oh No It's Zombies Arctic Map (41)

ID : 0 PlayerName: valkarian Race: Terran
ID : 1 PlayerName: Ascherit Race: Zerg
ID : 2 PlayerName: Juhani Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: Raisoren Race: Terran
ID : 5 PlayerName: jpmarat Race: Terran
ID : 6 PlayerName: Atalus Race: Terran
ID : 7 PlayerName: Security Race: Terran
Ascherit Zombie Win
Public Lobby

Game Length:[33:373]
Players ammount: 8
Marine rank avg: 6,833333333333333
GrandMaster ammount: 2
PURCHASES: 
[00:572] valkarian Unlocked AssaultRifle
[00:675] valkarian Placed MiningDroid
[00:739] valkarian Unlocked AdvancedDroidEngines
[02:575] valkarian Unlocked IncendiaryGrenade
[04:303] valkarian Unlocked SpecOpsAssaultRifle
[07:773] valkarian Unlocked AutoTargetingSystem
[09:720] valkarian Unlocked BioMechanicalRepairDrone
[09:771] valkarian Unlocked OverloadWeapon
[09:887] valkarian Unlocked CombatShield
[31:266] valkarian Placed HealingDrone
[32:628] valkarian Placed HealingDrone
[00:568] Ascherit Bought PlayerNumber
[00:980] Ascherit Spawned MassiveCocoon
[02:222] Ascherit Placed/Upgraded PrimalSunkenColony
[02:223] Ascherit Bought SunkenColony
[02:420] Ascherit Spawned Hunter
[02:681] Ascherit Placed/Upgraded ToxicNest
[02:696] Ascherit Placed/Upgraded ToxicNest
[02:706] Ascherit Placed/Upgraded ToxicNest
[02:956] Ascherit Bought SunkenColony
[03:843] Ascherit Spawned MassiveCocoon
[05:193] Ascherit Placed/Upgraded PrimalSunkenColony
[05:194] Ascherit Bought SunkenColony
[05:283] Ascherit Spawned Hunter
[05:433] Ascherit Bought SunkenColony
[05:433] Ascherit Placed/Upgraded PrimalSunkenColony
[05:439] Ascherit Placed/Upgraded ToxicNest
[05:460] Ascherit Placed/Upgraded ToxicNest
[05:481] Ascherit Placed/Upgraded ToxicNest
[06:164] Ascherit Placed/Upgraded ToxicNest
[06:164] Ascherit Placed/Upgraded ToxicNest
[06:165] Ascherit Placed/Upgraded ToxicNest
[06:499] Ascherit Bought SunkenColony
[06:674] Ascherit Placed/Upgraded PrimalSunkenColony
[06:675] Ascherit Bought SunkenColony
[07:540] Ascherit Bought StrainHealth
[08:323] Ascherit Bought SunkenColony
[08:740] Ascherit Placed/Upgraded PrimalSunkenColony
[08:741] Ascherit Bought SunkenColony
[08:852] Ascherit Bought BuildExtractorScienceLabs
[08:852] Ascherit Placed/Upgraded AutomatedExtractor
[09:536] Ascherit Placed/Upgraded ToxicNest
[09:542] Ascherit Placed/Upgraded ToxicNest
[09:546] Ascherit Placed/Upgraded ToxicNest
[09:948] Ascherit Bought SunkenColony
[09:957] Ascherit Spawned MassiveCocoon
[10:761] Ascherit Placed/Upgraded PrimalSunkenColony
[10:762] Ascherit Bought SunkenColony
[11:397] Ascherit Spawned Anubalisk
[11:535] Ascherit Bought PureStrainHealth
[11:851] Ascherit Placed/Upgraded ToxicNest
[11:855] Ascherit Placed/Upgraded ToxicNest
[11:914] Ascherit Placed/Upgraded ToxicNest
[11:964] Ascherit Bought BuildExtractorManufacturingSector
[11:964] Ascherit Placed/Upgraded AutomatedExtractor
[12:389] Ascherit Placed/Upgraded ToxicNest
[13:015] Ascherit Bought TankStrain
[13:082] Ascherit Placed/Upgraded ToxicNest
[13:564] Ascherit Bought StrainVolatile
[13:928] Ascherit Placed/Upgraded PrimalSunkenColony
[13:929] Ascherit Bought SunkenColony
[14:269] Ascherit Placed/Upgraded PrimalSunkenColony
[14:270] Ascherit Bought SunkenColony
[14:344] Ascherit Placed/Upgraded ToxicNest
[14:355] Ascherit Placed/Upgraded ToxicNest
[14:365] Ascherit Placed/Upgraded ToxicNest
[14:686] Ascherit Bought SunkenColony
[15:140] Ascherit Placed/Upgraded ToxicNest
[15:377] Ascherit Bought PureStrainVolatile
[15:444] Ascherit Bought StrainDamage
[15:461] Ascherit Bought ExtractorCostReductionManufacturingSector
[15:461] Ascherit Bought BuildExtractorManufacturingSector
[15:600] Ascherit Bought SunkenColony
[16:212] Ascherit Bought BuildExtractorExcavationZone
[16:212] Ascherit Placed/Upgraded AutomatedExtractor
[17:392] Ascherit Bought StrainSpeed
[17:493] Ascherit Bought PureStrainSpeed
[18:463] Ascherit Bought HunterlingStrain
[18:953] Ascherit Placed/Upgraded ToxicNest
[18:965] Ascherit Placed/Upgraded ToxicNest
[18:979] Ascherit Placed/Upgraded ToxicNest
[20:251] Ascherit Bought CreepSpeed
[20:279] Ascherit Bought BuildExtractorExcavationZone
[20:485] Ascherit Placed/Upgraded ToxicNest
[20:493] Ascherit Placed/Upgraded ToxicNest
