Analyzed: Oh No It's Zombies Arctic Map (42)

ID : 0 PlayerName: SkyJio Race: Terran
ID : 2 PlayerName: notazergling Race: Terran
ID : 3 PlayerName: LeviAkerman Race: Terran
ID : 4 PlayerName: Shode Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: ZehN Race: Zerg
ID : 7 PlayerName: Security Race: Terran Tychus
ZehN Zombie Loss
Public Lobby

Game Length:[35:001]
Players ammount: 7
Marine rank avg: 2,3333333333333335
GrandMaster ammount: 1
PURCHASES: 
[00:572] SkyJio Unlocked AssaultRifle
[00:651] SkyJio Placed/Upgraded MiningDroid
[01:710] SkyJio Unlocked SpecOpsAssaultRifle
[02:781] SkyJio Unlocked OverloadWeapon
[07:334] SkyJio Unlocked CombatSuit
[07:338] SkyJio Unlocked AdvancedCombatSuit
[10:477] SkyJio Unlocked TitaniumBulletCasings
[10:549] SkyJio Unlocked EnergyPack
[10:564] SkyJio Unlocked CombatShield
[13:968] SkyJio Unlocked PowerConverter
[13:971] SkyJio Unlocked SpecOpsPowerConverter
[14:013] SkyJio Unlocked FragGrenade
[14:015] SkyJio Unlocked SpecOpsFragGrenade
[16:608] SkyJio Placed/Upgraded MiningDroid
[19:599] SkyJio Unlocked AIAssistant
[19:618] SkyJio Placed/Upgraded MiningDroid
[19:765] SkyJio Unlocked BioMechanicalRepairDrone
[23:912] SkyJio Placed/Upgraded HealingDrone
[24:200] SkyJio Placed/Upgraded HealingDrone
[25:711] SkyJio Unlocked AutoTurret
[25:796] SkyJio Unlocked HeavyTurret
[26:087] SkyJio Placed/Upgraded AutoTurret
[26:519] SkyJio Placed/Upgraded AutoTurret
[26:720] SkyJio Placed/Upgraded AutoTurret
[27:020] SkyJio Placed/Upgraded AutoTurret
[27:430] SkyJio Placed/Upgraded AutoTurret
[27:625] SkyJio Placed/Upgraded AutoTurret
[28:133] SkyJio Placed/Upgraded HealingDrone
[07:335]  Bought ShieldSuit
[07:335]  Bought CombatSuit
[07:335]  Bought HazmatSuit
[07:335]  Bought CombatSuit
[07:339]  Bought CombatSuit
[00:572] notazergling Unlocked AssaultRifle
[01:560] notazergling Placed/Upgraded MiningDroid
[02:120] notazergling Unlocked Flamethrower
[03:053] notazergling Unlocked SpecOpsFlamethrower
[03:663] notazergling Unlocked Shieldsiotunlocked
[06:358] notazergling Unlocked ThermiteFilaments
[07:286] notazergling Unlocked AdvancedShieldSuit
[07:414] notazergling Unlocked MedicShield
[10:886] notazergling Unlocked AdvancedDroidEngines
[11:050] notazergling Unlocked AutoTurret
[11:066] notazergling Unlocked SpecOpsTurret
[14:481] notazergling Placed/Upgraded MiningDroid
[15:759] notazergling Unlocked SuperStimpack
[18:024] notazergling Placed/Upgraded AutoTurret
[18:260] notazergling Placed/Upgraded AutoTurret
[18:528] notazergling Placed/Upgraded AutoTurret
[19:513] notazergling Placed/Upgraded MiningDroid
[21:545] notazergling Unlocked PsiDisrupter
[21:570] notazergling Unlocked SpecOpsPsiDisruptor
[21:706] notazergling Placed/Upgraded AutoTurret
[22:128] notazergling Placed/Upgraded AutoTurret
[22:520] notazergling Placed/Upgraded AutoTurret
[28:835] notazergling Unlocked ExplorationDroid
[28:886] notazergling Unlocked MiningCharge
[28:902] notazergling Unlocked AdvancedMiningCharge
[29:045] notazergling Placed/Upgraded NukePack
[32:664] notazergling Placed/Upgraded AutoTurret
[33:884] notazergling Placed/Upgraded AutoTurret
[00:572] LeviAkerman Unlocked AssaultRifle
[00:693] LeviAkerman Placed/Upgraded MiningDroid
[00:764] LeviAkerman Unlocked AdvancedDroidEngines
[02:757] LeviAkerman Unlocked TurboDroidEngines
[03:664] LeviAkerman Bought ShieldSuit
[03:664] LeviAkerman Bought CombatSuit
[03:664] LeviAkerman Bought HazmatSuit
[03:664] LeviAkerman Bought ShieldSuit
[07:287] LeviAkerman Bought ShieldSuit
[07:338] LeviAkerman Unlocked HellfireRocketLauncher
[07:348] LeviAkerman Unlocked SpecOpsHellfireRocketLauncher
[07:948] LeviAkerman Unlocked RocketLauncherMod1
[08:111] LeviAkerman Unlocked PsiDisrupter
[08:128] LeviAkerman Unlocked SpecOpsPsiDisruptor
[08:718] LeviAkerman Placed/Upgraded PsiIndoctrinator
[10:702] LeviAkerman Unlocked CombatSuit
[10:718] LeviAkerman Unlocked AdvancedCombatSuit
[11:550] LeviAkerman Unlocked Stimpack
[12:230] LeviAkerman Placed/Upgraded PsiIndoctrinator
[12:834] LeviAkerman Placed/Upgraded PsiIndoctrinator
[13:983] LeviAkerman Placed/Upgraded PsiIndoctrinator
[14:180] LeviAkerman Placed/Upgraded PsiIndoctrinator
[15:405] LeviAkerman Placed/Upgraded PsiIndoctrinator
[16:309] LeviAkerman Unlocked CloakingDevice
[18:004] LeviAkerman Unlocked SpecOpsCloakingDevice
[19:615] LeviAkerman Unlocked ForceFieldGrenade
[19:624] LeviAkerman Unlocked SpecOpsForcefieldGrenade
[21:601] LeviAkerman Unlocked CombatShield
[21:773] LeviAkerman Unlocked AIAssistant
[21:928] LeviAkerman Unlocked MedicShield
[22:079] LeviAkerman Unlocked EnergyPack
[23:087] LeviAkerman Placed/Upgraded PsiIndoctrinator
[25:030] LeviAkerman Unlocked AutoTurret
[25:098] LeviAkerman Unlocked SpecOpsTurret
[26:796] LeviAkerman Placed/Upgraded AutoTurret
[27:012] LeviAkerman Placed/Upgraded AutoTurret
[27:202] LeviAkerman Placed/Upgraded AutoTurret
[29:491] LeviAkerman Placed/Upgraded AutoTurret
[00:572] Shode Unlocked AssaultRifle
[00:828] Shode Placed/Upgraded MiningDroid
[01:222] Shode Unlocked AdvancedDroidEngines
[02:848] Shode Unlocked SpecOpsAssaultRifle
[04:495] Shode Unlocked OverloadWeapon
[05:775] Shode Unlocked TitaniumBulletCasings
[06:984] Shode Unlocked CombatShield
[08:455] Shode Unlocked EnergySuit
[08:456] Shode Unlocked EnergySuit
[08:528] Shode Unlocked AdvancedEnergySuit
[08:529] Shode Unlocked EnergySuit
[08:529] Shode Unlocked AdvancedEnergySuit
[10:703] Shode Bought ShieldSuit
[10:703] Shode Bought CombatSuit
[10:703] Shode Bought HazmatSuit
[10:703] Shode Bought CombatSuit
[10:719] Shode Bought CombatSuit
[11:072] Shode Unlocked CombatSuit
[11:073] Shode Unlocked AdvancedEnergySuit
