Analyzed: Oh No It's Zombies Arctic Map (434)

Date: 2022.12.03

ID : 0 PlayerName: Static Race: Terran
ID : 1 PlayerName: Trogdor Race: Terran
ID : 2 PlayerName: Toxicpanda Race: Zerg
ID : 3 PlayerName: Blue Race: Terran
ID : 4 PlayerName: csiz Race: Terran
ID : 5 PlayerName: SniperAlpha Race: Terran
ID : 6 PlayerName: Frosky Race: Zerg
ID : 7 PlayerName: Security Race: Protoss
Frosky Zombie Loss
Public Lobby

Game Length:[37:456]
Players ammount: 7
Marine rank avg: 19
GrandMaster ammount: 3

Toxicpanda First Gun ArcWelder
Trogdor First Gun SpecOpsAssaultRifle
csiz First Gun BeamRifle
Blue First Gun SpecOpsAssaultRifle
Static First Gun Shotgun
SniperAlpha First Gun SpecOpsAssaultRifle

PURCHASES: 
[00:572] Static Unlocked AssaultRifle
[00:651] Static Placed/Upgraded MiningDroid
[01:211] Static Unlocked AdvancedDroidEngines
[03:752] Static Unlocked TurboDroidEngines
[04:820] Static Unlocked FragGrenade
[05:655] Static Unlocked SpecOpsFragGrenade
[06:251] Static Placed/Upgraded MiningDroid
[07:281] Static Unlocked Stimpack
[08:702] Static Unlocked Shotgun
[09:835] Static Unlocked SpecOpsShotgun
[11:417] Static Unlocked Shieldsiotunlocked
[11:456] Static Unlocked BioMechanicalRepairDrone
[11:946] Static Placed/Upgraded HealingDrone
[12:477] Static Placed/Upgraded HealingDrone
[12:643] Static Unlocked HighPrecisionBeams
[13:304] Static Unlocked CloakingDevice
[14:779] Static Unlocked SpecOpsCloakingDevice
[16:004] Static Unlocked PsiDisrupter
[16:298] Static Placed/Upgraded PsiIndoctrinator
[17:095] Static Placed/Upgraded PsiIndoctrinator
[17:451] Static Placed/Upgraded PsiIndoctrinator
[17:736] Static Unlocked MiningCharge
[19:453] Static Placed/Upgraded NukePack
[19:514] Static Unlocked ExplorationDroid
[19:542] Static Placed/Upgraded ExplorationDroid
[19:569] Static Placed/Upgraded ExplorationDroid
[19:715] Static Unlocked SpecOpsBioMechanicalRepairDrone
[19:810] Static Placed/Upgraded HealingDrone
[23:817] Static Placed/Upgraded MiningDroid
[24:126] Static Placed/Upgraded PsiIndoctrinator
[24:410] Static Placed/Upgraded HealingDrone
[24:949] Static Placed/Upgraded NukePack
[25:186] Static Placed/Upgraded HealingDrone
[25:373] Static Placed/Upgraded HealingDrone
[26:041] Static Placed/Upgraded ExplorationDroid
[26:142] Static Placed/Upgraded ExplorationDroid
[26:335] Static Placed/Upgraded NukePack
[26:486] Static Placed/Upgraded NukePack
[27:774] Static Placed/Upgraded NukePack
[34:038] Static Placed/Upgraded NukePack
[34:226] Static Placed/Upgraded NukePack
[34:957] Static Placed/Upgraded HealingDrone
[36:155] Static Placed/Upgraded HealingDrone
[00:572] Trogdor Unlocked AssaultRifle
[00:658] Trogdor Placed/Upgraded MiningDroid
[01:246] Trogdor Unlocked IncendiaryGrenade
[03:346] Trogdor Unlocked SpecOpsAssaultRifle
[05:574] Trogdor Unlocked TitaniumBulletCasings
[07:651] Trogdor Unlocked OverloadWeapon
[08:601] Trogdor Unlocked BioMechanicalRepairDrone
[10:691] Trogdor Unlocked SpecOpsBioMechanicalRepairDrone
[11:128] Trogdor Placed/Upgraded HealingDrone
[11:418] Trogdor Bought ShieldSuit
[11:418] Trogdor Bought CombatSuit
[11:418] Trogdor Bought HazmatSuit
[11:418] Trogdor Bought ShieldSuit
[12:470] Trogdor Unlocked AdvancedDroidEngines
[13:787] Trogdor Unlocked AIAssistant
